port	terminal	year	month	date	L_hours
Ashdod	Ashdod-HCT	2021	8	2021-08-31	153.9243238544828
Ashdod	Ashdod-HCT	2021	9	2021-09-30	128.25376730204607
Ashdod	Ashdod-HCT	2021	10	2021-10-31	156.5881591368932
Ashdod	Ashdod-HCT	2021	11	2021-11-30	141.25992709817928
Ashdod	Ashdod-HCT	2021	12	2021-12-31	199.57045097789623
Ashdod	Ashdod-HCT	2022	1	2022-01-31	58.298556920419216
Ashdod	Ashdod-HCT	2022	2	2022-02-28	79.07323536239439
Ashdod	Ashdod-HCT	2022	3	2022-03-31	68.61235993104017
Ashdod	Ashdod-HCT	2022	4	2022-04-30	110.39844935533424
Ashdod	Ashdod-HCT	2022	5	2022-05-31	263.5355104035896
Ashdod	Ashdod-HCT	2022	6	2022-06-30	304.39272285275473
Ashdod	Ashdod-HCT	2022	7	2022-07-31	535.5598396160402
Ashdod	Ashdod-HCT	2022	8	2022-08-31	655.5924086262037
Ashdod	Ashdod-HCT	2022	9	2022-09-30	935.6439375140236
Ashdod	Ashdod-HCT	2022	10	2022-10-31	606.3455049253663
Ashdod	Ashdod-HCT	2022	11	2022-11-30	1124.0532383560662
Ashdod	Ashdod-HCT	2022	12	2022-12-31	874.5499793800103
Ashdod	Ashdod-HCT	2023	1	2023-01-31	1023.0738172642418
Ashdod	Ashdod-HCT	2023	2	2023-02-28	1121.791544748076
Ashdod	Ashdod-HCT	2023	3	2023-03-31	1101.2657023325398
Ashdod	Ashdod-HCT	2023	4	2023-04-30	1548.8830834416688
Ashdod	Ashdod-HCT	2023	5	2023-05-31	2115.6794012056175
Ashdod	Ashdod-HCT	2023	6	2023-06-30	2041.2687490415672
Ashdod	Ashdod-HCT	2023	7	2023-07-31	1402.9761462766614
Ashdod	Ashdod-HCT	2023	8	2023-08-31	1776.6597631748307
Ashdod	Ashdod-HCT	2023	9	2023-09-30	1920.015493232442
Ashdod	Ashdod-HCT	2023	10	2023-10-31	1344.6455226237726
Ashdod	Ashdod-HCT	2023	11	2023-11-30	992.5234241714296
Ashdod	Ashdod-HCT	2023	12	2023-12-31	574.3691382014406
Ashdod	Ashdod-HCT	2024	1	2024-01-31	334.37507808848466
Ashdod	Ashdod-HCT	2024	2	2024-02-29	585.1793077246948
Ashdod	Ashdod-HCT	2024	3	2024-03-31	784.2146869753776
Ashdod	Ashdod-HCT	2024	4	2024-04-30	867.4903134127205
Ashdod	Ashdod-HCT	2024	5	2024-05-31	1189.4381842028083
Ashdod	Ashdod-HCT	2024	6	2024-06-30	1081.7961461541045
Ashdod	Ashdod-HCT	2024	7	2024-07-31	1199.9426244828312
Ashdod	Ashdod-HCT	2024	8	2024-08-31	1172.4040088026045
Ashdod	Ashdod-HCT	2024	9	2024-09-30	1089.1165871478777
Ashdod	Ashdod-HCT	2024	10	2024-10-31	944.8140599691476
Ashdod	Ashdod-HCT	2024	11	2024-11-30	1088.3590414072416
Ashdod	Ashdod-HCT	2024	12	2024-12-31	1018.0666829435824
Ashdod	Ashdod-Legacy	2018	1	2018-01-31	3074.5066815014848
Ashdod	Ashdod-Legacy	2018	2	2018-02-28	2844.120705460928
Ashdod	Ashdod-Legacy	2018	3	2018-03-31	2915.295998164419
Ashdod	Ashdod-Legacy	2018	4	2018-04-30	2955.8576897127723
Ashdod	Ashdod-Legacy	2018	5	2018-05-31	3042.8759935103512
Ashdod	Ashdod-Legacy	2018	6	2018-06-30	3025.2257675101887
Ashdod	Ashdod-Legacy	2018	7	2018-07-31	3382.9854001883778
Ashdod	Ashdod-Legacy	2018	8	2018-08-31	3361.1203407884755
Ashdod	Ashdod-Legacy	2018	9	2018-09-30	2340.2493504964345
Ashdod	Ashdod-Legacy	2018	10	2018-10-31	3108.4372188321563
Ashdod	Ashdod-Legacy	2018	11	2018-11-30	3154.6268124625567
Ashdod	Ashdod-Legacy	2018	12	2018-12-31	2824.234626737709
Ashdod	Ashdod-Legacy	2019	1	2019-01-31	3037.889184246873
Ashdod	Ashdod-Legacy	2019	2	2019-02-28	2884.8064394164103
Ashdod	Ashdod-Legacy	2019	3	2019-03-31	2943.9539291805095
Ashdod	Ashdod-Legacy	2019	4	2019-04-30	3104.5445125603133
Ashdod	Ashdod-Legacy	2019	5	2019-05-31	3188.37990139243
Ashdod	Ashdod-Legacy	2019	6	2019-06-30	3039.7784482010698
Ashdod	Ashdod-Legacy	2019	7	2019-07-31	3410.932986829162
Ashdod	Ashdod-Legacy	2019	8	2019-08-31	3386.0138392335266
Ashdod	Ashdod-Legacy	2019	9	2019-09-30	2937.359848914675
Ashdod	Ashdod-Legacy	2019	10	2019-10-31	2782.098272383966
Ashdod	Ashdod-Legacy	2019	11	2019-11-30	3076.479223229404
Ashdod	Ashdod-Legacy	2019	12	2019-12-31	2817.1919858402352
Ashdod	Ashdod-Legacy	2020	1	2020-01-31	3110.1879224760405
Ashdod	Ashdod-Legacy	2020	2	2020-02-29	3276.6008141655475
Ashdod	Ashdod-Legacy	2020	3	2020-03-31	3146.708773105259
Ashdod	Ashdod-Legacy	2020	4	2020-04-30	3135.649807299514
Ashdod	Ashdod-Legacy	2020	5	2020-05-31	3384.4389816442263
Ashdod	Ashdod-Legacy	2020	6	2020-06-30	3465.2984571239285
Ashdod	Ashdod-Legacy	2020	7	2020-07-31	3527.2054224632298
Ashdod	Ashdod-Legacy	2020	8	2020-08-31	3558.640564778977
Ashdod	Ashdod-Legacy	2020	9	2020-09-30	3298.468773885623
Ashdod	Ashdod-Legacy	2020	10	2020-10-31	3570.3089080356804
Ashdod	Ashdod-Legacy	2020	11	2020-11-30	3541.9058955122437
Ashdod	Ashdod-Legacy	2020	12	2020-12-31	3612.7651666892143
Ashdod	Ashdod-Legacy	2021	1	2021-01-31	3504.453737287137
Ashdod	Ashdod-Legacy	2021	2	2021-02-28	3320.575365208844
Ashdod	Ashdod-Legacy	2021	3	2021-03-31	3639.9109410963456
Ashdod	Ashdod-Legacy	2021	4	2021-04-30	3328.3822201114367
Ashdod	Ashdod-Legacy	2021	5	2021-05-31	3434.7805947959464
Ashdod	Ashdod-Legacy	2021	6	2021-06-30	3634.152415903552
Ashdod	Ashdod-Legacy	2021	7	2021-07-31	3405.069629917554
Ashdod	Ashdod-Legacy	2021	8	2021-08-31	3892.177135414726
Ashdod	Ashdod-Legacy	2021	9	2021-09-30	2863.3105978113435
Ashdod	Ashdod-Legacy	2021	10	2021-10-31	3388.563439921477
Ashdod	Ashdod-Legacy	2021	11	2021-11-30	3888.2699885579896
Ashdod	Ashdod-Legacy	2021	12	2021-12-31	3391.242651639602
