port	terminal	year	TEU_i_y	teu_per_work_hour	kpi_backfill_source	anchor_mode	Pi_teu_per_hour_i_y	H_annual_i_y
Ashdod	Ashdod-HCT	2021	24323.414805128326	31.200000000000003	alpha2023_times_legacy_sameyear	work_only	31.200000000000003	779.5966283694976
Ashdod	Ashdod-HCT	2022	166235.25	29.6	alpha2023_times_legacy_sameyear	work_only	29.6	5616.055743243243
Ashdod	Ashdod-HCT	2023	474968.25	28.0		work_only	28.0	16963.151785714286
Ashdod	Ashdod-HCT	2024	692667.0	61.0		work_only	61.0	11355.196721311475
Ashdod	Ashdod-Legacy	2018	1477211.0	41.0		work_only	41.0	36029.53658536585
Ashdod	Ashdod-Legacy	2019	1537596.0	42.0		work_only	42.0	36609.42857142857
Ashdod	Ashdod-Legacy	2020	1584499.0	39.0		work_only	39.0	40628.179487179485
Ashdod	Ashdod-Legacy	2021	1625944.6599889721	39.0		work_only	39.0	41690.888717665955
Ashdod	Ashdod-Legacy	2022	1431039.0	37.0		work_only	37.0	38676.72972972973
Ashdod	Ashdod-Legacy	2023	1122045.0	35.0		work_only	35.0	32058.428571428572
Ashdod	Ashdod-Legacy	2024	1155435.0	38.0		work_only	38.0	30406.184210526317
Haifa	Haifa-Bayport	2021	32984.21170927321	43.16326530612245	alpha2023_times_legacy_sameyear	work_only	43.16326530612245	764.1732263614124
Haifa	Haifa-Bayport	2022	450208.25	43.16326530612245	alpha2023_times_legacy_sameyear	work_only	43.16326530612245	10430.356619385344
Haifa	Haifa-Bayport	2023	812791.25	45.0		work_only	45.0	18062.027777777777
Haifa	Haifa-Bayport	2024	563264.0	50.0		work_only	50.0	11265.28
Haifa	Haifa-Legacy	2018	1469150.0	54.0		work_only	54.0	27206.48148148148
Haifa	Haifa-Legacy	2019	1379155.0	56.0		work_only	56.0	24627.76785714286
Haifa	Haifa-Legacy	2020	1464434.0	52.0		work_only	52.0	28162.19230769231
Haifa	Haifa-Legacy	2021	1463186.862546447	47.0		work_only	47.0	31131.63537332866
Haifa	Haifa-Legacy	2022	1070600.0	47.0		work_only	47.0	22778.72340425532
Haifa	Haifa-Legacy	2023	732092.0	49.0		work_only	49.0	14940.65306122449
Haifa	Haifa-Legacy	2024	647770.0	41.0		work_only	41.0	15799.268292682927
