port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	tons_i_q	tons_i_y	TEU_i_q	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_weight_q_in_y	L_hours_i_q	tons_weight_m_in_q	L_hours_i_m	w_i_m_in_year	anchor_mode	labor_weight_source_q	labor_weight_source	teu_month_source	kpi_backfill_source
Ashdod	Ashdod-HCT	2021	8	202108	Q3	161251.50681736224	0.0069948296986229895	4743.112913078105	2207186.2	9638.199999999999	17669.0	48815.6	8695.19848739153	24323.414805128326	31.200000000000003	779.5966283694976	20213	0.3619539655356075	282.1780911565289	0.5454864451864847	153.9243238544828	0.1974409819811699	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2021	9	202109	Q3	119088.7115092014	0.0069948296986229895	3952.085574313424	1624674.2	8030.799999999999	17669.0	48815.6	8695.19848739153	24323.414805128326	31.200000000000003	779.5966283694976	20213	0.3619539655356075	282.1780911565289	0.45451355481351513	128.25376730204607	0.1645129835544375	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2021	10	202110	Q4	131158.64319885705	0.012611714128024658	4919.787745545559	1923009.5	9805.0	31146.6	48815.6	15628.2163177368	24323.414805128326	31.200000000000003	779.5966283694976	20214	0.6380460344643926	497.4185372129687	0.3148016155856498	156.5881591368932	0.20085792246740797	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2021	11	202111	Q4	149293.31231996237	0.012611714128024658	4438.195468322242	2204187.1999999997	8845.2	31146.6	48815.6	15628.2163177368	24323.414805128326	31.200000000000003	779.5966283694976	20214	0.6380460344643926	497.4185372129687	0.2839860530523396	141.25992709817928	0.18119617499323987	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2021	12	202112	Q4	132608.90094871746	0.012611714128024658	6270.233103868998	1927213.6	12496.4	31146.6	48815.6	15628.2163177368	24323.414805128326	31.200000000000003	779.5966283694976	20214	0.6380460344643926	497.4185372129687	0.4012123313620106	199.57045097789623	0.25599193700374473	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	1	202201	Q1	114745.83031068169	0.017785398799426498	5750.774345184445	1721866.8	12510.18	44201.76	1205139.0626	20319.0	166235.25	29.6	5616.055743243243	20221	0.03667772572622276	205.98415221385378	0.28302447685341037	58.298556920419216	0.010380694135837067	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	2	202202	Q1	128260.90539276735	0.017785398799426498	7800.0615681366535	1906141.4	16968.18	44201.76	1205139.0626	20319.0	166235.25	29.6	5616.055743243243	20221	0.03667772572622276	205.98415221385378	0.383880189386124	79.07323536239439	0.014079852298034705	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	3	202203	Q1	137811.264296551	0.017785398799426498	6768.164086678901	2069856.9000000001	14723.4	44201.76	1205139.0626	20319.0	166235.25	29.6	5616.055743243243	20221	0.03667772572622276	205.98415221385378	0.33309533376046563	68.61235993104017	0.012217179292350985	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	4	202204	Q2	124936.18079157535	0.0221127094431899	4326.902139925321	1853583.5999999999	23690.2	145560.874	1205139.0626	26586.0	166235.25	29.6	5616.055743243243	20222	0.12078346683573843	678.3266826116786	0.162751152483462	110.39844935533424	0.01965764842846444	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	5	202205	Q2	145440.31200711883	0.0221127094431899	10328.880256654682	2106472.8	56551.6	145560.874	1205139.0626	26586.0	166235.25	29.6	5616.055743243243	20222	0.12078346683573843	678.3266826116786	0.3885082470719432	263.5355104035896	0.04692537297562492	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
