Port	Month-Year	Total loaded and unloaded in thousands of tons
Ashdod	01-2010	1,487
Ashdod	02-2010	1,508
Ashdod	03-2010	1,678
Ashdod	04-2010	1,635
Ashdod	05-2010	1,654
Ashdod	06-2010	1,640
Ashdod	07-2010	1,444
Ashdod	08-2010	1,590
Ashdod	09-2010	1,202
Ashdod	10-2010	1,581
Ashdod	11-2010	1,549
Ashdod	12-2010	1,568
Ashdod	01-2011	1,449
Ashdod	02-2011	1,526
Ashdod	03-2011	1,993
Ashdod	04-2011	1,612
Ashdod	05-2011	1,639
Ashdod	06-2011	1,608
Ashdod	07-2011	1,578
Ashdod	08-2011	1,751
Ashdod	09-2011	1,465
Ashdod	10-2011	1,552
Ashdod	11-2011	1,479
Ashdod	12-2011	1,564
Ashdod	01-2012	1,655
Ashdod	02-2012	1,303
Ashdod	03-2012	1,624
Ashdod	04-2012	1,736
Ashdod	05-2012	1,935
Ashdod	06-2012	1,654
Ashdod	07-2012	1,885
Ashdod	08-2012	1,938
Ashdod	09-2012	1,377
Ashdod	10-2012	1,616
Ashdod	11-2012	1,380
Ashdod	12-2012	1,511
Ashdod	01-2013	1,484
Ashdod	02-2013	1,609
Ashdod	03-2013	1,513
Ashdod	04-2013	1,761
Ashdod	05-2013	1,808
Ashdod	06-2013	1,712
Ashdod	07-2013	1,821
Ashdod	08-2013	1,580
Ashdod	09-2013	1,323
Ashdod	10-2013	1,569
Ashdod	11-2013	1,530
Ashdod	12-2013	1,504
Ashdod	01-2014	1,920
Ashdod	02-2014	1,838
Ashdod	03-2014	1,922
Ashdod	04-2014	1,454
Ashdod	05-2014	1,832
Ashdod	06-2014	1,814
Ashdod	07-2014	1,670
Ashdod	08-2014	1,856
Ashdod	09-2014	1,830
Ashdod	10-2014	1,706
Ashdod	11-2014	1,659
Ashdod	12-2014	2,054
Ashdod	01-2015	1,752
Ashdod	02-2015	1,546
Ashdod	03-2015	2,053
Ashdod	04-2015	1,594
Ashdod	05-2015	1,938
Ashdod	06-2015	2,030
Ashdod	07-2015	1,932
Ashdod	08-2015	1,945
Ashdod	09-2015	1,668
Ashdod	10-2015	1,885
Ashdod	11-2015	1,913
Ashdod	12-2015	2,017
Ashdod	01-2016	1,850
Ashdod	02-2016	1,876
Ashdod	03-2016	2,190
Ashdod	04-2016	1,900
Ashdod	05-2016	2,344
Ashdod	06-2016	2,160
Ashdod	07-2016	1,970
Ashdod	08-2016	2,200
Ashdod	09-2016	2,061
Ashdod	10-2016	1,535
Ashdod	11-2016	2,083
Ashdod	12-2016	1,917
Ashdod	01-2017	2,046
Ashdod	02-2017	1,859
Ashdod	03-2017	2,045
Ashdod	04-2017	1,860
Ashdod	05-2017	2,052
Ashdod	06-2017	1,974
Ashdod	07-2017	2,107
Ashdod	08-2017	2,045
Ashdod	09-2017	1,814
Ashdod	10-2017	1,845
Ashdod	11-2017	2,051
Ashdod	12-2017	1,885
Ashdod	01-2018	2,003
Ashdod	02-2018	1,853
Ashdod	03-2018	1,899
Ashdod	04-2018	1,926
Ashdod	05-2018	1,983
Ashdod	06-2018	1,971
Ashdod	07-2018	2,204
Ashdod	08-2018	2,190
Ashdod	09-2018	1,525
Ashdod	10-2018	2,025
Ashdod	11-2018	2,055
Ashdod	12-2018	1,840
Ashdod	01-2019	1,958
Ashdod	02-2019	1,859
Ashdod	03-2019	1,897
Ashdod	04-2019	2,000
Ashdod	05-2019	2,054
Ashdod	06-2019	1,959
Ashdod	07-2019	2,198
Ashdod	08-2019	2,182
Ashdod	09-2019	1,893
Ashdod	10-2019	1,793
Ashdod	11-2019	1,982
Ashdod	12-2019	1,815
Ashdod	01-2020	1,835
Ashdod	02-2020	1,933
Ashdod	03-2020	1,857
Ashdod	04-2020	1,850
Ashdod	05-2020	1,997
Ashdod	06-2020	2,045
Ashdod	07-2020	2,081
Ashdod	08-2020	2,100
Ashdod	09-2020	1,946
Ashdod	10-2020	2,107
Ashdod	11-2020	2,090
Ashdod	12-2020	2,132
Ashdod	01-2021	1,997
Ashdod	02-2021	1,968
Ashdod	03-2021	2,074
Ashdod	04-2021	1,895
Ashdod	05-2021	1,963
Ashdod	06-2021	2,103
Ashdod	07-2021	1,974
Eilat	01-2010	195
Eilat	02-2010	160
Eilat	03-2010	237
Eilat	04-2010	153
Eilat	05-2010	257
Eilat	06-2010	218
Eilat	07-2010	114
Eilat	08-2010	234
Eilat	09-2010	196
Eilat	10-2010	227
Eilat	11-2010	227
Eilat	12-2010	103
Eilat	01-2011	119
Eilat	02-2011	105
Eilat	03-2011	229
Eilat	04-2011	142
Eilat	05-2011	196
Eilat	06-2011	195
Eilat	07-2011	168
Eilat	08-2011	283
Eilat	09-2011	202
Eilat	10-2011	172
Eilat	11-2011	247
Eilat	12-2011	223
Eilat	01-2012	48
Eilat	02-2012	130
