Port	Month-Year	TEU_thousands
Eilat	01-2008	0.002
Eilat	02-2008	0.0
Eilat	03-2008	0.0
Eilat	04-2008	0.0
Eilat	05-2008	0.009
Eilat	06-2008	0.0
Eilat	07-2008	0.002
Eilat	08-2008	0.0
Eilat	09-2008	0.001
Eilat	10-2008	0.064
Eilat	11-2008	0.873
Eilat	12-2008	1.072
Eilat	01-2009	1.344
Eilat	02-2009	1.546
Eilat	03-2009	0.919
Eilat	04-2009	1.026
Eilat	05-2009	0.0
Eilat	06-2009	0.018
Eilat	07-2009	0.01
Eilat	08-2009	0.101
Eilat	09-2009	0.01
Eilat	10-2009	0.027
Eilat	11-2009	0.0
Eilat	12-2009	0.0
Eilat	01-2010	0.0
Eilat	02-2010	0.0
Eilat	03-2010	0.0
Eilat	04-2010	0.0
Eilat	05-2010	0.0
Eilat	06-2010	0.0
Eilat	07-2010	0.0
Eilat	08-2010	0.0
Eilat	09-2010	0.0
Eilat	10-2010	0.0
Eilat	11-2010	0.0
Eilat	12-2010	0.0
Eilat	01-2011	0.0
Eilat	02-2011	0.0
Eilat	03-2011	0.0
Eilat	04-2011	0.049
Eilat	05-2011	0.0
Eilat	06-2011	0.0
Eilat	07-2011	0.0
Eilat	08-2011	0.0
Eilat	09-2011	0.0
Eilat	10-2011	0.0
Eilat	11-2011	0.0
Eilat	12-2011	0.0
Eilat	01-2012	0.0
Eilat	02-2012	0.0
Eilat	03-2012	0.0
Eilat	04-2012	0.0
Eilat	05-2012	0.0
Eilat	06-2012	0.0
Eilat	07-2012	0.0
Eilat	08-2012	0.0
Eilat	09-2012	0.0
Eilat	10-2012	0.0
Eilat	11-2012	0.001
Eilat	12-2012	0.0
Eilat	01-2013	0.0
Eilat	02-2013	0.051
Eilat	03-2013	0.07
Eilat	04-2013	0.032
Eilat	05-2013	0.0
Eilat	06-2013	0.001
Eilat	07-2013	0.019
Eilat	08-2013	0.019
Eilat	09-2013	0.006
Eilat	10-2013	0.009
Eilat	11-2013	0.014
Eilat	12-2013	0.007
Eilat	01-2014	0.0
Eilat	02-2014	0.032
Eilat	03-2014	0.045
Eilat	04-2014	0.005
Eilat	05-2014	0.002
Eilat	06-2014	0.003
Eilat	07-2014	0.002
Eilat	08-2014	0.026
Eilat	09-2014	0.03
Eilat	10-2014	0.013
Eilat	11-2014	0.002
Eilat	12-2014	0.02
Eilat	01-2015	0.0
Eilat	02-2015	0.077
Eilat	03-2015	0.0
Eilat	04-2015	0.008
