Port	Quarter-Year	TEU_thousands	TEU
Ashdod	Q1-2020	363.440231285615	363440.231285615
Ashdod	Q2-2020	372.009518865418	372009.518865418
Ashdod	Q3-2020	424.749740925265	424749.74092526495
Ashdod	Q4-2020	424.331806131712	424331.80613171204
Ashdod	Q1-2021	389.525919054056	389525.919054056
Ashdod	Q2-2021	416.742646700406	416742.646700406
Ashdod	Q3-2021	408.566326442004	408566.326442004
Ashdod	Q4-2021	397.4326401498	397432.64014980005
Ashdod	Q1-2022	360.499	360499.0
Ashdod	Q2-2022	374.179	374179.0
Ashdod	Q3-2022	374.345	374345.0
Ashdod	Q4-2022	322.016	322016.0
Ashdod	Q1-2023	302.791	302791.0
Ashdod	Q2-2023	290.606	290606.0
Ashdod	Q3-2023	288.594	288594.0
Ashdod	Q4-2023	240.054	240054.0
Ashdod	Q1-2024	280.925	280925.0
Ashdod	Q2-2024	262.311	262311.0
Ashdod	Q3-2024	309.83	309830.0
Ashdod	Q4-2024	302.369	302369.0
Ashdod HCT	Q1-2020		
Ashdod HCT	Q2-2020		
Ashdod HCT	Q3-2020		
Ashdod HCT	Q4-2020		
Ashdod HCT	Q1-2021		
Ashdod HCT	Q2-2021		
Ashdod HCT	Q3-2021	8.69519848739153	8695.19848739153
Ashdod HCT	Q4-2021	15.6282163177368	15628.2163177368
Ashdod HCT	Q1-2022	20.319	20319.0
Ashdod HCT	Q2-2022	26.586	26586.0
Ashdod HCT	Q3-2022	60.333	60333.0
Ashdod HCT	Q4-2022	58.99725	58997.25
Ashdod HCT	Q1-2023	88.325	88325.0
Ashdod HCT	Q2-2023	150.54375	150543.75
Ashdod HCT	Q3-2023	148.68825	148688.25
Ashdod HCT	Q4-2023	87.41125	87411.25
Ashdod HCT	Q1-2024	102.07275	102072.75
Ashdod HCT	Q2-2024	184.935	184935.0
Ashdod HCT	Q3-2024	218.2645	218264.5
Ashdod HCT	Q4-2024	187.39475	187394.75
Eilat	Q1-2020	0.113004424931828	113.004424931828
Eilat	Q2-2020	0.111000453200096	111.00045320009599
Eilat	Q3-2020	0.080998234328046	80.998234328046
Eilat	Q4-2020	0.0720043790129841	72.00437901298409
Eilat	Q1-2021	0.0599961369454664	59.9961369454664
Eilat	Q2-2021	0.0209969088125559	20.996908812555898
Eilat	Q3-2021	0.0430009815937706	43.000981593770604
Eilat	Q4-2021	0.295966220732571	295.966220732571
Eilat	Q1-2022	0.046	46.0
Eilat	Q2-2022	0.019	19.0
Eilat	Q3-2022	0.099	99.0
Eilat	Q4-2022	0.107	107.0
Eilat	Q1-2023	0.092	92.0
Eilat	Q2-2023	0.038	38.0
Eilat	Q3-2023	0.031	31.0
Eilat	Q4-2023	0.073	73.0
Eilat	Q1-2024	0.0	0.0
Eilat	Q2-2024	0.0	0.0
Eilat	Q3-2024	0.0	0.0
Eilat	Q4-2024	0.0	0.0
Haifa	Q1-2020	373.7626354816	373762.6354816
Haifa	Q2-2020	365.659492939106	365659.49293910596
Haifa	Q3-2020	351.668334019134	351668.334019134
Haifa	Q4-2020	373.374707128551	373374.707128551
Haifa	Q1-2021	376.309770020586	376309.770020586
Haifa	Q2-2021	385.966177645203	385966.177645203
Haifa	Q3-2021	349.371975198281	349371.975198281
Haifa	Q4-2021	351.457887348166	351457.887348166
Haifa	Q1-2022	354.496	354496.0
Haifa	Q2-2022	318.193	318193.0
Haifa	Q3-2022	240.017	240017.0
Haifa	Q4-2022	157.894	157894.0
Haifa	Q1-2023	170.27	170270.0
Haifa	Q2-2023	191.55	191550.0
Haifa	Q3-2023	176.997	176997.0
Haifa	Q4-2023	193.275	193275.0
Haifa	Q1-2024	164.873	164873.0
Haifa	Q2-2024	147.928	147928.0
Haifa	Q3-2024	172.71	172710.0
Haifa	Q4-2024	162.259	162259.0
Haifa SIPG	Q1-2020		
Haifa SIPG	Q2-2020		
Haifa SIPG	Q3-2020		
Haifa SIPG	Q4-2020		
Haifa SIPG	Q1-2021		
Haifa SIPG	Q2-2021		
Haifa SIPG	Q3-2021	7.12816271628831	7128.162716288311
Haifa SIPG	Q4-2021	25.8560489929849	25856.0489929849
Haifa SIPG	Q1-2022	51.46875	51468.75
Haifa SIPG	Q2-2022	102.593	102593.0
Haifa SIPG	Q3-2022	123.99825	123998.25
Haifa SIPG	Q4-2022	172.14825	172148.25
Haifa SIPG	Q1-2023	222.086	222086.0
Haifa SIPG	Q2-2023	231.56675	231566.75
Haifa SIPG	Q3-2023	214.0545	214054.5
Haifa SIPG	Q4-2023	145.084	145084.0
Haifa SIPG	Q1-2024	159.88275	159882.75
Haifa SIPG	Q2-2024	132.7875	132787.5
Haifa SIPG	Q3-2024	129.34675	129346.74999999999
Haifa SIPG	Q4-2024	141.247	141247.0
