PortOrTerminal	Month-Year	tons_k
All Ports	01-2008	2474.814
All Ports	02-2008	2271.731
All Ports	03-2008	3315.696
All Ports	04-2008	3118.738
All Ports	05-2008	3179.468
All Ports	06-2008	3062.339
All Ports	07-2008	3322.313
All Ports	08-2008	3481.995
All Ports	09-2008	2922.752
All Ports	10-2008	3189.215
All Ports	11-2008	3282.4637
All Ports	12-2008	3321.67
All Ports	01-2010	3388.81347
All Ports	02-2010	3313.284
All Ports	03-2010	3934.012
All Ports	04-2010	3757.109
All Ports	05-2010	3859.10382
All Ports	06-2010	3850.609
All Ports	07-2010	3603.60093
All Ports	08-2010	3827.3
All Ports	09-2010	3221.565
All Ports	10-2010	3643.62754
All Ports	11-2010	3576.3312
All Ports	12-2010	3437.19243
All Ports	01-2011	3175.3829
All Ports	02-2011	3444.3614
All Ports	03-2011	4381.8152
All Ports	04-2011	3727.8956
All Ports	05-2011	3965.1929
All Ports	06-2011	4039.2082
All Ports	07-2011	3777.6685
All Ports	08-2011	4187.1448
All Ports	09-2011	3382.779
All Ports	10-2011	3840.8054
All Ports	11-2011	3662.7527
All Ports	12-2011	3488.4734
All Ports	01-2012	3844.6295
All Ports	02-2012	3134.6666
All Ports	03-2012	4211.0657
All Ports	04-2012	4083.5509
All Ports	05-2012	4476.7276
All Ports	06-2012	3858.8814
All Ports	07-2012	4211.1132
All Ports	08-2012	4231.432
All Ports	09-2012	3425.8211
All Ports	10-2012	3811.8977
All Ports	11-2012	3414.3947
All Ports	12-2012	3762.4032
All Ports	01-2013	3883.8922
All Ports	02-2013	4007.7259
All Ports	03-2013	4056.4287
All Ports	04-2013	4478.960392
All Ports	05-2013	4645.250066
All Ports	06-2013	4240.89348
All Ports	07-2013	4402.9471
All Ports	08-2013	4246.160581
All Ports	09-2013	3468.441466
All Ports	10-2013	3657.74556
All Ports	11-2013	3639.397066
All Ports	12-2013	4022.375191
All Ports	01-2014	4497.935121
All Ports	02-2014	4016.303557
All Ports	03-2014	4622.639767
All Ports	04-2014	4309.313223
All Ports	05-2014	4645.58749976923
All Ports	06-2014	4522.520735
All Ports	07-2014	4566.133566
All Ports	08-2014	4460.664257
All Ports	09-2014	4430.757401
All Ports	10-2014	4299.758999
All Ports	11-2014	4096.254589
All Ports	12-2014	4828.003856
All Ports	01-2015	4305.470049
