Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
AllPorts	01-2008	Monthly	2008	200801	172.176	172176.0
AllPorts	02-2008	Monthly	2008	200802	178.679	178679.0
AllPorts	03-2008	Monthly	2008	200803	193.246	193246.0
AllPorts	04-2008	Monthly	2008	200804	183.787	183787.0
AllPorts	05-2008	Monthly	2008	200805	185.193	185193.0
AllPorts	06-2008	Monthly	2008	200806	179.109	179109.0
AllPorts	07-2008	Monthly	2008	200807	195.951	195951.0
AllPorts	08-2008	Monthly	2008	200808	156.245	156245.0
AllPorts	09-2008	Monthly	2008	200809	122.511	122511.0
AllPorts	10-2008	Monthly	2008	200810	173.322	173322.0
AllPorts	11-2008	Monthly	2008	200811	180.583	180583.0
AllPorts	12-2008	Monthly	2008	200812	160.259	160259.0
AllPorts	01-2009	Monthly	2009	200901	150.221	150221.0
AllPorts	02-2009	Monthly	2009	200902	146.92	146920.0
AllPorts	03-2009	Monthly	2009	200903	178.513	178513.0
AllPorts	04-2009	Monthly	2009	200904	169.827	169827.0
AllPorts	05-2009	Monthly	2009	200905	169.86	169860.0
AllPorts	06-2009	Monthly	2009	200906	173.906	173906.0
AllPorts	07-2009	Monthly	2009	200907	172.259	172259.0
AllPorts	08-2009	Monthly	2009	200908	178.098	178098.0
AllPorts	09-2009	Monthly	2009	200909	159.693	159693.0
AllPorts	10-2009	Monthly	2009	200910	165.812	165812.0
AllPorts	11-2009	Monthly	2009	200911	174.575	174575.0
AllPorts	12-2009	Monthly	2009	200912	191.823	191823.0
AllPorts	01-2010	Monthly	2010	201001	175.163	175163.0
AllPorts	02-2010	Monthly	2010	201002	172.595	172595.0
AllPorts	03-2010	Monthly	2010	201003	209.721	209721.0
AllPorts	04-2010	Monthly	2010	201004	194.571	194571.0
AllPorts	05-2010	Monthly	2010	201005	204.269	204269.0
AllPorts	06-2010	Monthly	2010	201006	201.291	201291.0
AllPorts	07-2010	Monthly	2010	201007	194.701	194701.0
AllPorts	08-2010	Monthly	2010	201008	197.845	197845.0
AllPorts	09-2010	Monthly	2010	201009	174.939	174939.0
AllPorts	10-2010	Monthly	2010	201010	182.918	182918.0
AllPorts	11-2010	Monthly	2010	201011	190.799	190799.0
AllPorts	12-2010	Monthly	2010	201012	185.227	185227.0
AllPorts	01-2011	Monthly	2011	201101	173.917	173917.0
AllPorts	02-2011	Monthly	2011	201102	194.794	194794.0
AllPorts	03-2011	Monthly	2011	201103	230.561	230561.0
AllPorts	04-2011	Monthly	2011	201104	208.171	208171.0
AllPorts	05-2011	Monthly	2011	201105	206.699	206699.0
AllPorts	06-2011	Monthly	2011	201106	225.837	225837.0
AllPorts	07-2011	Monthly	2011	201107	200.342	200342.0
AllPorts	08-2011	Monthly	2011	201108	211.183	211183.0
AllPorts	09-2011	Monthly	2011	201109	180.602	180602.0
AllPorts	10-2011	Monthly	2011	201110	189.476	189476.0
AllPorts	11-2011	Monthly	2011	201111	187.133	187133.0
AllPorts	12-2011	Monthly	2011	201112	186.952	186952.0
AllPorts	01-2012	Monthly	2012	201201	217.052	217052.0
AllPorts	02-2012	Monthly	2012	201202	191.34	191340.0
AllPorts	03-2012	Monthly	2012	201203	237.13	237130.0
AllPorts	04-2012	Monthly	2012	201204	232.697	232697.0
AllPorts	05-2012	Monthly	2012	201205	236.111	236111.0
AllPorts	06-2012	Monthly	2012	201206	211.405	211405.0
AllPorts	07-2012	Monthly	2012	201207	225.641	225641.0
AllPorts	08-2012	Monthly	2012	201208	207.418	207418.0
AllPorts	09-2012	Monthly	2012	201209	180.405	180405.0
AllPorts	10-2012	Monthly	2012	201210	203.204	203204.0
AllPorts	11-2012	Monthly	2012	201211	192.366	192366.0
AllPorts	12-2012	Monthly	2012	201212	206.304	206304.0
AllPorts	01-2013	Monthly	2013	201301	221.62	221620.0
AllPorts	02-2013	Monthly	2013	201302	214.491	214491.0
AllPorts	03-2013	Monthly	2013	201303	222.841	222841.0
AllPorts	04-2013	Monthly	2013	201304	238.102	238102.0
AllPorts	05-2013	Monthly	2013	201305	244.437	244437.0
AllPorts	06-2013	Monthly	2013	201306	221.078	221078.0
AllPorts	07-2013	Monthly	2013	201307	233.914	233914.0
AllPorts	08-2013	Monthly	2013	201308	215.529	215529.0
AllPorts	09-2013	Monthly	2013	201309	172.888	172888.0
AllPorts	10-2013	Monthly	2013	201310	185.246	185246.0
AllPorts	11-2013	Monthly	2013	201311	171.833	171833.0
AllPorts	12-2013	Monthly	2013	201312	196.906	196906.0
AllPorts	01-2014	Monthly	2014	201401	202.35	202350.0
AllPorts	02-2014	Monthly	2014	201402	193.744	193744.0
AllPorts	03-2014	Monthly	2014	201403	205.592	205592.0
AllPorts	04-2014	Monthly	2014	201404	199.928	199928.0
AllPorts	05-2014	Monthly	2014	201405	211.146	211146.0
AllPorts	06-2014	Monthly	2014	201406	217.142	217142.0
AllPorts	07-2014	Monthly	2014	201407	216.836	216836.0
AllPorts	08-2014	Monthly	2014	201408	202.328	202328.0
AllPorts	09-2014	Monthly	2014	201409	197.712	197712.0
AllPorts	10-2014	Monthly	2014	201410	197.843	197843.0
AllPorts	11-2014	Monthly	2014	201411	186.797	186797.0
AllPorts	12-2014	Monthly	2014	201412	214.712	214712.0
AllPorts	01-2015	Monthly	2015	201501	196.76	196760.0
AllPorts	02-2015	Monthly	2015	201502	184.888	184888.0
AllPorts	03-2015	Monthly	2015	201503	247.637	247637.0
AllPorts	04-2015	Monthly	2015	201504	211.686	211686.0
AllPorts	05-2015	Monthly	2015	201505	206.632	206632.0
AllPorts	06-2015	Monthly	2015	201506	230.301	230301.0
AllPorts	07-2015	Monthly	2015	201507	220.494	220494.0
AllPorts	08-2015	Monthly	2015	201508	201.308	201308.0
AllPorts	09-2015	Monthly	2015	201509	188.826	188826.0
AllPorts	10-2015	Monthly	2015	201510	214.564	214564.0
AllPorts	11-2015	Monthly	2015	201511	204.176	204176.0
AllPorts	12-2015	Monthly	2015	201512	214.334	214334.0
AllPorts	01-2016	Monthly	2016	201601	211.014	211014.0
AllPorts	02-2016	Monthly	2016	201602	228.361	228361.0
