port	terminal	year	month	date	L_hours
Ashdod	Ashdod-HCT	2021	1	2021-01-31	0.0
Ashdod	Ashdod-HCT	2021	2	2021-02-28	0.0
Ashdod	Ashdod-HCT	2021	3	2021-03-31	0.0
Ashdod	Ashdod-HCT	2021	4	2021-04-30	0.0
Ashdod	Ashdod-HCT	2021	5	2021-05-31	0.0
Ashdod	Ashdod-HCT	2021	6	2021-06-30	0.0
Ashdod	Ashdod-HCT	2021	7	2021-07-31	104.85500086416096
Ashdod	Ashdod-HCT	2021	8	2021-08-31	106.36952975141706
Ashdod	Ashdod-HCT	2021	9	2021-09-30	73.39891859816585
Ashdod	Ashdod-HCT	2021	10	2021-10-31	172.1941069210607
Ashdod	Ashdod-HCT	2021	11	2021-11-30	174.2036451117408
Ashdod	Ashdod-HCT	2021	12	2021-12-31	174.2036451117408
Ashdod	Ashdod-HCT	2022	1	2022-01-31	241.71453581270944
Ashdod	Ashdod-HCT	2022	2	2022-02-28	241.71453581270944
Ashdod	Ashdod-HCT	2022	3	2022-03-31	241.71453581270944
Ashdod	Ashdod-HCT	2022	4	2022-04-30	320.664151526553
Ashdod	Ashdod-HCT	2022	5	2022-05-31	320.664151526553
Ashdod	Ashdod-HCT	2022	6	2022-06-30	320.664151526553
Ashdod	Ashdod-HCT	2022	7	2022-07-31	788.9283785047252
Ashdod	Ashdod-HCT	2022	8	2022-08-31	788.9283785047252
Ashdod	Ashdod-HCT	2022	9	2022-09-30	788.9283785047252
Ashdod	Ashdod-HCT	2022	10	2022-10-31	786.1065785118262
Ashdod	Ashdod-HCT	2022	11	2022-11-30	786.1065785118262
Ashdod	Ashdod-HCT	2022	12	2022-12-31	786.1065785118262
Ashdod	Ashdod-HCT	2023	1	2023-01-31	1051.4880952380954
Ashdod	Ashdod-HCT	2023	2	2023-02-28	1051.4880952380954
Ashdod	Ashdod-HCT	2023	3	2023-03-31	1051.4880952380954
Ashdod	Ashdod-HCT	2023	4	2023-04-30	1792.1874999999998
Ashdod	Ashdod-HCT	2023	5	2023-05-31	1792.1874999999998
Ashdod	Ashdod-HCT	2023	6	2023-06-30	1792.1874999999998
Ashdod	Ashdod-HCT	2023	7	2023-07-31	1770.0982142857144
Ashdod	Ashdod-HCT	2023	8	2023-08-31	1770.0982142857144
Ashdod	Ashdod-HCT	2023	9	2023-09-30	1770.0982142857144
Ashdod	Ashdod-HCT	2023	10	2023-10-31	1040.6101190476188
Ashdod	Ashdod-HCT	2023	11	2023-11-30	1040.6101190476188
Ashdod	Ashdod-HCT	2023	12	2023-12-31	1040.6101190476188
Ashdod	Ashdod-HCT	2024	1	2024-01-31	557.7745901639344
Ashdod	Ashdod-HCT	2024	2	2024-02-29	557.7745901639344
Ashdod	Ashdod-HCT	2024	3	2024-03-31	557.7745901639344
Ashdod	Ashdod-HCT	2024	4	2024-04-30	1010.5737704918032
Ashdod	Ashdod-HCT	2024	5	2024-05-31	1010.5737704918032
Ashdod	Ashdod-HCT	2024	6	2024-06-30	1010.5737704918032
Ashdod	Ashdod-HCT	2024	7	2024-07-31	1192.7021857923496
Ashdod	Ashdod-HCT	2024	8	2024-08-31	1192.7021857923496
Ashdod	Ashdod-HCT	2024	9	2024-09-30	1192.7021857923496
Ashdod	Ashdod-HCT	2024	10	2024-10-31	1024.0150273224044
Ashdod	Ashdod-HCT	2024	11	2024-11-30	1024.0150273224044
Ashdod	Ashdod-HCT	2024	12	2024-12-31	1024.0150273224044
Ashdod	Ashdod-Legacy	2018	1	2018-01-31	2970.341463414634
Ashdod	Ashdod-Legacy	2018	2	2018-02-28	2655.731707317073
Ashdod	Ashdod-Legacy	2018	3	2018-03-31	2991.853658536585
Ashdod	Ashdod-Legacy	2018	4	2018-04-30	2857.1951219512193
Ashdod	Ashdod-Legacy	2018	5	2018-05-31	2669.2195121951218
Ashdod	Ashdod-Legacy	2018	6	2018-06-30	3224.80487804878
Ashdod	Ashdod-Legacy	2018	7	2018-07-31	3471.170731707317
Ashdod	Ashdod-Legacy	2018	8	2018-08-31	3332.7073170731705
Ashdod	Ashdod-Legacy	2018	9	2018-09-30	2340.3902439024387
Ashdod	Ashdod-Legacy	2018	10	2018-10-31	3344.097560975609
Ashdod	Ashdod-Legacy	2018	11	2018-11-30	3184.682926829268
Ashdod	Ashdod-Legacy	2018	12	2018-12-31	2987.3414634146343
Ashdod	Ashdod-Legacy	2019	1	2019-01-31	2928.1666666666665
Ashdod	Ashdod-Legacy	2019	2	2019-02-28	3209.523809523809
Ashdod	Ashdod-Legacy	2019	3	2019-03-31	2808.642857142857
Ashdod	Ashdod-Legacy	2019	4	2019-04-30	3202.9285714285716
Ashdod	Ashdod-Legacy	2019	5	2019-05-31	3084.690476190476
Ashdod	Ashdod-Legacy	2019	6	2019-06-30	3306.9761904761904
Ashdod	Ashdod-Legacy	2019	7	2019-07-31	3561.142857142857
Ashdod	Ashdod-Legacy	2019	8	2019-08-31	3148.571428571429
Ashdod	Ashdod-Legacy	2019	9	2019-09-30	3041.3809523809523
Ashdod	Ashdod-Legacy	2019	10	2019-10-31	2693.8809523809527
Ashdod	Ashdod-Legacy	2019	11	2019-11-30	2835.904761904762
Ashdod	Ashdod-Legacy	2019	12	2019-12-31	2787.6190476190477
Ashdod	Ashdod-Legacy	2020	1	2020-01-31	3037.358974358974
Ashdod	Ashdod-Legacy	2020	2	2020-02-29	3225.487179487179
Ashdod	Ashdod-Legacy	2020	3	2020-03-31	3055.7692307692305
Ashdod	Ashdod-Legacy	2020	4	2020-04-30	2925.6153846153843
Ashdod	Ashdod-Legacy	2020	5	2020-05-31	3113.4871794871797
Ashdod	Ashdod-Legacy	2020	6	2020-06-30	3499.5641025641025
Ashdod	Ashdod-Legacy	2020	7	2020-07-31	3674.897435897436
Ashdod	Ashdod-Legacy	2020	8	2020-08-31	3726.999999999999
Ashdod	Ashdod-Legacy	2020	9	2020-09-30	3489.358974358974
Ashdod	Ashdod-Legacy	2020	10	2020-10-31	3707.897435897435
Ashdod	Ashdod-Legacy	2020	11	2020-11-30	3540.333333333333
Ashdod	Ashdod-Legacy	2020	12	2020-12-31	3631.410256410256
Ashdod	Ashdod-Legacy	2021	1	2021-01-31	3420.435897435897
Ashdod	Ashdod-Legacy	2021	2	2021-02-28	3059.564102564102
Ashdod	Ashdod-Legacy	2021	3	2021-03-31	3508.487179487179
Ashdod	Ashdod-Legacy	2021	4	2021-04-30	3357.564102564102
Ashdod	Ashdod-Legacy	2021	5	2021-05-31	3588.358974358974
Ashdod	Ashdod-Legacy	2021	6	2021-06-30	3741.358974358974
Ashdod	Ashdod-Legacy	2021	7	2021-07-31	3859.3701500546294
Ashdod	Ashdod-Legacy	2021	8	2021-08-31	3915.115012299625
Ashdod	Ashdod-Legacy	2021	9	2021-09-30	2701.5744900048217
Ashdod	Ashdod-Legacy	2021	10	2021-10-31	3370.636192485084
Ashdod	Ashdod-Legacy	2021	11	2021-11-30	3409.9721620882287
Ashdod	Ashdod-Legacy	2021	12	2021-12-31	3409.9721620882287
Ashdod	Ashdod-Legacy	2022	1	2022-01-31	3247.738738738738
Ashdod	Ashdod-Legacy	2022	2	2022-02-28	3247.738738738738
Ashdod	Ashdod-Legacy	2022	3	2022-03-31	3247.738738738738
Ashdod	Ashdod-Legacy	2022	4	2022-04-30	3370.981981981982
