design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	tvalue	pvalue	n_event_obs	n_obs	r2	stars	N_event	spec_display
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-24	-24	-0.1018041670719832	1.0825670798241346e-14	-9403959252901.123	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-23	-23	-0.0232861502557731	3.3306690738754653e-15	-6991433174319.571	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-22	-22	-0.3387370184696093	4.4242074104631e-15	-76564452577089.36	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-21	-21	-0.2773626939296383	1.1236861156120822e-14	-24683289227842.45	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-20	-20	-0.0624511311898441	1.2531265855673042e-14	-4983625110911.825	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-19	-19	-0.1030347219950487	4.989831893063961e-15	-20648936517935.723	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-18	-18	-0.0868804093671939	8.045862168512399e-15	-10798147861294.686	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-17	-17	-0.2773391873988793	1.0235750533041784e-14	-27095149154290.863	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-16	-16	-0.1891362355868026	6.268583080834222e-15	-30172087240109.2	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-15	-15	-0.1829320077359302	8.08254562088051e-15	-22632969403023.51	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-14	-14	-0.2502491578482313	8.440616121040742e-15	-29648209829660.535	0.0	1.0	76	1.0	***	1.0	NYT
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-13	-13	-0.0026695775566635	1.1024240709028986e-14	-242155231106.04132	0.0	1.0	76	1.0	***	1.0	NYT
