table_group	panel	row_key	row_label	row_order	row_type	target	target_key	spec_name	spec_display	column_key	column_label	column_order	design	reform	beta	se	pvalue	stars	n_obs	r2	value_num	value_display
competition	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_comp	0.4594699857603254	0.2553371526614392	0.0719453311601122	*	128	0.854413643845244	0.4594699857603254	0.459* (0.255)
competition	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_comp	1.4395046717599078	0.1804710454336419	1.5069406114839685e-15	***	128	0.8717934309801134	1.4395046717599078	1.440*** (0.180)
competition	panelA	full_post	Static DiD: full post	1	estimate	Ashdod-Legacy	ashdod_legacy	baseline	TWFE	Ashdod-Legacy__baseline	Ashdod-Legacy — TWFE	3	TWFE	ashdod_comp	-0.6263095498514044	0.1038216667997314	1.613909029811317e-09	***	86	0.8735965852847198	-0.6263095498514044	-0.626*** (0.104)
competition	panelA	full_post	Static DiD: full post	1	estimate	Ashdod-Legacy	ashdod_legacy	porttr	TWFE+Tr	Ashdod-Legacy__porttr	Ashdod-Legacy — TWFE+Tr	4	TWFE	ashdod_comp	-1.4596530403135182	0.999251810635448	0.1440851724675512		86	0.8790293888648735	-1.4596530403135182	-1.460 (0.999)
competition	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_comp	0.5778581130199325	0.257653118489036	0.0249112922823378	**	74	0.8429233044576566	0.5778581130199325	0.578** (0.258)
competition	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_comp	2.285871279282091	0.6840522763752882	0.0008327849930399	***	74	0.8837043133899656	2.285871279282091	2.286*** (0.684)
competition	panelA	post_y1	Static DiD: post year 1	2	estimate	Ashdod-Legacy	ashdod_legacy	baseline	TWFE	Ashdod-Legacy__baseline	Ashdod-Legacy — TWFE	3	TWFE	ashdod_comp	-0.7525301092240229	0.1100612272308889	8.06562575090499e-12	***	60	0.8748659627521576	-0.7525301092240229	-0.753*** (0.110)
competition	panelA	post_y1	Static DiD: post year 1	2	estimate	Ashdod-Legacy	ashdod_legacy	porttr	TWFE+Tr	Ashdod-Legacy__porttr	Ashdod-Legacy — TWFE+Tr	4	TWFE	ashdod_comp	-1.6358432630204032	2.2150860412884814	0.460210057950969		60	0.8781879117700953	-1.6358432630204032	-1.636 (2.215)
competition	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_comp	0.5535801748100266	0.2562978326042562	0.0307796606839416	**	98	0.8553695481734344	0.5535801748100266	0.554** (0.256)
competition	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_comp	1.9350675501598185	0.0982588824946631	2.4484360168177887e-86	***	98	0.8789221234730784	1.9350675501598185	1.935*** (0.098)
competition	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Ashdod-Legacy	ashdod_legacy	baseline	TWFE	Ashdod-Legacy__baseline	Ashdod-Legacy — TWFE	3	TWFE	ashdod_comp	-0.6339945399097305	0.1041358026667892	1.142217851515276e-09	***	84	0.8735929481562094	-0.6339945399097305	-0.634*** (0.104)
competition	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Ashdod-Legacy	ashdod_legacy	porttr	TWFE+Tr	Ashdod-Legacy__porttr	Ashdod-Legacy — TWFE+Tr	4	TWFE	ashdod_comp	-1.4875371740186942	1.064545632571957	0.162309946635434		84	0.8789778429142271	-1.4875371740186942	-1.488 (1.065)
competition	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_comp					128	0.854413643845244	128.0	128
competition	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_comp					128	0.8717934309801134	128.0	128
competition	panelA	n_obs	Observations	4	summary	Ashdod-Legacy	ashdod_legacy	baseline	TWFE	Ashdod-Legacy__baseline	Ashdod-Legacy — TWFE	3	TWFE	ashdod_comp					86	0.8735965852847198	86.0	86
competition	panelA	n_obs	Observations	4	summary	Ashdod-Legacy	ashdod_legacy	porttr	TWFE+Tr	Ashdod-Legacy__porttr	Ashdod-Legacy — TWFE+Tr	4	TWFE	ashdod_comp					86	0.8790293888648735	86.0	86
competition	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_comp					128	0.854413643845244	0.854413643845244	0.854
competition	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_comp					128	0.8717934309801134	0.8717934309801134	0.872
competition	panelA	r2	Within R^2	5	summary	Ashdod-Legacy	ashdod_legacy	baseline	TWFE	Ashdod-Legacy__baseline	Ashdod-Legacy — TWFE	3	TWFE	ashdod_comp					86	0.8735965852847198	0.8735965852847198	0.874
competition	panelA	r2	Within R^2	5	summary	Ashdod-Legacy	ashdod_legacy	porttr	TWFE+Tr	Ashdod-Legacy__porttr	Ashdod-Legacy — TWFE+Tr	4	TWFE	ashdod_comp					86	0.8790293888648735	0.8790293888648735	0.879
competition	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp	2.6359651110528697	4.293486461873256e-15	0.0	***	76	1.0	2.6359651110528697	2.636*** (0.000)
competition	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp	2.637051842175831	1.6035705629370133e-11	0.0	***	76	1.0	2.637051842175831	2.637*** (0.000)
competition	panelB	post_y1	Post year 1	2	estimate	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp	2.6491755719412176	4.3019724654535614e-15	0.0	***	76	1.0	2.6491755719412176	2.649*** (0.000)
competition	panelB	post_y1	Post year 1	2	estimate	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp	2.6501943823690013	1.601328199365917e-11	0.0	***	76	1.0	2.6501943823690013	2.650*** (0.000)
competition	panelB	avg_pre	Average pre	3	estimate	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp	2.0925363021314736	5.401107496025101e-15	0.0	***	76	1.0	2.0925363021314736	2.093*** (0.000)
competition	panelB	avg_pre	Average pre	3	estimate	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp	2.091721253789385	4.1607093960907373e-13	0.0	***	76	1.0	2.091721253789385	2.092*** (0.000)
competition	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp					76	1.0		
competition	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp					76	1.0		
competition	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp					76	1.0	76.0	76
competition	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp					76	1.0	76.0	76
competition	panelB	r2	Within R^2	6	summary	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_comp					76	1.0	1.0	1.000
competition	panelB	r2	Within R^2	6	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_comp					76	1.0	1.0	1.000
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_priv	-0.3037072914633894	0.1444237142134881	0.035475321354081	**	144	0.898391844992532	-0.3037072914633894	-0.304** (0.144)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_priv	-0.030832682224435	0.1437911032153325	0.83021415700855		144	0.9287144511153208	-0.030832682224435	-0.031 (0.144)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	TWFE	Haifa-Bayport__baseline	Haifa-Bayport — TWFE	3	TWFE	haifa_priv	-0.1064142500274623	0.1822637913327104	0.5593229501488883		144	0.8885000189551768	-0.1064142500274623	-0.106 (0.182)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	porttr	TWFE+Tr	Haifa-Bayport__porttr	Haifa-Bayport — TWFE+Tr	4	TWFE	haifa_priv	0.2256878906739201	0.0650633406393454	0.0005229028941968	***	144	0.9334142135253074	0.2256878906739201	0.226*** (0.065)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_priv	-0.0736346662876438	0.0335045178634103	0.0279666876376098	**	100	0.9703065379100188	-0.0736346662876438	-0.074** (0.034)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_priv	0.0469953589657226	0.0743551015946371	0.5273610865709334		100	0.974837215898362	0.0469953589657226	0.047 (0.074)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	TWFE	Haifa-Bayport__baseline	Haifa-Bayport — TWFE	3	TWFE	haifa_priv	-0.0421225832805106	0.041081594445171	0.3052030036635632		100	0.9699279590044804	-0.0421225832805106	-0.042 (0.041)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	porttr	TWFE+Tr	Haifa-Bayport__porttr	Haifa-Bayport — TWFE+Tr	4	TWFE	haifa_priv	0.08901146996495	0.0593757021233827	0.133841772730533		100	0.9752820201496716	0.08901146996495	0.089 (0.059)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_priv	-0.3037072914633894	0.1444237142134881	0.035475321354081	**	144	0.898391844992532	-0.3037072914633894	-0.304** (0.144)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_priv	-0.030832682224435	0.1437911032153325	0.83021415700855		144	0.9287144511153208	-0.030832682224435	-0.031 (0.144)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	TWFE	Haifa-Bayport__baseline	Haifa-Bayport — TWFE	3	TWFE	haifa_priv	-0.1064142500274623	0.1822637913327104	0.5593229501488883		144	0.8885000189551768	-0.1064142500274623	-0.106 (0.182)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Bayport	haifa_bayport_placebo	porttr	TWFE+Tr	Haifa-Bayport__porttr	Haifa-Bayport — TWFE+Tr	4	TWFE	haifa_priv	0.2256878906739201	0.0650633406393454	0.0005229028941968	***	144	0.9334142135253074	0.2256878906739201	0.226*** (0.065)
privatization	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_priv					144	0.898391844992532	144.0	144
privatization	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_priv					144	0.9287144511153208	144.0	144
privatization	panelA	n_obs	Observations	4	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	TWFE	Haifa-Bayport__baseline	Haifa-Bayport — TWFE	3	TWFE	haifa_priv					144	0.8885000189551768	144.0	144
privatization	panelA	n_obs	Observations	4	summary	Haifa-Bayport	haifa_bayport_placebo	porttr	TWFE+Tr	Haifa-Bayport__porttr	Haifa-Bayport — TWFE+Tr	4	TWFE	haifa_priv					144	0.9334142135253074	144.0	144
privatization	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	baseline	TWFE	Haifa-Legacy__baseline	Haifa-Legacy — TWFE	1	TWFE	haifa_priv					144	0.898391844992532	0.898391844992532	0.898
privatization	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	porttr	TWFE+Tr	Haifa-Legacy__porttr	Haifa-Legacy — TWFE+Tr	2	TWFE	haifa_priv					144	0.9287144511153208	0.9287144511153208	0.929
privatization	panelA	r2	Within R^2	5	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	TWFE	Haifa-Bayport__baseline	Haifa-Bayport — TWFE	3	TWFE	haifa_priv					144	0.8885000189551768	0.8885000189551768	0.889
privatization	panelA	r2	Within R^2	5	summary	Haifa-Bayport	haifa_bayport_placebo	porttr	TWFE+Tr	Haifa-Bayport__porttr	Haifa-Bayport — TWFE+Tr	4	TWFE	haifa_priv					144	0.9334142135253074	0.9334142135253074	0.933
privatization	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_priv	0.0853109967372232	0.0579305710713146	0.14084757162375783		84	0.984437240446424	0.0853109967372232	0.085 (0.058)
privatization	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_priv	0.1394604767451364	0.0959072925873854	0.14591372036159167		84	0.9869690059047206	0.1394604767451364	0.139 (0.096)
