design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-24	-24	2.6038177065537265	3.794299872311407e-15	686244575858348.2	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-23	-23	2.67182261363841	3.6067043581467606e-14	74079335269145.19	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-22	-22	2.367840371179109	1.1554856477235492e-14	204921660069430.53	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-21	-21	2.4293083518112004	7.021666937179493e-15	345973167560553.7	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-20	-20	2.6409365787150643	2.6969051793048436e-14	97924710107746.33	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-19	-19	2.6014631750782824	4.0943002132300614e-15	635386522627744.8	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-18	-18	2.6176174877061413	1.084159927676579e-14	241442006929351.78	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-17	-17	2.427158709674457	7.562566735504887e-15	320943774060119.6	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-16	-16	2.5169043989165445	7.391117485630433e-15	340530968938029.6	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-15	-15	2.521565889337406	5.024295867817714e-15	501874482649175.6	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-14	-14	2.456046301732738	1.0223701381670633e-14	240230637617801.88	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-13	-13	2.701828319516665	2.5121479339912757e-15	1075505261039315.9	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-12	-12	2.6044001172817106	1.1102230246252985e-14	234583507954241.75	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-11	-11	2.5198251347812404	2.979040983980292e-15	845851113942885.6	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-10	-10	2.429009174029957	6.556898606399834e-15	370450928074308.25	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-9	-9	2.5459997147913227	4.528839093647024e-15	562174911085449.4	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	-8	2.591353472438841	1.1374233532681631e-14	227826645636657.16	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-7	-7	2.5082687198724445	3.972054645241467e-15	631478905477133.4	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-6	-6	2.586980066563916	8.484312441293418e-15	304913342650254.4	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-5	-5	2.6740832094923133	8.188600426446758e-15	326561691892526.0	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-4	-4	2.5805543733365988	9.86038065028552e-15	261709407056397.53	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-3	-3	2.621445187128331	4.189529226715992e-15	625713545668036.6	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2.6440198462704263	9.930136614371413e-16	-2662621823796323.5	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	0	-1.7912727542736708	6.036357218695921e-14	-29674730791705.082	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	1	2.531532918054274	1.3558937856169376e-13	18670584266321.535	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	2	2	2.5315329180542356	3.8879834478152487e-14	65111720562410.44	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	3	3	2.531532918054229	3.0040187750932064e-14	84271541144934.5	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	4	4	2.9269608861271994	3.112507823956042e-14	94038667585001.94	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	5	5	2.9269608861271976	3.052366349036633e-14	95891533041274.2	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	6	6	2.9269608861271914	2.7791080044113574e-14	105320156017007.72	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	7	7	2.7894829532447925	2.7726250235809235e-14	100608013327460.22	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	8	8	2.7894829532448044	2.6711882913288715e-14	104428540747199.94	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	9	9	2.789482953244807	2.737189516153763e-14	101910479226316.98	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	10	10	2.348725530338653	2.9581141950862575e-14	79399420557872.17	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	11	11	2.348725530338659	3.218651245137151e-14	72972352437599.28	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	12	12	2.348725530338652	2.8677299274745755e-14	81901908120302.77	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	13	13	2.477439580392687	2.8104216433720443e-14	88151882342471.81	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	14	14	2.477439580392699	3.074496023223265e-14	80580347532711.44	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	15	15	2.4774395803926934	2.916486363855057e-14	84946036816643.12	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	16	16	2.931869001090669	2.675245888254364e-14	109592505644546.77	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	17	17	2.9318690010906745	2.9767230502525704e-14	98493173587039.27	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	18	18	2.9318690010906767	3.050346599501434e-14	96115929959234.08	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	19	19	2.466293374249123	2.7451036040794416e-14	89843362217149.67	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	20	20	2.466293374249128	2.9316615702344484e-14	84126128312003.48	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	21	21	2.466293374249119	2.565744385958361e-14	96123892455791.34	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	22	22	2.5268768263531687	3.1105271261542806e-14	81236289666352.73	0.0	1.0	128	1.0
