design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-24	-24	2.603817706553717	9.155133597044387e-15	284410672870391.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-23	-23	2.6718226136384198	2.220446049249931e-15	1203281932718412.2	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-22	-22	2.367840371179098	3.202372833989185e-15	739401841674221.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-21	-21	2.4293083518111858	1.0923150274288096e-14	222399975355966.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-20	-20	2.6409365787150847	1.0593180059249835e-14	249305360991107.78	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-19	-19	2.6014631750782797	2.9790409838962296e-15	873255248632355.8	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-18	-18	2.617617487706135	8.54222650910995e-15	306432694674456.25	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-17	-17	2.42715870967445	1.0986160316453268e-14	220928753974166.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-16	-16	2.5169043989165374	5.841081590836344e-15	430896976831333.56	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-15	-15	2.5215658893374	7.601582815929532e-15	331715900542887.06	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-14	-14	2.456046301732731	7.0216669371532685e-15	349781088125558.94	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-13	-13	2.701828319516667	8.260536804688783e-15	327076603300535.56	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-12	-12	2.6044001172817106	1.6011864169943624e-15	1626543973668295.5	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-11	-11	2.519825134781234	3.2023728339889808e-15	786861888171358.6	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-10	-10	2.429009174029953	3.820199830714086e-15	635833014414828.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-9	-9	2.5459997147913196	5.3659503389956e-15	474473216102831.2	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	-8	2.591353472438839	1.2947314098277682e-14	200146026640657.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-7	-7	2.5082687198724347	3.996802888650722e-15	627568781786784.4	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-6	-6	2.586980066563914	8.758808311222552e-15	295357538907347.56	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-5	-5	2.674083209492311	6.311693569372878e-15	423671266689521.0	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-4	-4	2.5805543733366028	2.9790409838961913e-15	866236613489479.1	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-3	-3	2.621445187128322	7.601582815929696e-15	344855176955368.3	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2.644019846270432	1.0129226104955256e-14	-261028810974706.9	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	0	-1.7912727542737024	1.0214655190808975e-14	-175363017234832.2	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	1	2.531532918054215	1.1708869459420974e-14	216206434517667.28	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	2	2	2.531532918054224	5.215603574570278e-15	485376789447192.8	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	3	3	2.5315329180542263	4.9160202455556126e-15	514955755184875.25	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	4	4	2.926960886127185	1.0302965376958497e-14	284089170354102.8	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	5	5	2.9269608861271927	7.242875823676386e-15	404115845333036.06	0.0	1.0	76	1.0
