design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-24	-24	-0.1028599921138062	2.243227484473042e-12	-45853571617.57899	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-23	-23	-0.02429606986170579	2.647367477908083e-12	-9177445165.604378	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-22	-22	-0.3397010326374431	1.6091820658837998e-12	-211101676957.1512	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-21	-21	-0.27828080266170513	2.007640511097634e-12	-138610872376.52975	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-20	-20	-0.0633233344858306	2.3762231011611054e-12	-26648732795.70787	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-19	-19	-0.10386101985438462	2.1321354873218477e-12	-48712204487.92554	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-18	-18	-0.08766080178878138	1.2218260864141504e-12	-71745727778.69785	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-17	-17	-0.2780736743852187	2.0737154562339477e-12	-134094421464.27615	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-16	-16	-0.1898248171367672	2.1631183001665666e-12	-87755171375.57854	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-15	-15	-0.1835746838483193	1.4719178008739014e-12	-124718026875.77257	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-14	-14	-0.25084592852430077	1.4551107402182555e-12	-172389579425.8764	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-13	-13	-0.0032204427957602966	1.0845937951494116e-12	-2969261681.3437095	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-12	-12	-0.09949398300488477	9.821439428616465e-13	-101302852527.90117	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-11	-11	-0.18513181665760006	6.193679140537856e-13	-298904435404.0001	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-10	-10	-0.2759018719726767	8.775374866161355e-13	-314404656417.10583	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-9	-9	-0.1588654257742039	4.4836817643795756e-13	-354319137982.3245	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-8	-8	-0.12329985703620344	1.023488493124418e-12	-120470193719.32965	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-7	-7	-0.2094297651566036	3.5760310233231347e-13	-585648624943.932	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-6	-6	-0.1275814520372064	3.6581982876170027e-13	-348754884252.9107	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-5	-5	-0.037370185557577484	7.525981585622038e-13	-49654899008.75005	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-4	-4	-0.1339153343916596	5.134473300336099e-13	-260816108212.8786	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-3	-3	-0.0929786151640776	3.010013530101175e-12	-30889766519.073532	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-2	-2	-5.362133477297897	1.238842449563674e-12	-4328341734807.736	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	0	-4.577622174538591	1.2131553752058327e-11	-377331895657.79395	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	1	1	0.8606827997427582	1.6957703943788333e-12	507546777910.36053	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	2	2	0.8607287051793613	1.6134066543471146e-12	533485282746.4419	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	3	3	0.8607746106161072	1.4965678172725796e-12	575165789803.516	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	4	4	0.23436745949817628	1.564401246393886e-12	149812882109.6369	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	5	5	0.23441336493460474	1.6375842424788072e-12	143145835709.6633	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	6	6	0.2344592703713808	1.5731312340116668e-12	149039867305.5919	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	7	7	0.0846729236100848	1.6399592259804958e-12	51631115133.03674	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	8	8	0.0847188290459977	1.3508075091101968e-12	62717173597.74202	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	9	9	0.08476473448345834	1.4262667335215297e-12	59431193682.9443	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	10	10	-0.35594678298571125	1.401503829116995e-12	-253974891534.88245	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	11	11	-0.35590087755041516	1.454317677151817e-12	-244720175751.02505	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	12	12	-0.3558549721132452	1.3035739359480043e-12	-272984111065.7487	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	13	13	-0.22442542630229398	1.3904258325375066e-12	-161407693276.75745	0.0	1.0	76	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-12	-12	0.19591523041876613	0.13473135736316966	1.4541175436292442	0.14591372045360754	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-11	-11	0.20593542374808615	0.14162226746793302	1.4541175440134462	0.14591372034710717	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-10	-10	0.21595561702883437	0.14851317757175095	1.454117544044198	0.14591372033858283	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-9	-9	0.12608764214656654	0.08671076329262488	1.4541175438746348	0.14591372038558553	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-8	-8	0.1361078354434797	0.09360167339732653	1.454117544092617	0.14591372032516112	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-7	-7	0.14612802872927666	0.10049258350165013	1.4541175441755576	0.1459137203021701	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-6	-6	-0.1376900599385822	0.09468977287770576	-1.454117543574768	0.14591372046870826	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-5	-5	-0.12766986667231317	0.08779886277266397	-1.4541175436735039	0.1459137204413388	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-4	-4	-0.117649673391659	0.08090795266786424	-1.4541175436069114	0.1459137204597981	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-3	-3	-0.02004038652431566	0.013781820208942558	-1.4541175418405277	0.14591372094943766	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-2	-2	-0.010020193261587096	0.006890910104177177	-1.4541175418197647	0.1459137209551931	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	0	0	0.3151194053492725	0.21670834428725913	1.4541175439537481	0.14591372036365544	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	1	1	0.3251395986250193	0.22359925439238532	1.4541175439451373	0.14591372036604228	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	2	2	0.3351597919017122	0.23049016449695583	1.4541175439446519	0.1459137203661769	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	3	3	0.03085342949325537	0.02121797485571873	1.4541175443489445	0.1459137202541075	1.0	84	0.987295352691826
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	4	4	0.04087362277138773	0.02810888496056406	1.4541175442829632	0.1459137202723974	1.0	84	0.987295352691826
