design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-24	-24	2.6007494177489865	1.3587475186795893e-12	1914078503912.4534	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-23	-23	2.668887728703335	5.640533038364125e-12	473162325360.1878	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-22	-22	2.3650388900980546	1.4356708237591232e-12	1647340637532.424	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-21	-21	2.4266402745813007	7.111881009711451e-12	341209346903.8167	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-20	-20	2.6384019053564582	9.547708834449014e-13	2763387479765.68	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-19	-19	2.5990619055850748	4.484561225347894e-12	579557681338.9252	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-18	-18	2.6153496220708936	3.4210379988957888e-12	764490082517.3682	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-17	-17	2.425024247887696	7.728857614297838e-12	313762313773.45776	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-16	-16	2.5149033410015686	9.840017764186518e-13	2555791464274.3306	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-15	-15	2.5196982352855635	2.6113699172424296e-12	964895175765.19	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-14	-14	2.454312051535409	5.4719065090389825e-12	448529602521.7459	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-13	-13	2.7002274731877196	2.094606529690844e-12	1289133512625.048	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-12	-12	2.6029326748100634	5.906517630343275e-12	440688208808.2053	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-11	-11	2.518491096159973	1.0562766172812506e-11	238431018443.09634	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-10	-10	2.4278085392867306	4.387931407340791e-12	553292272350.7317	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-9	-9	2.5449324839038665	1.8451276943840484e-12	1379271739104.9897	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-8	-8	2.590419645404891	5.2419877294379854e-12	494167437832.33167	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-7	-7	2.507468296707305	2.6536517053328252e-12	944912360453.4283	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-6	-6	2.586313047252065	9.129761529148575e-12	283283746130.14233	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-5	-5	2.6735495940436356	7.0659954342029665e-12	378368429323.10895	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-4	-4	2.580154161760621	5.371389558955173e-12	480351338036.7268	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-3	-3	2.6211783794191215	9.359933017888125e-12	280042429193.6371	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-2	-2	-2.644153250138361	5.12800401021095e-12	-515630105763.0391	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	0	-1.791139350403883	9.48946676710752e-12	-188750263251.07617	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	1	1	2.531799725774899	3.1853944045126246e-12	794815148224.0933	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	2	2	2.5319331296425713	5.053198902428533e-12	501055505340.53613	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	3	3	2.532066533506649	7.1262853927433595e-12	355313658373.13116	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	4	4	2.9276279054187437	1.0682898775705111e-11	274048080664.83896	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	5	5	2.9277613092983903	5.340519493747702e-12	548216575695.67975	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	6	6	2.927894713149465	4.773200717977059e-12	613402805820.0625	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	7	7	2.790550184133324	2.4688008648717157e-12	1130326153008.022	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	8	8	2.790683587993686	4.5316953321192405e-12	615814476364.7708	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	9	9	2.7908169918392973	9.930159146123285e-12	281044538236.7136	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	10	10	2.3501929728104725	3.1604526371676077e-12	743625436803.48	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	11	11	2.350326376667051	1.7995579630289112e-12	1306057612454.5154	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	12	12	2.3504597805361462	4.988381792132587e-12	471186825403.6144	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	13	13	2.4793072344453426	3.142922358058022e-12	788854114734.5682	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	14	14	2.4794406383100984	3.85511556459369e-12	643155982425.502	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	15	15	2.479574042168904	2.447817569676249e-12	1012973382038.7827	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	16	16	2.93413686673675	7.815006943183972e-12	375449041577.0931	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	17	17	2.9342702705895447	3.631807489337965e-12	807936620870.9557	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	18	18	2.9344036744519864	3.1209939960879433e-12	940214456718.0067	0.0	1.0	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	19	19	2.468961451473879	5.1492208762218345e-12	479482529653.19354	0.0	1.0	128	1.0
