design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	2.0925363021314736	5.401107496025101e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	2.6491755719412176	4.3019724654535614e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	13	2.6359651110528697	4.293486461873256e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	2.6359651110528697	4.293486461873256e-15	76	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	0.11506375064228955	0.07813422699592848	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	8	0.08531099673722325	0.05793057107131461	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.08531099673722325	0.05793057107131461	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	8	0.08531099673722325	0.05793057107131461	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-12	-2	0.11506375064228835	0.0781342269959295	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	8	0.08531099673722439	0.057930571071315745	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	0.08531099673722439	0.057930571071315745	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	8	0.08531099673722439	0.057930571071315745	84	0.9844372404464239
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	2.091721253789385	4.160709396090737e-13	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	2.6501943823690013	1.601328199365917e-11	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	13	2.637051842175831	1.6035705629370133e-11	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	2.637051842175831	1.6035705629370133e-11	76	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	0.05599159066408801	0.03850554646314721	84	0.9869690059047206
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	8	0.13946047674513645	0.09590729258738542	84	0.9869690059047206
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.13946047674513645	0.09590729258738542	84	0.9869690059047206
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	8	0.13946047674513645	0.09590729258738542	84	0.9869690059047206
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-12	-2	0.055991590645857764	0.03850554646376537	84	0.986969005904721
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	8	0.13946047673428522	0.09590729258558185	84	0.986969005904721
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	0.13946047673428522	0.09590729258558185	84	0.986969005904721
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	8	0.13946047673428522	0.09590729258558185	84	0.986969005904721
