design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	2.092536302131477	3.84062430152888e-15	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	2.649175571941224	3.480931150975971e-14	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	2.624897633731319	3.08443343318389e-14	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	39	2.5307874446816214	2.859650732819997e-14	128	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	12	-0.21812736014685238	2.1621878479081844e-15	86	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	24	-0.09959179083256187	1.0671821390812274e-15	86	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	25	-0.09190680077423491	9.09547545633182e-16	86	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	0.11506375064228885	0.07752669463036203	144	0.9283244705353195
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.04703104172752433	0.052693425420180136	144	0.9283244705353195
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	23	-0.1830415834482214	0.1433077472302679	144	0.9283244705353195
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	23	-0.1830415834482214	0.1433077472302679	144	0.9283244705353195
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-12	-2	0.11506375064228377	0.07752669463036051	144	0.8999892991645884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	0.07854312473464772	0.0433404820718042	144	0.8999892991645884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	23	0.014251457987700857	0.16761842212355044	144	0.8999892991645884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	23	0.014251457987700857	0.16761842212355044	144	0.8999892991645884
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	2.0917358789645375	8.064266483321865e-13	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	2.650176100897558	1.6420927145509706e-12	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	2.6266985858558116	2.3029962801862977e-12	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	39	2.5335889257644624	2.7169543310651554e-12	128	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	12	-0.2757617316593183	1.2538120434484149e-11	86	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	24	-0.15758577091777778	1.1622064103431995e-11	86	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	25	-0.1499307482405955	1.1616410610824936e-11	86	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	0.04275685957763157	0.0672648077653729	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	0.1374146555451025	0.12151722936491854	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	23	-0.026376652832086518	0.08323218731004858	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	23	-0.026376652832086518	0.08323218731004858	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-12	-2	0.0007083040413747169	0.06068637358190696	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	12	0.22148743299843549	0.14439505493712296	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	23	0.26202159230324773	0.0781611820536985	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	23	0.26202159230324773	0.0781611820536985	144	0.9415340023243582
