design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	-0.6184610932031954	6.443626668955053e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.20564571462807385	6.4903485668127705e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	13	0.1725138825478432	6.497924394131804e-15	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	0.1725138825478432	6.497924394131804e-15	76	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	0.11585385034317641	0.07867074548271474	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	8	0.08523875231024014	0.05788151337568494	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.08523875231024014	0.05788151337568494	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	8	0.08523875231024014	0.05788151337568494	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-12	-2	0.11585385034317622	0.0786707454827158	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	8	0.08523875231024287	0.05788151337568603	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	0.08523875231024287	0.05788151337568603	84	0.9848009388111955
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	8	0.08523875231024287	0.05788151337568603	84	0.9848009388111955
