design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	-0.6065844610762968	9.888543842593692e-13	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.042788475104907006	3.6776181494913444e-11	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	-0.06678700968241513	3.5509657723373386e-11	128	1.0
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	39	-0.16054794419352136	3.4892555781684086e-11	128	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	12	-0.16470084391066375	1.8547215727019982e-11	88	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	24	-0.046492500582550514	1.839160358824902e-11	88	1.0
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	25	-0.038834779356199736	1.84921774371054e-11	88	1.0
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	0.04275685957763157	0.0672648077653729	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	0.1374146555451025	0.12151722936491854	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	23	-0.026376652832086518	0.08323218731004858	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	23	-0.026376652832086518	0.08323218731004858	144	0.9449341529710381
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-12	-2	0.0007083040413747169	0.06068637358190696	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	12	0.22148743299843549	0.14439505493712296	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	23	0.26202159230324773	0.0781611820536985	144	0.9415340023243582
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	23	0.26202159230324773	0.0781611820536985	144	0.9415340023243582
