reform	target	spec_name	window	a	b	beta	se	n_obs	r2
haifa_comp	Haifa-Bayport terminal	tr_shocks	avg_pre	-12	-2	1.9958210683512216	1.0486521136037148e-11	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	post_1yr	1	12	0.5861406514157333	4.396906678260718e-12	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	post_2yrs	1	24	0.5530663709740712	3.3121547770914495e-12	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	full_post	1	13	0.5530663709740712	3.3121547770914495e-12	91	1.0
haifa_comp	Haifa-Legacy terminal	tr_shocks	avg_pre	-12	-2	1.996279854134784	1.0489593948401521e-11	91	1.0
haifa_comp	Haifa-Legacy terminal	tr_shocks	post_1yr	1	12	0.589382978779318	4.399716371945102e-12	91	1.0
haifa_comp	Haifa-Legacy terminal	tr_shocks	post_2yrs	1	24	0.5563079458312608	3.3151596006854592e-12	91	1.0
haifa_comp	Haifa-Legacy terminal	tr_shocks	full_post	1	13	0.5563079458312608	3.3151596006854592e-12	91	1.0
ashdod_comp	Ashdod-HCT terminal	tr_shocks	avg_pre	-12	-2	-0.37125441220629724	6.704202440639516e-13	95	1.0
ashdod_comp	Ashdod-HCT terminal	tr_shocks	post_1yr	1	12	-0.14796355372060743	1.1140350630187373e-12	95	1.0
ashdod_comp	Ashdod-HCT terminal	tr_shocks	post_2yrs	1	24	-0.14796355372060743	1.1140350630187373e-12	95	1.0
ashdod_comp	Ashdod-HCT terminal	tr_shocks	full_post	1	10	-0.14796355372060743	1.1140350630187373e-12	95	1.0
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	avg_pre	-12	-2	-0.37119712486538337	7.265224002076416e-13	95	1.0
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	post_1yr	1	12	-0.14802561500665717	1.2029031422635365e-12	95	1.0
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	post_2yrs	1	24	-0.14802561500665717	1.2029031422635365e-12	95	1.0
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	full_post	1	10	-0.14802561500665717	1.2029031422635365e-12	95	1.0
haifa_priv	Haifa-Legacy terminal	tr_shocks	avg_pre	-12	-2	0.16161479966127218	0.11735423932480092	117	0.9477066101302021
haifa_priv	Haifa-Legacy terminal	tr_shocks	post_1yr	1	12	0.043291215374066036	0.031435287150981664	117	0.9477066101302021
haifa_priv	Haifa-Legacy terminal	tr_shocks	post_2yrs	1	24	0.043291215374066036	0.031435287150981664	117	0.9477066101302021
haifa_priv	Haifa-Legacy terminal	tr_shocks	full_post	1	8	0.043291215374066036	0.031435287150981664	117	0.9477066101302021
haifa_priv	Haifa-Bayport terminal	tr_shocks	avg_pre	-12	-2	0.16161479973987924	0.11735423928011982	117	0.9477066101302017
haifa_priv	Haifa-Bayport terminal	tr_shocks	post_1yr	1	12	0.04329121545602614	0.03143528717065259	117	0.9477066101302017
haifa_priv	Haifa-Bayport terminal	tr_shocks	post_2yrs	1	24	0.04329121545602614	0.03143528717065259	117	0.9477066101302017
haifa_priv	Haifa-Bayport terminal	tr_shocks	full_post	1	8	0.04329121545602614	0.03143528717065259	117	0.9477066101302017
