design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	pre_8_5	-8	-5	-8	0.07654964665526387	0.0419017625557888	1.8268836914281166	0.06771725883288812	4	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	0.030631757613191354	0.06735868734921284	0.454755857316292	0.6492848907900697	3	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	q0	0	0	0	-0.0020049724706485694	6.93274971701267e-14	-28920306552.080673	0.0	1	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	q1_2	1	2	1	0.0439194150634497	7.10082534551497e-14	618511411369.8081	0.0	2	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	3	q3_4	3	4	3	-0.03441469748842829	0.0186101362568764	-1.8492447886141694	0.06442247408183219	2	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	5	q5_8	5	8	5	0.0	0.0			0	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	9	q9_40	9	40	9	0.0	0.0			0	23	0.9714495285057468	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-8	pre_8_5	-8	-5	-8	0.030221877496911742	0.12891993538381033	0.23442361654105345	0.8146561260334377	4	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-4	pre_4_2	-4	-2	-4	0.0015897338864609978	0.04501341679367893	0.03531688993411934	0.9718270555121462	3	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	q0	0	0	0	0.02670792442826908	0.022019748166921427	1.2129078055665659	0.22516507101659244	1	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	1	q1_2	1	2	1	0.22964920627396967	0.1429619534264432	1.606365895050034	0.1081935397633967	2	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	3	q3_4	3	4	3	0.16584825631146416	0.12968337974644728	1.278870558707872	0.20094264178706933	2	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	5	q5_8	5	8	5	0.0	0.0			0	23	0.8543288455977989	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	9	q9_40	9	40	9	0.0	0.0			0	23	0.8543288455977989	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	pre_8_5	-8	-5	-8	0.8066100265308503	0.02504419879430977	32.207459825551226	1.387676467826989e-227	2	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	1.0419354117447641	0.3206450362544944	3.2494980240947346	0.001156088813727863	3	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	q0	0	0	0	-0.30722676508278024	1.2544204120517242e-14	-24491531079303.914	0.0	1	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	q1_2	1	2	1	0.8051612576562732	0.15225593294701728	5.288209412085485	1.2351952126084059e-07	2	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	q3_4	3	4	3	0.7368980910166207	0.5951558732243474	1.2381598236179092	0.21565680533075016	2	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	q5_8	5	8	5	0.6097583666594653	0.12692217421369922	4.804190996860906	1.5537845619844222e-06	3	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	9	q9_40	9	40	9	0.0	0.0			0	28	0.7277237016564574	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-8	pre_8_5	-8	-5	-8	0.6616973037273208	0.049386564961974494	13.398326128508815	6.184221444290013e-41	2	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-4	pre_4_2	-4	-2	-4	0.7382321157002538	0.11306538145340107	6.529249768679283	6.609994351854704e-11	3	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	0	q0	0	0	0	-0.47327465385044265	0.010869764217320183	-43.54047101558226	0.0	1	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	1	q1_2	1	2	1	0.5990973520965652	0.10961281836485821	5.4655774847646414	4.6140218286653285e-08	2	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	3	q3_4	3	4	3	0.5138743745849998	0.43546048471637155	1.1800711950240481	0.2379718999706787	2	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	5	q5_8	5	8	5	0.40599315295214833	0.11371374086188671	3.570308652894072	0.0003565608388652364	3	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	9	q9_40	9	40	9	0.0	0.0			0	28	0.6090752535122314	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	pre_8_5	-8	-5	-8	-0.806610026530854	0.025044198794309754	-32.20745982555139	1.3876764678195668e-227	2	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	pre_4_2	-4	-2	-4	-1.0419354117447632	0.32064503625449375	-3.2494980240947386	0.0011560888137278477	3	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	q0	0	0	0	0.3072267650827806	3.816442300420081e-14	8050082796979.892	0.0	1	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	q1_2	1	2	1	-0.8051612576562753	0.15225593294701736	-5.288209412085496	1.235195212608333e-07	2	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	q3_4	3	4	3	-0.7368980910166212	0.595155873224348	-1.2381598236179088	0.21565680533075016	2	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	q5_8	5	8	5	-0.6097583666594648	0.12692217421369886	-4.804190996860916	1.5537845619843502e-06	3	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	9	q9_40	9	40	9	0.0	0.0			0	28	0.7277237016564573	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-8	pre_8_5	-8	-5	-8	-0.22937568810545694	0.08609991663755007	-2.6640639975419114	0.0077202873605104905	2	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-4	pre_4_2	-4	-2	-4	-0.34124239173425464	0.17919319195070682	-1.9043267660979273	0.05686764038063151	3	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	0	q0	0	0	0	-0.1472783409227887	0.017342498060765942	-8.492337171193205	2.0252244201501315e-17	1	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	1	q1_2	1	2	1	-0.15914003594752435	0.04637166575463161	-3.4318378121154605	0.0005995059712033333	2	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	3	q3_4	3	4	3	-0.13856075112969313	0.11630163392930899	-1.1913912681047436	0.23350001923325026	2	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	5	q5_8	5	8	5	-0.07237837879320308	0.12303883117075982	-0.5882563911286879	0.5563602118096056	3	28	0.06651474006576397	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	9	q9_40	9	40	9	0.0	0.0			0	28	0.06651474006576397	HC1
