design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	pre_8_5	-8	-5	-8	0.07654964665526665	0.03611226103470901	2.1197688669145243	0.034025542036233467	4	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	0.030631757613193145	0.058051842026250494	0.5276621127602076	0.5977338740484164	3	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	q0	0	0	0	-0.0020049724706527883	4.8654573947859023e-14	-41208303926.398155	0.0	1	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	q1_2	1	2	1	0.04391941506345241	4.23882774425974e-14	1036121723109.1425	0.0	2	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	3	q3_4	3	4	3	-0.03441469748842474	0.01603880260418683	-2.145714885189808	0.03189573286783873	2	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	5	q5_8	5	8	5	-0.2522581869611029	0.3385526880628833	-0.7451076179736257	0.4562066641900372	4	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	9	q9_40	9	40	9	-0.009582849645089375	0.2189394519627214	-0.04376940546430635	0.965088214605555	5	41	0.6660955211303674	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-8	pre_8_5	-8	-5	-8	0.4180194568227309	0.45265023825271683	0.9234932879663008	0.35575019662199014	4	41	0.42699082487557594	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-4	pre_4_2	-4	-2	-4	0.14260703545948505	0.16996758892230834	0.8390248774116005	0.40145534957812357	3	41	0.42699082487557594	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	q0	0	0	0	-0.043800726358243836	0.081338169136316	-0.5385015033328014	0.5902308675236239	1	41	0.42699082487557594	HC1
