design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	-0.1453126344328593	0.15440974088591966	0.3466614895173473	41	0.6359175863347237	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-9.046126876838256e-05	0.026239021523588067	0.9972492302483827	23	0.9630405861363975	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-0.23703254288841524	0.24435290167904683	0.33202562793109713	31	0.7103158096539373	17	14	8	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	-0.06979103974739265	0.2085398029705299	0.7378775654855544	41	0.21804600284819897	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.21264130483651622	0.08551774313623335	0.012900047935420282	23	0.846121294608122	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.12249208465850042	0.16910929314085804	0.46885898818689353	31	0.3484113794840875	17	14	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	8	-0.002147174215737069	0.20621897290183522	0.9916924898941127	31	0.577393188851862	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	-0.07328021329830747	0.36438927148488387	0.8406170971720773	23	0.6196827885366958	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	-0.002147174215737069	0.20621897290183522	0.9916924898941127	31	0.577393188851862	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	8	-0.011688790203194799	0.10047694722643373	0.9073885895464908	31	0.10649588481595218	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	0.021624915047561366	0.05908296793890301	0.7143581446875018	23	0.1285315555529113	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	-0.011688790203194799	0.10047694722643373	0.9073885895464908	31	0.10649588481595218	14	17	8	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	7	0.06879918201584984	0.2754700208374524	0.8027791605727828	28	0.32792530407834053	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.13791545673455852	0.3400691280444618	0.6850723616346173	22	0.3239174336383591	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.06879918201584984	0.2754700208374524	0.8027791605727828	28	0.32792530407834053	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	7	0.19741025273065937	0.27409938141086426	0.47139315363039713	28	0.05232057766918752	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.31328379351590796	0.32446941912903726	0.3342812143307423	22	0.07402859791199834	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.19741025273065937	0.27409938141086426	0.47139315363039713	28	0.05232057766918752	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	7	-0.06879918201585261	0.2754700208374524	0.802779160572775	28	0.32792530407834064	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	-0.13791545673455907	0.34006912804446165	0.6850723616346159	22	0.32391743363835934	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	-0.06879918201585261	0.2754700208374524	0.802779160572775	28	0.32792530407834064	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	7	0.08699181245830429	0.12481252018462016	0.4858153998066054	28	0.02343815424671436	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	0.10110616777043235	0.18153154169117391	0.5775534027711331	22	0.009955855603729358	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	0.08699181245830429	0.12481252018462016	0.4858153998066054	28	0.02343815424671436	14	14	7	HC1
