design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.030631757613191354	0.06735868734921284	23	0.9714495285057468	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.004752358787510704	0.0093050681284382	23	0.9714495285057468	bin_q1_2,bin_q3_4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.002376179393755352	0.0046525340642191	23	0.9714495285057468	bin_q1_2,bin_q3_4,bin_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	0.00047523587875107046	0.0009305068128438201	23	0.9714495285057468	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.0015897338864609978	0.04501341679367893	23	0.8543288455977989	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.19774873129271692	0.10973315197559352	23	0.8543288455977989	bin_q1_2,bin_q3_4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.09887436564635846	0.05486657598779676	23	0.8543288455977989	bin_q1_2,bin_q3_4,bin_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	0.019774873129271692	0.010973315197559353	23	0.8543288455977989	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	1.0419354117447641	0.3206450362544944	28	0.7277237016564574	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.771029674336447	0.30716135114586046	28	0.7277237016564574	bin_q1_2,bin_q3_4
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.6903940204979562	0.16617561038317508	28	0.7277237016564574	bin_q1_2,bin_q3_4,bin_q5_8
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	0.13807880409959122	0.03323512207663502	28	0.7277237016564574	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.7382321157002538	0.11306538145340107	28	0.6090752535122314	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.5564858633407825	0.22599735541453675	28	0.6090752535122314	bin_q1_2,bin_q3_4
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.48123950814646543	0.13230580800602906	28	0.6090752535122314	bin_q1_2,bin_q3_4,bin_q5_8
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	0.0962479016292931	0.026461161601205815	28	0.6090752535122314	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-4	-2	-1.0419354117447632	0.32064503625449375	28	0.7277237016564573	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	-0.7710296743364482	0.3071613511458606	28	0.7277237016564573	bin_q1_2,bin_q3_4
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	-0.6903940204979565	0.16617561038317513	28	0.7277237016564573	bin_q1_2,bin_q3_4,bin_q5_8
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	40	-0.1380788040995913	0.033235122076635024	28	0.7277237016564573	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-4	-2	-0.34124239173425464	0.17919319195070682	28	0.06651474006576397	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	-0.14885039353860874	0.07490586061302008	28	0.06651474006576397	bin_q1_2,bin_q3_4
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	-0.11061438616590591	0.09421470094546111	28	0.06651474006576397	bin_q1_2,bin_q3_4,bin_q5_8
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	40	-0.022122877233181182	0.01884294018909222	28	0.06651474006576397	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
