design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.030631757613193145	0.058051842026250494	41	0.6660955211303674	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.004752358787513837	0.008019401302093391	41	0.6660955211303674	bin_q1_2,bin_q3_4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-0.12375291408679454	0.16932382687608383	41	0.6660955211303674	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.03241686253343041	0.17839532464274405	41	0.6660955211303674	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.14260703545948505	0.16996758892230834	41	0.42699082487557594	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.04903154646007707	0.29309333558527745	41	0.42699082487557594	bin_q1_2,bin_q3_4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.377004385237388	0.4504731525571196	41	0.42699082487557594	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	-0.5295330836432062	0.9837249172704627	41	0.42699082487557594	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	avg_pre	-4	-2	0.315728335597559	0.07540428889537663	31	0.7836429331499197	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	0.3623278630844674	0.21405140964297165	31	0.7836429331499197	bin_q1_2,bin_q3_4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.433460902167039	0.10371520233138565	31	0.7836429331499197	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	40	0.0866921804334078	0.020743040466277132	31	0.7836429331499197	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	avg_pre	-4	-2	0.3230081794797117	0.07965974751447587	31	0.12326600672066956	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	0.4615225055046793	0.05105403522401998	31	0.12326600672066956	bin_q1_2,bin_q3_4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	0.5685227663858843	0.08340817381576633	31	0.12326600672066956	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	40	0.11370455327717684	0.016681634763153267	31	0.12326600672066956	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	1.0419354117447641	0.3206450362544944	28	0.7277237016564574	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.771029674336447	0.30716135114586046	28	0.7277237016564574	bin_q1_2,bin_q3_4
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.6903940204979562	0.16617561038317508	28	0.7277237016564574	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	0.13807880409959122	0.03323512207663502	28	0.7277237016564574	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.7382321157002538	0.11306538145340107	28	0.6090752535122314	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.5564858633407825	0.22599735541453675	28	0.6090752535122314	bin_q1_2,bin_q3_4
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.48123950814646543	0.13230580800602906	28	0.6090752535122314	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	0.0962479016292931	0.026461161601205815	28	0.6090752535122314	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-4	-2	-1.0419354117447632	0.32064503625449375	28	0.7277237016564573	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	-0.7710296743364482	0.3071613511458606	28	0.7277237016564573	bin_q1_2,bin_q3_4
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	-0.6903940204979565	0.16617561038317513	28	0.7277237016564573	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	40	-0.1380788040995913	0.033235122076635024	28	0.7277237016564573	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-4	-2	-0.34124239173425464	0.17919319195070682	28	0.06651474006576397	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	-0.14885039353860874	0.07490586061302008	28	0.06651474006576397	bin_q1_2,bin_q3_4
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	-0.11061438616590591	0.09421470094546111	28	0.06651474006576397	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	40	-0.022122877233181182	0.01884294018909222	28	0.06651474006576397	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
