design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-24	pre_24_13	-24	-13	-24	0.17049288272267424	0.03478793278653561	4.900920206119927	9.53887965191045e-07	12	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-12	pre_12_2	-12	-2	-12	0.10931307242315497	0.03372672634908787	3.241140906820069	0.0011905232112459547	11	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	m0	0	0	0	0.31849529844427354	3.456740527747912e-14	9213746183367.0	0.0	1	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	m1_3	1	3	1	0.12023999707263615	2.7113039798599945e-14	4434766369459.0625	0.0	3	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	4	m4_6	4	6	4	-0.0685168402008034	0.013050166844731243	-5.250265457599553	1.5188017619682866e-07	3	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	7	m7_12	7	12	7	0.08489768900467398	0.014914476393978526	5.692301007560012	1.2533863553760004e-08	6	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	13	m13_24	13	24	13	0.14808454923083758	0.008700111229820826	17.02099494122069	5.738715083490859e-65	1	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	25	m25_120	25	120	25	0.0	0.0			0	64	0.929345110090262	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-24	pre_24_13	-24	-13	-24	-0.09742484237654647	0.07681333691285663	-1.268332379402723	0.20467927860937474	12	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-12	pre_12_2	-12	-2	-12	-0.06303896466893066	0.02485070253444494	-2.5367075470624596	0.011190039082411556	11	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	m0	0	0	0	-0.044175999934671584	0.00409039643464683	-10.799931165714941	3.4446170600362166e-27	1	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	1	m1_3	1	3	1	-0.020857497826910265	0.013009262348791266	-1.6032805909897117	0.10887271959751921	3	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	4	m4_6	4	6	4	-0.15548546796013607	0.024919614115373415	-6.2394813675792005	4.3902404288388994e-10	3	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	7	m7_12	7	12	7	0.07244159498162395	0.04965205990774074	1.4589846849502073	0.14456932296733616	6	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	13	m13_24	13	24	13	0.29874870129117415	0.05726555008505606	5.2169009264286315	1.8194151084530357e-07	1	64	0.7897412699771046	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	25	m25_120	25	120	25	0.0	0.0			0	64	0.7897412699771046	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-24	pre_24_13	-24	-13	-24	-0.07929212848810963	3.6484389758261134e-14	-2173316561233.0288	0.0	4	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	pre_12_2	-12	-2	-12	-2.7200464103316335e-15	3.4548657576998025e-14	-0.0787308856869333	0.9372466784969151	11	80	0.9726542780159577	HC1
