design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	39	-0.039920468904344086	0.044829723132159355	0.37320225190928047	116	0.7966281331071342	64	52	39	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	-0.02243415043821613	0.024139608784264608	0.35270762329834615	63	0.8982681966387897	37	26	12	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	0.07939391255089803	0.0457812551883522	0.0828823712794077	86	0.9007680721214623	49	37	24	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	39	0.09404199970392779	0.05537080832596417	0.08943154666359612	116	0.6747563405601453	64	52	39	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.007072376003452341	0.03999935998550049	0.8596558829321124	63	0.7072449835480641	37	26	12	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	-0.012146786732719406	0.05521665746456171	0.8258835372658854	86	0.7025981872961184	49	37	24	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	25	0.02299079780886587	0.05356244190850891	0.6677532597930202	88	0.7533046094837983	38	50	25	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	12	-0.10587598938785164	0.05273808339602089	0.04468780463481543	62	0.9063507199351832	25	37	12	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	24	0.011513592430443254	0.05353812922933272	0.82972516519994	86	0.7695453648208265	37	49	24	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	25	-0.1908262902039884	0.06787519840741466	0.004932199969111306	88	0.6188308513218286	38	50	25	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	12	-0.09223694407106287	0.0803959200550287	0.2512643090897596	62	0.7024454245378273	25	37	12	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	24	-0.18640244927166882	0.06996667821194001	0.007718076505051223	86	0.6253752500770746	37	49	24	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	23	-0.21036067980061246	0.03197265572494987	4.7237145542074994e-11	80	0.8025823723039205	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	-0.08463047180528191	0.025436556798565477	0.000877486398896824	58	0.9462539674907552	29	29	12	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	-0.21036067980061246	0.03197265572494987	4.7237145542074994e-11	80	0.8025823723039205	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	23	-0.16367421475200278	0.05030752645606923	0.001140032736739222	80	0.1506251165549104	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.11568219047585429	0.051148200565337754	0.023715575761331636	58	0.3647854835680576	29	29	12	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	-0.16367421475200278	0.05030752645606923	0.001140032736739222	80	0.1506251165549104	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	23	0.21036067980060982	0.03197265572494991	4.723714554210367e-11	80	0.8025823723039204	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	0.08463047180528124	0.025436556798565487	0.0008774863988969106	58	0.9462539674907551	29	29	12	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	24	0.21036067980060982	0.03197265572494991	4.723714554210367e-11	80	0.8025823723039204	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	23	0.16853983660718494	0.050963096868153895	0.0009426869338427084	80	0.1586086220685996	40	40	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	12	0.01744439438638762	0.048601737232085905	0.7196509528076376	58	0.30075098049604343	29	29	12	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	24	0.16853983660718494	0.050963096868153895	0.0009426869338427084	80	0.1586086220685996	40	40	23	HC1
