design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	0.10931307242315497	0.03372672634908787	64	0.929345110090262	bin_pre_12_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.05537963372029518	0.010719779908172031	64	0.929345110090262	bin_m1_3,bin_m4_6,bin_m7_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	0.10173209147556639	0.00970994556899643	64	0.929345110090262	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	120	0.020346418295113276	0.0019419891137992858	64	0.929345110090262	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	-0.06303896466893066	0.02485070253444494	64	0.7897412699771046	bin_pre_12_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.00786494395594961	0.03314580694236794	64	0.7897412699771046	bin_m1_3,bin_m4_6,bin_m7_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	0.14544187866761227	0.04441725389092928	64	0.7897412699771046	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	120	0.029088375733522454	0.008883450778185857	64	0.7897412699771046	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	-2.7200464103316335e-15	3.4548657576998025e-14	80	0.9726542780159577	bin_pre_12_2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	-0.10824921276230208	0.024391947869761274	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	-0.23969443021196413	0.01219597393488064	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	120	-0.047938886042392825	0.0024391947869761284	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	-0.17817224508107898	0.038369794905715314	80	0.45925343417347486	bin_pre_12_2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.2549116471824378	0.01556235450708608	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	-0.375880303180846	0.025467909232964353	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	120	-0.0751760606361692	0.005093581846592871	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-12	-2	4.649058915617843e-15	1.9923276211960493e-14	80	0.9726542780159577	bin_pre_12_2
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	0.10824921276230533	0.024391947869761312	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	24	0.2396944302119666	0.012195973934880654	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	120	0.047938886042393325	0.002439194786976131	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-12	-2	-0.24052302670208592	0.048446525624266046	80	0.32296516279024035	bin_pre_12_2
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	12	-0.06872395739388315	0.027437619346354348	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	24	0.00150543644416401	0.026105384292705213	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	120	0.0003010872888328025	0.005221076858541043	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
