design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	0.10931307242316118	0.031018199647944007	116	0.8620786352794585	bin_pre_12_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.055379633720295675	0.0098588955812695	116	0.8620786352794585	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	0.1433523952087078	0.021865949095285542	116	0.8620786352794585	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	120	0.0345122177955894	0.04085716180394275	116	0.8620786352794585	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	-0.11194567414912981	0.021287503792951797	116	0.8120361342439616	bin_pre_12_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	0.053268442894311374	0.02144157160595266	116	0.8120361342439616	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	0.21217698485874728	0.02994351566537769	116	0.8120361342439616	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	120	0.3424493510242811	0.05981383630681916	116	0.8120361342439616	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	avg_pre	-12	-2	-1.750564027641051e-18	8.071023503056008e-18	88	0.8779721681689634	bin_pre_12_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	12	0.29282876823595566	0.020642012646695365	88	0.8779721681689634	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	24	0.4102183500542505	0.025002870551733294	88	0.8779721681689634	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	120	0.6397624576227017	0.01433591530251891	88	0.8779721681689634	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	avg_pre	-12	-2	-9.704397967929399e-18	3.313082772918312e-17	88	0.6231964824954224	bin_pre_12_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	12	0.314927979649189	0.019158577086377707	88	0.6231964824954224	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	24	0.2907834057110138	0.04821274413641633	88	0.6231964824954224	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	120	0.2734296538090631	0.10414821303857376	88	0.6231964824954224	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-12	-2	-2.7200464103316335e-15	3.4548657576998025e-14	80	0.9726542780159577	bin_pre_12_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	-0.10824921276230208	0.024391947869761274	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	24	-0.23969443021196413	0.01219597393488064	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	120	-0.047938886042392825	0.0024391947869761284	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-12	-2	-0.17817224508107898	0.038369794905715314	80	0.45925343417347486	bin_pre_12_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	12	-0.2549116471824378	0.01556235450708608	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	24	-0.375880303180846	0.025467909232964353	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	120	-0.0751760606361692	0.005093581846592871	80	0.45925343417347486	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-12	-2	4.649058915617843e-15	1.9923276211960493e-14	80	0.9726542780159577	bin_pre_12_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	0.10824921276230533	0.024391947869761312	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	24	0.2396944302119666	0.012195973934880654	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	120	0.047938886042393325	0.002439194786976131	80	0.9726542780159577	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-12	-2	-0.24052302670208592	0.048446525624266046	80	0.32296516279024035	bin_pre_12_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	12	-0.06872395739388315	0.027437619346354348	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	24	0.00150543644416401	0.026105384292705213	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	120	0.0003010872888328025	0.005221076858541043	80	0.32296516279024035	bin_m1_3,bin_m4_6,bin_m7_12,bin_m13_24,bin_m25_120
