design	table_group	reform	target	target_key	spec_name	f_stat_m	pvalue_m	n_obs_m	r2_m	f_stat_q	pvalue_q	n_obs_q	r2_q
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	34.524013244617	3.1857066152661264e-08	64	0.929345110090262	17.305040978494862	0.00017468599863157378	23	0.980136249198342
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	6.43611840367659	0.040032678262290976	64	0.7897412699771046	1.643860000806887	0.43958244098993093	23	0.8836420778441854
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1.0098725026397227e+26	0.0	80	0.9726542780159577	1.0258727068255822e+25	0.0	28	0.9511857377821553
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	103.25354008870791	3.7912170711973185e-23	80	0.32296516279024035	39.60078341929799	2.5165127840113603e-09	28	0.40798752470353394
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1.6659045875951822e+25	0.0	80	0.9726542780159577	9.55029917138396e+25	0.0	28	0.9511857377821554
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	65.35153333584796	6.44309958912663e-15	80	0.45925343417347486	29.666190975353985	3.614668547425277e-07	28	0.5791355290018556
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	155.58739753934054	1.6391771729625483e-34	88	0.8779721681689634	348.4676308830922	2.1439536532087307e-76	31	0.8893742686077097
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	14.888104576552033	0.0005849101640355647	88	0.6231964824954224	70.57840532848434	4.721652402760764e-16	31	0.6858147161911348
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	40.816567382800244	1.3702348459439635e-09	116	0.8620786352794585	23.29849419543764	8.725619428556532e-06	41	0.8871258806332252
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	41.16166952449922	1.153073602270708e-09	116	0.8120361342439616	6.763056511027258	0.033995461263949756	41	0.8677526728375056
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1.0098725026397227e+26	0.0	80	0.9726542780159577	1.0258727068255822e+25	0.0	28	0.9511857377821553
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	103.25354008870791	3.7912170711973185e-23	80	0.32296516279024035	39.60078341929799	2.5165127840113603e-09	28	0.40798752470353394
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1.6659045875951822e+25	0.0	80	0.9726542780159577	9.55029917138396e+25	0.0	28	0.9511857377821554
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	65.35153333584796	6.44309958912663e-15	80	0.45925343417347486	29.666190975353985	3.614668547425277e-07	28	0.5791355290018556
