design	table_group	reform	target	target_key	spec_name	horizon	beta_m	se_m	pvalue_m	n_obs_m	r2_m	beta_q	se_q	pvalue_q	n_obs_q	r2_q
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	0.02299079780886587	0.05356244190850891	0.6677532597930202	88	0.7533046094837983	0.055523528616472584	0.08568578560058326	0.516991445273641	31	0.7700871909313045
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	-0.10587598938785164	0.05273808339602089	0.04468780463481543	62	0.9063507199351832	-0.07514763524717272	0.08108348230203727	0.35403381877580953	23	0.9198282732079537
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	0.011513592430443254	0.05353812922933272	0.82972516519994	86	0.7695453648208265	0.055523528616472584	0.08568578560058326	0.516991445273641	31	0.7700871909313045
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	-0.1908262902039884	0.06787519840741466	0.004932199969111306	88	0.6188308513218286	-0.18219892581978891	0.06932659373224427	0.008585706326387513	31	0.6702535665729801
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	-0.09223694407106287	0.0803959200550287	0.2512643090897596	62	0.7024454245378273	-0.11932234773230643	0.057226653296137464	0.03706172619233582	23	0.7612957578548273
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	-0.18640244927166882	0.06996667821194001	0.007718076505051223	86	0.6253752500770746	-0.18219892581978891	0.06932659373224427	0.008585706326387513	31	0.6702535665729801
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	-0.039920468904344086	0.044829723132159355	0.37320225190928047	116	0.7966281331071342	-0.031045201014711865	0.06670936212313676	0.6416593747579871	41	0.8197710167430079
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	-0.02243415043821613	0.024139608784264608	0.35270762329834615	63	0.8982681966387897	-0.020869801297262014	0.025412781372694628	0.41151386292468606	23	0.9598000113276495
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	0.07939391255089803	0.0457812551883522	0.0828823712794077	86	0.9007680721214623	0.07171722289816285	0.06417176323528515	0.26374545745105504	31	0.9322252658389456
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	0.09404199970392779	0.05537080832596417	0.08943154666359612	116	0.6747563405601453	0.09998501259176629	0.09861594194500337	0.31063865415907554	41	0.7259040262722567
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	-0.007072376003452341	0.03999935998550049	0.8596558829321124	63	0.7072449835480641	0.009330597689080067	0.06665427763566778	0.8886718581421427	23	0.8205884543736566
