design	table_group	reform	target	target_key	spec_name	window	beta_m	se_m	n_obs_m	r2_m	beta_q	se_q	n_obs_q	r2_q
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	0.10931307242315497	0.03372672634908787	64	0.929345110090262	0.10810259508711861	0.04163321922845266	23	0.980136249198342
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	0.020346418295113276	0.0019419891137992858	64	0.929345110090262	0.003888514259665947	0.0008322523206235648	23	0.980136249198342
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	0.05537963372029518	0.010719779908172031	64	0.929345110090262	0.03888514259665947	0.008322523206235647	23	0.980136249198342
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	0.10173209147556639	0.00970994556899643	64	0.929345110090262	0.019442571298329735	0.004161261603117823	23	0.980136249198342
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-0.06303896466893066	0.02485070253444494	64	0.7897412699771046	0.012625636543818652	0.0700693940468992	23	0.8836420778441854
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	0.029088375733522454	0.008883450778185857	64	0.7897412699771046	0.013957833358559346	0.008613145420744418	23	0.8836420778441854
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	-0.00786494395594961	0.03314580694236794	64	0.7897412699771046	0.13957833358559346	0.08613145420744416	23	0.8836420778441854
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	0.14544187866761227	0.04441725389092928	64	0.7897412699771046	0.06978916679279673	0.04306572710372208	23	0.8836420778441854
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	4.649058915617843e-15	1.9923276211960493e-14	80	0.9726542780159577	-4.718447854656915e-16	3.0478343434354086e-14	28	0.9511857377821553
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	0.047938886042393325	0.002439194786976131	80	0.9726542780159577	0.052718712131470974	0.007169739133617892	28	0.9511857377821553
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	0.10824921276230533	0.024391947869761312	80	0.9726542780159577	0.15604747365308677	0.07169739133617889	28	0.9511857377821553
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	0.2396944302119666	0.012195973934880654	80	0.9726542780159577	0.26359356065735484	0.035848695668089466	28	0.9511857377821553
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-0.24052302670208592	0.048446525624266046	80	0.32296516279024035	-0.28579623463128323	0.07599574734496582	28	0.40798752470353394
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	0.0003010872888328025	0.005221076858541043	80	0.32296516279024035	0.0004227992180151801	0.010886656988516997	28	0.40798752470353394
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	-0.06872395739388315	0.027437619346354348	80	0.32296516279024035	-0.040900059350545304	0.06950620021404379	28	0.40798752470353394
