series_key	port	terminal	year	quarter_num	time_id	time_str	log_LP	n_obs	analysis_freq	month_num	analysis_unit	analysis_port	source_series
ashdod_port	Ashdod		2018	1	8072	2018Q1	3.6873485408804765	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	2	8073	2018Q2	3.679800812334973	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	3	8074	2018Q3	3.7051621727526594	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	4	8075	2018Q4	3.758617819013942	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	1	8076	2019Q1	3.7450517413108497	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	2	8077	2019Q2	3.7649409463935553	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	3	8078	2019Q3	3.7370728334202816	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	4	8079	2019Q4	3.6952584696563378	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	1	8080	2020Q1	3.6403968633532933	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	2	8081	2020Q2	3.6150134001269003	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	3	8082	2020Q3	3.7108264260177823	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	4	8083	2020Q4	3.6777006525587232	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	1	8084	2021Q1	3.6023844639934306	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	2	8085	2021Q2	3.6772455491503284	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	3	8086	2021Q3	3.659026538239153	3	quarterly		ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	4	8087	2021Q4	3.621363284765252	1	quarterly		ashdod_incumbent	Ashdod	ashdod_port
