design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-8	pre_8_5	-8	-5	-8	0.13040018192085778	0.0345785854315642	3.7711254030023222	0.0001625129742748949	4	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	0.10810259508711795	0.03588082192226137	3.012823823304013	0.002588291295366088	3	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	0	q0	0	0	0	0.03241754871358982	4.9924704302353815e-14	649328807583.1711	0.0	1	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	1	q1_2	1	2	1	0.07672198333144652	4.656593538019864e-14	1647598887578.0474	0.0	2	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	3	q3_4	3	4	3	0.0010483018618767659	0.0143452261747161	0.07307670503825377	0.9417450787724192	2	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	5	q5_8	5	8	5	0.19245576357572958	0.07852847143313403	2.450776897390689	0.014254827611702688	4	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	9	q9_40	9	40	9	-0.03621584029888503	0.10125471293859546	-0.3576706629038357	0.7205897902361021	5	41	0.8871258806332252	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-8	pre_8_5	-8	-5	-8	-0.1979998396215823	0.07853820436707719	-2.521063999581111	0.011700056992043966	4	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	-4	pre_4_2	-4	-2	-4	-0.022992996490676987	0.044130256211667385	-0.5210256740951796	0.6023488863406112	3	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	0	q0	0	0	0	0.07294214944447219	0.009990385446465976	7.301234755689524	2.851387391483654e-13	1	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	1	q1_2	1	2	1	0.08787677226204282	0.04861102946811306	1.8077537798224692	0.07064483029416789	2	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	3	q3_4	3	4	3	0.31594511052987806	0.07457535405590575	4.236588810467174	2.2694118237961787e-05	2	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	5	q5_8	5	8	5	0.5568251271497935	0.07984180778088729	6.9741047031137935	3.0782477220759917e-12	4	41	0.8677526728375056	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	9	q9_40	9	40	9	0.6024912824453619	0.1225012476991287	4.918246089420419	8.732309044198117e-07	5	41	0.8677526728375056	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	-8	pre_8_5	-8	-5	-8	0.4671110457140237	0.044528137531867275	10.490244407364404	9.578031118457508e-26	4	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	-4	pre_4_2	-4	-2	-4	0.4583124485788642	0.026085428684090545	17.569672867150853	4.2059063726814835e-69	1	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	0	q0	0	0	0	0.29144384151680836	0.026085428684090632	11.172668275701309	5.548852387359143e-29	1	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	1	q1_2	1	2	1	0.31186878689873976	0.1241973583720894	2.511074236896373	0.012036438186677781	2	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	3	q3_4	3	4	3	0.41056943359083564	0.04607987724690688	8.909950679575545	5.105527052665598e-19	2	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	5	q5_8	5	8	5	0.6225614379720821	0.09759376174434047	6.379110988701949	1.7811891891926258e-10	4	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	9	q9_40	9	40	9	0.0	0.0			0	31	0.8893742686077097	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	-8	pre_8_5	-8	-5	-8	0.6624517971682682	0.13546592211192499	4.890173017985554	1.007473843337627e-06	4	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	-4	pre_4_2	-4	-2	-4	0.5536855758155734	0.09017259276742358	6.140286741489837	8.237265299509155e-10	1	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	0	q0	0	0	0	0.4930335743585923	0.01288438376167868	38.2659802345375	0.0	1	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	1	q1_2	1	2	1	0.3244724358676567	0.05297983888544419	6.124451162813994	9.099671822225369e-10	2	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	3	q3_4	3	4	3	0.2567792528142938	0.08236628852218174	3.117528511013843	0.001823743058077719	2	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	5	q5_8	5	8	5	0.2511759306246306	0.14570142554313176	1.7239085320429854	0.08472435682765726	4	31	0.6858147161911348	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	9	q9_40	9	40	9	0.0	0.0			0	31	0.6858147161911348	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	pre_8_5	-8	-5	-8	-0.07929212848810782	1.2315136999180706e-14	-6438590857201.42	0.0	2	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	7.771561172376096e-16	1.1580499465147647e-14	0.06710903269556873	0.946494903057097	3	28	0.9511857377821554	HC1
