design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	-0.031045201014711865	0.06670936212313676	0.6416593747579871	41	0.8197710167430079	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.020869801297262014	0.025412781372694628	0.41151386292468606	23	0.9598000113276495	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.07171722289816285	0.06417176323528515	0.26374545745105504	31	0.9322252658389456	17	14	8	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	0.09998501259176629	0.09861594194500337	0.31063865415907554	41	0.7259040262722567	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.009330597689080067	0.06665427763566778	0.8886718581421427	23	0.8205884543736566	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.008175105310399639	0.0999718637678264	0.9348263831050275	31	0.7623169696312366	17	14	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	8	0.055523528616472584	0.08568578560058326	0.516991445273641	31	0.7700871909313045	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	-0.07514763524717272	0.08108348230203727	0.35403381877580953	23	0.9198282732079537	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.055523528616472584	0.08568578560058326	0.516991445273641	31	0.7700871909313045	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	8	-0.18219892581978891	0.06932659373224427	0.008585706326387513	31	0.6702535665729801	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	-0.11932234773230643	0.057226653296137464	0.03706172619233582	23	0.7612957578548273	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	-0.18219892581978891	0.06932659373224427	0.008585706326387513	31	0.6702535665729801	14	17	8	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	7	-0.21352492832915693	0.060209043491800285	0.0003905433556964919	28	0.8192731079936161	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.12134256803978538	0.07066089105383287	0.08593310827608479	22	0.8907073271400221	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-0.21352492832915693	0.060209043491800285	0.0003905433556964919	28	0.8192731079936161	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	7	-0.213890579140164	0.07569171041851841	0.004716086532710183	28	0.259912633824116	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.1830879679448313	0.0712773968212718	0.010209021510219825	22	0.4254083664421088	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.213890579140164	0.07569171041851841	0.004716086532710183	28	0.259912633824116	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	7	0.21352492832915704	0.0602090434918003	0.0003905433556964912	28	0.8192731079936161	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	0.12134256803978449	0.07066089105383293	0.08593310827608737	22	0.8907073271400219	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	0.21352492832915704	0.0602090434918003	0.0003905433556964912	28	0.8192731079936161	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	7	0.12880375027700358	0.08992037408446543	0.15202363259598184	28	0.10895363852936635	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	0.0035929059625302573	0.08307872644268163	0.9655046368428531	22	0.2592742047295291	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	0.12880375027700358	0.08992037408446543	0.15202363259598184	28	0.10895363852936635	14	14	7	HC1
