design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.10810259508711795	0.03588082192226137	41	0.8871258806332252	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.03888514259666164	0.007172613087358027	41	0.8871258806332252	bin_q1_2,bin_q3_4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.11567045308619561	0.03942767810854924	41	0.8871258806332252	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.005838581621868899	0.08138668492510784	41	0.8871258806332252	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	-0.022992996490676987	0.044130256211667385	41	0.8677526728375056	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.20191094139596044	0.05042368280211937	41	0.8677526728375056	bin_q1_2,bin_q3_4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.37936803427287696	0.05980103880477838	41	0.8677526728375056	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	0.5578666328108649	0.1092479871648392	41	0.8677526728375056	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	avg_pre	-4	-2	0.4583124485788642	0.026085428684090545	31	0.8893742686077097	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	0.3612191102447877	0.05812362868952454	31	0.8893742686077097	bin_q1_2,bin_q3_4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.4918902741084349	0.046416215341148065	31	0.8893742686077097	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	40	0.09837805482168699	0.009283243068229613	31	0.8893742686077097	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	avg_pre	-4	-2	0.5536855758155734	0.09017259276742358	31	0.6858147161911348	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	0.29062584434097527	0.054017140015722505	31	0.6858147161911348	bin_q1_2,bin_q3_4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	0.27090088748280294	0.0954969180833705	31	0.6858147161911348	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	40	0.05418017749656059	0.0190993836166741	31	0.6858147161911348	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	7.771561172376096e-16	1.1580499465147647e-14	28	0.9511857377821554	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.15604747365308858	0.07169739133617883	28	0.9511857377821554	bin_q1_2,bin_q3_4
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-0.26359356065735573	0.03584869566808941	28	0.9511857377821554	bin_q1_2,bin_q3_4,bin_q5_8
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.052718712131471154	0.007169739133617883	28	0.9511857377821554	bin_q1_2,bin_q3_4,bin_q5_8,bin_q9_40
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	-0.22858341954140826	0.06005092838943496	28	0.5791355290018556	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.2970699594109161	0.02885903244253937	28	0.5791355290018556	bin_q1_2,bin_q3_4
