design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	0.1286041566308824	0.04172174648119494	3.082425053535273	0.002053214256760103	4	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	0.10623366291432511	0.040685812902840866	2.611073869115379	0.009025839538121562	3	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	0.02803378244741664	5.723604319525469e-14	489792460876.1365	0.0	1	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	0.002929883061920699	2.88596868769032e-14	101521651098.21494	0.0	1	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.13244560831099583	0.013599123331098535	-9.739275472862182	2.0501079081760156e-22	1	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	-0.059695799880858935	0.013599123331098528	-4.38968001300101	1.1351757535614543e-05	1	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	0.04479268971865613	0.013599123331098533	3.293792447357545	0.0009884545674311033	1	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	0.0	0.0			0	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	0.0	0.0			0	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	0.0	0.0			0	23	0.9803471492021385	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.10622752169116678	0.1516453945755653	-0.7004994908581501	0.48361542301568994	4	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	0.004880158612711405	0.0700865448345228	0.06963046365366789	0.9444877892900391	3	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.03710003402014639	0.022991967125276538	1.6136085189231135	0.10661236786833787	1	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	0.042801004088470984	0.04598393425055312	0.9307816911719804	0.3519665023336994	1	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	-0.10929782462282756	0.06897590137582967	-1.5845798669204108	0.11306182227073083	1	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q3	3	3	0.07568304216754163	0.09196786850110626	0.822929175167643	0.41054827052174225	1	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q4	4	4	0.3241412712966638	0.11495983562638279	2.819604512571822	0.004808287013996058	1	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y2_q5_8	5	8	0.0	0.0			0	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y3_q9_12	9	12	0.0	0.0			0	23	0.9233717670604658	HC1
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y4p_q13_40	13	40	0.0	0.0			0	23	0.9233717670604658	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	-0.8482185323357742	0.030178676352323845	-28.10655187236066	8.146767014075565e-174	2	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	-1.0696374255617587	0.3856654722267288	-2.7734850604747154	0.0055459386760321255	3	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	0.35199325409143745	6.653297293329639e-14	5290508428720.5	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	-0.6595894915464082	7.419903177467837e-14	-8889462244593.654	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.9642757602457811	6.940110639459345e-14	-13894241898150.791	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	-1.349165844565943	6.671608120480651e-14	-20222498387221.566	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	-0.7161915072033528	6.607426987825598e-14	-10839189120408.885	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	-1.1939061398911768	0.15083755136449226	-7.915178475724228	2.4689865463647335e-15	3	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	0.0	0.0			0	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	0.0	0.0			0	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.6734788568105035	0.05894201695414481	-11.426125056671383	3.096195223667634e-30	2	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	-0.7215335858031873	0.10955193172938364	-6.586224217255496	4.511523601164593e-11	3	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.5057184474370997	0.012577085313096504	40.20951077675331	0.0	1	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	-0.5141914781387622	0.025154170626193014	-20.44159935861034	7.136190695428428e-93	1	28	0.8349536799473694	HC1
