design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	0.07770156070370254	0.17409960711465697	0.6553767975339535	41	0.6232755847850329	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.09275360557296163	0.02562056252744189	0.00029428458193033445	23	0.9608907911121564	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.46959471182208656	0.301319105595395	0.11912350519596042	31	0.7841845842886697	17	14	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	-0.2568378328811455	0.18189693261930273	0.1579509906705946	39	0.677460441467143	21	18	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.34970475989723815	0.26640409244998026	0.18928898279137762	31	0.7401819415503043	17	14	8	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	0.27459765474061415	0.25890658935572636	0.28886939394575173	41	0.3108112190520499	22	19	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.049186506748391645	0.0787517715318757	0.5322490395801589	23	0.7513594755138548	13	10	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	0.6566567587722724	0.27098857995328973	0.015384886869149836	31	0.6146931293342442	17	14	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	-0.44460945367558935	0.2977312058853713	0.13535213400319293	39	0.4059653063089488	21	18	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.011621044980703793	0.2246994781629256	0.958753261990638	31	0.39023907111745404	17	14	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	8	0.02377084530452911	0.2367878862363261	0.9200356827756235	31	0.5902918426705381	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	-0.17729360814582518	0.38585765902278624	0.645890011590399	23	0.6624469808486706	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y2	5	8	0.29575274201321067	0.2299355713376139	0.19835868884699215	31	0.6306771634564947	14	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.02377084530452911	0.2367878862363261	0.9200356827756235	31	0.5902918426705381	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	8	-0.18399002899635253	0.07238558784260327	0.011028176866596781	31	0.23852307872486223	14	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	-0.11803078761242158	0.05674925163631802	0.037537908436926816	23	0.2682175905733858	10	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y2	5	8	0.09105881226116208	0.07545345807557495	0.22750111473739543	31	0.23425043873184814	14	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	-0.18399002899635253	0.07238558784260327	0.011028176866596781	31	0.23852307872486223	14	17	8	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	7	-0.3882264194242333	0.26760874369653304	0.14685673769469942	28	0.4394352480588405	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.2718262098524603	0.29197101689016336	0.35185145032973564	22	0.41681941182752724	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	7	-0.4614092318500731	0.27263082854072096	0.09056356999172745	28	0.1971118206843615	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.441540274048433	0.3157889028577534	0.16204899543484863	22	0.1871470738478318	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	7	0.3882264194242343	0.26760874369653304	0.14685673769469837	28	0.4394352480588408	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	0.2718262098524582	0.29197101689016325	0.3518514503297392	22	0.41681941182752713	11	11	4	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	7	0.16167020673203147	0.131957756235066	0.22051253825982953	28	0.045301144677903804	14	14	7	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	-0.02334610504464918	0.15674566578449176	0.8815989360032743	22	0.053547283722758854	11	11	4	HC1
