design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.10623366291432511	0.040685812902840866	23	0.9803471492021385	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.03610470885281948	0.01019934249832383	23	0.9803471492021385	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.0	0.0	23	0.9803471492021385	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	0.0	0.0	23	0.9803471492021385	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-0.01805235442640974	0.005099671249161915	23	0.9803471492021385	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.0036104708852819486	0.0010199342498323832	23	0.9803471492021385	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.004880158612711405	0.0700865448345228	23	0.9233717670604658	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.08333187323246222	0.08047188493846796	23	0.9233717670604658	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	0.0	0.0	23	0.9233717670604658	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	0.0	0.0	23	0.9233717670604658	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.04166593661623111	0.04023594246923398	23	0.9233717670604658	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	0.008333187323246222	0.008047188493846797	23	0.9233717670604658	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
