design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.10623366291432479	0.03662348493653381	41	0.7858141832860036	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.03610470885282198	0.009180975866009834	41	0.7858141832860036	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.5560028398996701	0.3607827698444947	41	0.7858141832860036	bin_y2_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	-0.0362597871401098	0.18317220638328116	41	0.7858141832860036	bin_y3_q9_12
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.25994906552342406	0.18044978341253132	41	0.7858141832860036	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.19527228610936506	0.04047228119662135	41	0.7858141832860036	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	-0.13536170419697724	0.1568008317363231	41	0.664555564505163	bin_pre_4_2
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.3287551331494162	0.2663921528388664	41	0.664555564505163	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	1.2937817647319192	0.6007476964658696	41	0.664555564505163	bin_y2_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	1.1207539087307734	0.9853459859841518	41	0.664555564505163	bin_y3_q9_12
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	0.8112684489406676	0.4251772569135145	41	0.664555564505163	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	1.0993032995613612	0.9252005960940073	41	0.664555564505163	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	avg_pre	-4	-2	0.5601460842517502	0.02634382234115492	31	0.9406259958408599	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	0.22946337232207648	0.02634382234115481	31	0.9406259958408599	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y2	5	8	0.6315922792227875	0.21355553815968714	31	0.9406259958408599	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y3	9	12	0.0	0.0	31	0.9406259958408599	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.430527825772432	0.09547246472087878	31	0.9406259958408599	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	40	0.0861055651544864	0.019094492944175753	31	0.9406259958408599	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	avg_pre	-4	-2	0.5148235702671107	0.10013932906340675	31	0.24910611499668867	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	0.2220779371809286	0.039052968974866514	31	0.24910611499668867	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y2	5	8	0.18369997581260122	0.1379530410473525	31	0.24910611499668867	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y3	9	12	0.0	0.0	31	0.24910611499668867	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	0.20288895649676492	0.08766857652554276	31	0.24910611499668867	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	40	0.04057779129935298	0.01753371530510855	31	0.24910611499668867	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	-1.0696374255617587	0.3856654722267288	28	0.8970271780336675	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.9223056508903713	5.1678236836458484e-14	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	-1.1939061398911768	0.15083755136449226	28	0.8970271780336675	bin_y2_q5_8
