design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	4.730758981926823e-18	2.4901539767144277e-17	0.1899785726571297	0.8493259212863533	0	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	1.1511092968939254e-17	1.1435358482355096e-17	1.006622834491898	0.31411605696928446	0	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	-0.01851498058831534	0.057040515661217615	-0.3245934994396247	0.7454887477559426	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	0.024744608726754963	0.05704051566121746	0.4338075916725823	0.6644281682893731	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.11355443845651332	0.05704051566121783	-1.990768090719061	0.04650638895246614	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	0.027361621442931944	0.057040515661218975	0.47968748398841554	0.6314496289125505	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	0.15569615504826317	0.057040515661216845	2.7295713098562424	0.006341673196424383	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	0.5369326109753902	0.40770509022344253	1.3169632262406257	0.18785095132771834	4	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	-0.05533001606438853	0.2127484128125064	-0.2600725210258112	0.7948078338167708	4	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	-0.36712182963862194	0.05704051566121713	-6.436159024562162	1.2253465556182872e-10	1	36	0.7756064956012865	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-3.1594397377300283e-16	2.264965720897068e-16	-1.3949172424908456	0.16304079691932538	0	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	6.848037560016779e-16	6.245301767615903e-16	1.0965102752162073	0.27285552916543754	0	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	-0.7256360700474174	0.6155353201039021	-1.178869914280354	0.23844997937153345	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	-0.6007295165908577	0.4929056287477382	-1.2187515856068711	0.22293849216957629	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	-0.6336227619139194	0.37039299429080663	-1.7106769611750356	0.0871407629983422	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q3	3	3	-0.3294363117353188	0.2481708371282407	-1.327457792976234	0.18435729294416736	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q4	4	4	0.03822750078203807	0.1270800589977438	0.30081431409090525	0.7635560926104223	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y2_q5_8	5	8	0.77997496715155	0.2703849596032252	2.884683261584223	0.00391807641572836	4	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y3_q9_12	9	12	0.8032857190839726	0.8094844203774982	0.9923424081582263	0.3210305226679099	4	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y4p_q13_40	13	40	0.9837780387404607	0.982099669540998	1.001708960150905	0.31648417789713323	1	36	0.6655674258664863	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	pre_8_5	-8	-5	0.12860415663088257	0.03890572920189765	3.305532610981362	0.0009479607195289362	4	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	pre_4_2	-4	-2	0.10623366291432643	0.037939716159064815	2.8000647782638817	0.005109235255430195	3	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	q0	0	0	-1.036723916270077e-06	1.833394769813914e-14	-56546682.32610386	0.0	1	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	q1	1	1	0.03823725372694871	1.727247238947801e-14	2213768409335.6523	0.0	1	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	q2	2	2	-0.03160681286727118	2.2488344615496073e-14	-1405475298768.4045	0.0	1	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	q3	3	3	0.0858771236340449	2.148527760999361e-14	3997021830153.138	0.0	1	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	q4	4	4	0.0528368563444625	2.2349071015465256e-14	2364163427996.632	0.0	1	44	0.9009139017564262	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	y2_q5_8	5	8	0.2636746504380539	0.1131696684223238	2.3299056550566117	0.019811138076983287	4	44	0.9009139017564262	HC1
