design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	0.14571009572422475	0.14996892316936206	0.33124862024804824	36	0.5954635676835816	14	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.042076967278674715	0.08247293682455753	0.6099175109989787	18	0.9118117535371666	5	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.5217860177407687	0.36402018120884805	0.15174395856490658	26	0.7833817131376423	9	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	-0.30238150607268555	0.24780671838002263	0.22237721690511236	34	0.6663984923408677	13	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.2987622794211928	0.22085199366128255	0.17612864507762738	26	0.6848079298047641	9	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	0.26479943040987153	0.23807868950705932	0.26603716054560966	36	0.27481069071036757	14	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.21101857789141798	0.16560337981824372	0.20257810108556928	18	0.6730293168381196	5	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	0.9532723261752412	0.457608800031824	0.03723664612187831	26	0.6484569853228226	9	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	-0.7033532378535324	0.4618648388242612	0.1277949543951801	34	0.4377314067916843	13	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.09566842866842729	0.21121169252881397	0.6505844303310013	26	0.4612583777207224	9	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	13	-0.04846490728785996	0.0676046508083739	0.4734437146125421	44	0.73374189419878	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	-0.05623240351740966	0.033879647469259776	0.09696084373717499	26	0.9558335977446911	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y2	5	8	0.1884084197164555	0.08742805255242406	0.03116096918410786	34	0.9218706794191535	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y3	9	12	-0.197138743759658	0.09776615715875149	0.04375489060430398	42	0.8397423902138473	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1_2	1	8	0.05743686909684609	0.06599447911675549	0.3841209655665081	34	0.8756841574383899	17	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	13	0.006836729905285166	0.08914527836835369	0.9388685669394659	44	0.563668080006388	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	-0.036573895952928925	0.054794169741803976	0.5044669378355492	26	0.8647023085100068	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y2	5	8	0.22587287124433808	0.08349034113608443	0.006822685408210328	34	0.8560932464534527	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y3	9	12	-0.05865941715639733	0.11141137607643242	0.5985325744993784	42	0.6072846045468389	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1_2	1	8	-0.0445021661831122	0.09429459933829479	0.6369637645888553	34	0.7883051010051838	17	17	8	HC1
