design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	-2.25899014728363e-19		18	1.0	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.04264211423575415		18	1.0	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.0		18	1.0	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	0.0		18	1.0	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.021321057117877074		18	1.0	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	0.004264211423575415		18	1.0	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	5.079191599667352e-19	8.691293534465174e-32	18	0.8862514276641554	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.015863830648045585	0.0005716866161792967	18	0.8862514276641554	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	0.0	0.0	18	0.8862514276641554	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	0.0	0.0	18	0.8862514276641554	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.007931915324022792	0.00028584330808964834	18	0.8862514276641554	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	-0.0015863830648045582	5.716866161792968e-05	18	0.8862514276641554	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	avg_pre	-4	-2	0.10623366291432301	0.04325793199980241	26	0.9831869970010871	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	0.03633610520954377	3.3315655362174975e-14	26	0.9831869970010871	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y2	5	8	0.0	0.0	26	0.9831869970010871	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y3	9	12	0.0	0.0	26	0.9831869970010871	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1_2	1	8	0.018168052604771886	1.6657827681087487e-14	26	0.9831869970010871	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	40	0.0036336105209543775	3.3315655362174974e-15	26	0.9831869970010871	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	avg_pre	-4	-2	0.004880158612711627	0.06665034471038588	26	0.9152602817780046	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	0.0770357628273668	0.07652651280366003	26	0.9152602817780046	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y2	5	8	0.0	0.0	26	0.9152602817780046	bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y3	9	12	0.0	0.0	26	0.9152602817780046	bin_y3_q9_12
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1_2	1	8	0.0385178814136834	0.038263256401830016	26	0.9152602817780046	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	40	0.00770357628273668	0.007652651280366003	26	0.9152602817780046	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	avg_pre	-4	-2	-0.17923377630187617	0.043180308924350846	32	0.978766511052472	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	-0.10415706729680568	1.3480448161404405e-14	32	0.978766511052472	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y2	5	8	-0.46921402694426395	0.08065542266593628	32	0.978766511052472	bin_y2_q5_8
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y3	9	12	0.0	0.0	32	0.978766511052472	bin_y3_q9_12
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y1_2	1	8	-0.28668554712053484	0.040327711332968155	32	0.978766511052472	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	40	-0.05733710942410697	0.008065542266593633	32	0.978766511052472	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	avg_pre	-4	-2	-0.17561924500236503	0.06559951686644157	32	0.7104134149508838	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	-0.13314418291356825	0.08466009897855367	32	0.7104134149508838	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	post_y2	5	8	-0.1783835386001975	0.1864708435458285	32	0.7104134149508838	bin_y2_q5_8
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	post_y3	9	12	0.0	0.0	32	0.7104134149508838	bin_y3_q9_12
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	post_y1_2	1	8	-0.15576386075688287	0.13462766417585972	32	0.7104134149508838	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	40	-0.03115277215137658	0.026925532835171944	32	0.7104134149508838	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	-1.0696374255617587	0.3856654722267288	28	0.8970271780336675	bin_pre_4_2
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.9223056508903713	5.1678236836458484e-14	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	-1.1939061398911768	0.15083755136449226	28	0.8970271780336675	bin_y2_q5_8
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	0.0	0.0	28	0.8970271780336675	bin_y3_q9_12
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	-1.058105895390774	0.07541877568224613	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	40	-0.2116211790781548	0.015083755136449228	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	-0.7215335858031873	0.10955193172938364	28	0.8349536799473694	bin_pre_4_2
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.7172703411819122	0.044019798595837864	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	-0.9143556699817796	0.13404137213154654	28	0.8349536799473694	bin_y2_q5_8
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	0.0	0.0	28	0.8349536799473694	bin_y3_q9_12
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.815813005581846	0.08358042905917626	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
NYT	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	-0.16316260111636918	0.016716085811835254	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
