design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	13	0.053635025882137505	0.13059504723000567	0.6812945485945919	44	0.6273187609397222	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.049998102563414415	0.05729911118504572	0.38289162579805824	26	0.9355590396004442	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y2	5	8	0.47875655327959077	0.2823542823594364	0.08996391824695966	34	0.791566509312681	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y3	9	12	-0.22615467453185578	0.16485534346468478	0.17011415833933952	42	0.6746422729331721	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	8	0.20668720957910225	0.17419688391048255	0.23541899524485066	34	0.7013712466346154	17	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	13	0.274597654740613	0.2576893442995846	0.28659767335505226	44	0.33275541561947963	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.04918650674839142	0.07751927338097249	0.5257501249224841	26	0.7872571526457994	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	0.6566567587722734	0.26871832006910834	0.014539038854332829	34	0.6360764210944221	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	-0.44460945367559057	0.2961797038925787	0.1333173877761859	42	0.42733655655281244	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.011621044980703155	0.22281701429172932	0.9584051045030196	34	0.42648515922516217	17	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	13	-0.04846490728785996	0.0676046508083739	0.4734437146125421	44	0.73374189419878	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	-0.05623240351740966	0.033879647469259776	0.09696084373717499	26	0.9558335977446911	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y2	5	8	0.1884084197164555	0.08742805255242406	0.03116096918410786	34	0.9218706794191535	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y3	9	12	-0.197138743759658	0.09776615715875149	0.04375489060430398	42	0.8397423902138473	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1_2	1	8	0.05743686909684609	0.06599447911675549	0.3841209655665081	34	0.8756841574383899	17	17	8	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	13	0.006836729905285166	0.08914527836835369	0.9388685669394659	44	0.563668080006388	22	22	13	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	-0.036573895952928925	0.054794169741803976	0.5044669378355492	26	0.8647023085100068	13	13	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y2	5	8	0.22587287124433808	0.08349034113608443	0.006822685408210328	34	0.8560932464534527	17	17	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y3	9	12	-0.05865941715639733	0.11141137607643242	0.5985325744993784	42	0.6072846045468389	21	21	4	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1_2	1	8	-0.0445021661831122	0.09429459933829479	0.6369637645888553	34	0.7883051010051838	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	8	-0.012766545279035979	0.21009058685134216	0.9515448834140289	34	0.5957994753454425	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1	1	4	-0.2138309987293946	0.3422433483902427	0.5321074043268417	26	0.6697008842727148	13	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y2	5	8	0.2540920616265172	0.19558185574473705	0.1938891345348237	34	0.6266793563940334	17	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	-0.012766545279035979	0.21009058685134216	0.9515448834140289	34	0.5957994753454425	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	8	-0.09095899499778548	0.06570299505555931	0.16623708656338754	34	0.2576888739741181	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	-0.0472750955530834	0.06959787735107464	0.49697275958869025	26	0.30068223557907925	13	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y2	5	8	0.0950546239944072	0.07145787348225777	0.18344611203682348	34	0.25891500467492845	17	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	-0.09095899499778548	0.06570299505555931	0.16623708656338754	34	0.2576888739741181	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	full_post	1	8	0.039666090603002746	0.10462611567463151	0.7045970686241404	34	0.6626087117524068	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y1	1	4	-0.13636550974863082	0.11573707149571913	0.23870279060571065	26	0.8625728715664024	13	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y2	5	8	0.2576563093388269	0.11406093908696004	0.023887394685675783	34	0.7679153982575031	17	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y1_2	1	8	0.039666090603002746	0.10462611567463151	0.7045970686241404	34	0.6626087117524068	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	full_post	1	8	-0.16072977119073828	0.11044256124001194	0.14557943210169197	34	0.5092904520875764	17	17	8	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y1	1	4	-0.07183253371359977	0.04017581091668365	0.07378330156916238	26	0.7162694320076726	13	13	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y2	5	8	0.3379420724734567	0.06931234803636438	1.0845611822663336e-06	34	0.6516538418192714	17	17	4	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y1_2	1	8	-0.16072977119073828	0.11044256124001194	0.14557943210169197	34	0.5092904520875764	17	17	8	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	7	-0.1521488000003246	0.10035355739852207	0.1294870858809658	32	0.6882183208515925	16	16	7	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	0.0043041827057264115	0.07587439778243188	0.9547620805115578	26	0.8270804250064245	13	13	4	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	7	-0.18633782250691877	0.14870381324784418	0.21017647586175114	32	0.500519913812685	16	16	7	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	-0.22258589333706336	0.1315812203863305	0.09071777014794585	26	0.7351358783458934	13	13	4	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	7	-0.3882264194242333	0.26760874369653304	0.14685673769469942	28	0.4394352480588405	14	14	7	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	-0.2718262098524603	0.29197101689016336	0.35185145032973564	22	0.41681941182752724	11	11	4	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	7	-0.4614092318500731	0.27263082854072096	0.09056356999172745	28	0.1971118206843615	14	14	7	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.441540274048433	0.3157889028577534	0.16204899543484863	22	0.1871470738478318	11	11	4	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	7	0.3882264194242343	0.26760874369653304	0.14685673769469837	28	0.4394352480588408	14	14	7	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	0.2718262098524582	0.29197101689016325	0.3518514503297392	22	0.41681941182752713	11	11	4	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	7	0.16167020673203147	0.131957756235066	0.22051253825982953	28	0.045301144677903804	14	14	7	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	-0.02334610504464918	0.15674566578449176	0.8815989360032743	22	0.053547283722758854	11	11	4	HC1
