series_key	port	terminal	year	quarter_num	time_id	time_str	log_LP	n_obs	analysis_freq	analysis_unit	analysis_port	source_series
ashdod_port	Ashdod		2018	1	8072	2018Q1	3.6878789024381606	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	2	8073	2018Q2	3.6798791581389962	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	3	8074	2018Q3	3.7193401269878	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2018	4	8075	2018Q4	3.759807316458541	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	1	8076	2019Q1	3.745278354862878	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	2	8077	2019Q2	3.7651318052792746	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	3	8078	2019Q3	3.7394001627897446	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2019	4	8079	2019Q4	3.696269573853223	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	1	8080	2020Q1	3.6406473016083605	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	2	8081	2020Q2	3.6159160778736616	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	3	8082	2020Q3	3.711396324521894	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2020	4	8083	2020Q4	3.677733779450173	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	1	8084	2021Q1	3.6159261309170154	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	2	8085	2021Q2	3.6907430827377916	3	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	3	8086	2021Q3	3.687806618491881	1	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2021	4	8087	2021Q4	3.610766749315044	1	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2022	1	8088	2022Q1	3.557485717856923	1	quarterly	ashdod_incumbent	Ashdod	ashdod_port
ashdod_port	Ashdod		2022	2	8089	2022Q2	3.5620692748177527	1	quarterly	ashdod_incumbent	Ashdod	ashdod_port
