design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	within_r2	used_bins
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-4	-2	0.10623366291432301	0.04325793199980241	26	0.9845756546350106	0.780235278870357	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	4	0.0426322156146368	3.336659893492782e-14	26	0.9845756546350106	0.780235278870357	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	1	4	0.0426322156146368	3.336659893492782e-14	26	0.9845756546350106	0.780235278870357	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-4	-2	0.004880158612711627	0.06665034471038588	26	0.9222592965651372	0.6412753059119742	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	0.08333187323245955	0.07652651280366003	26	0.9222592965651372	0.6412753059119742	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	1	4	0.08333187323245955	0.07652651280366003	26	0.9222592965651372	0.6412753059119742	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	avg_pre	-4	-2	0.10623366291432301	0.04325793199980241	26	0.9831869970010871	0.6772151870736633	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	0.03633610520954377	3.3315655362174975e-14	26	0.9831869970010871	0.6772151870736633	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	4	0.03633610520954377	3.3315655362174975e-14	26	0.9831869970010871	0.6772151870736633	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	avg_pre	-4	-2	0.004880158612711627	0.06665034471038588	26	0.9152602817780046	0.38456650575373696	bin_pre_4_2
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	post_y1	1	4	0.0770357628273668	0.07652651280366003	26	0.9152602817780046	0.38456650575373696	bin_q1,bin_q2,bin_q3,bin_q4
NYT	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	full_post	1	4	0.0770357628273668	0.07652651280366003	26	0.9152602817780046	0.38456650575373696	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	avg_pre	-4	-2	-0.17923377630187617	0.043180308924350846	32	0.978766511052472	0.941913674243182	bin_pre_4_2
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_y1	1	4	-0.10415706729680568	1.3480448161404405e-14	32	0.978766511052472	0.941913674243182	bin_q1,bin_q2,bin_q3,bin_q4
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	post_late	5	7	-0.46921402694426395	0.08065542266593628	32	0.978766511052472	0.941913674243182	bin_y2_q5_8
NYT	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	full_post	1	7	-0.2606100500028592	0.03456660971397271	32	0.978766511052472	0.941913674243182	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
