model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-12	-12					0	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-11	-11					0	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-10	-10					0	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-9	-9	-3.748864260957092				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-8	-8	-3.2677508156149715				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-7	-7	-2.786645901214172				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-6	-6	-2.3519845448114545				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-5	-5	-1.8708962658142712				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-4	-4	-1.4052945747723968				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-3	-3	-0.9242231663841578				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-2	-2	-0.4810545720502919				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	0	0	0.4810461004300299				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	1	1	0.8865209618644321				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	2	2	1.367550279478727				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	3	3	1.8330939980434504				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	4	4	1.7750121222735094				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	5	5	1.8008268972715675				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	6	6	1.8242598881751195				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	7	7	1.6351057684130896				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	8	8	1.6601186367133642				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	9	9	1.6859207887227166				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	10	10	1.4753954172604204				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	11	11	1.501191049023268				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	12	12	1.5269833191415083				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	13	13	0.921397544796754				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	14	14	0.9471832819526216				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	15	15	0.9721745508483084				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	16	16	1.3360544836481325				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	17	17	1.3363233288464875				1	72	34	38	HC1		1.0
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	18	18	1.3366848255029482				1	72	34	38	HC1		1.0
