model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-12	-12					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-11	-11					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-10	-10					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-9	-9	-3.1471846854843997	0.5624078888251925	-5.595911344804423	2.1946583488061063e-08	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-8	-8	-2.7450353670555807	0.506656284912524	-5.417943976614286	6.028829951456722e-08	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-7	-7	-2.342922464138099	0.4512379145123337	-5.192211001750961	2.078112928517731e-07	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-6	-6	-1.979728432559031	0.4015786966483463	-4.92986418124823	8.22868045471431e-07	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-5	-5	-1.5777521194510726	0.3472544613265408	-4.543504245917903	5.532669046053849e-06	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-4	-4	-1.1888585919127688	0.2956729110537113	-4.020857330744119	5.798671758352381e-05	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-3	-3	-0.7872312873680043	0.2440606751765847	-3.225555640204717	0.0012572839458684	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	-2	-2	-0.4007431011197582	0.1968995581955291	-2.035266634381192	0.0418240514964238	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	0	0	0.3998639336837231	0.1227924911677462	3.256420078142	0.001128266890512	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	1	1	0.7805138115707709	0.1121488478502109	6.959623986625763	3.411821321913702e-12	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	2	2	1.1768753029109904	0.1284106714030694	9.164933802245187	4.9577393109483197e-20	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	3	3	1.557303411605405	0.1619658655625707	9.615009966428929	6.910265838696973e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	4	4	1.5705881169665998	0.1623041305885265	9.676821601961288	3.7829384348410083e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	5	5	1.590849859271108	0.1644354321451798	9.6746171948303	3.8653548892160495e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	6	6	1.609180174609818	0.1663856193684596	9.671389755422922	3.9892346994394537e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	7	7	1.6114998802983795	0.1654329872152616	9.741103678442885	2.0135542155675177e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	8	8	1.6310799301707188	0.1675409058642354	9.735413102591451	2.129506701637634e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	9	9	1.6512826939845286	0.1697384342663932	9.72839593531863	2.281623674110955e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	10	10	1.651205095340985	0.1707370569306895	9.671041102760071	4.002850053571293e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	11	11	1.671376298226401	0.1729244223173687	9.665357130174009	4.2314145619975314e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	12	12	1.6915310344923866	0.1751316926414605	9.658623227923597	4.518960569824095e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	13	13	1.6584853294251325	0.1854709486871091	8.942022139666788	3.821130149386847e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	14	14	1.678606863460574	0.1874573768732373	8.954605529318183	3.409525021121089e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	15	15	1.698077143575862	0.1894015077787279	8.965489047530045	3.0890698082307287e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	16	16	1.7271613563220365	0.1828216874610618	9.447245457079015	3.47864329794184e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	17	17	1.7259424231705018	0.1826619114364535	9.448835882629762	3.4261980213341864e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	18	18	1.7248824622188912	0.182522618167322	9.450239534903329	3.38056192451082e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	19	19	1.7273147424093265	0.18196396328344	9.492619919026152	2.252992139241193e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	20	20	1.7261424735942508	0.1818181889737047	9.49378323113697	2.2279806883043594e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	21	21	1.724913653048506	0.1816680316175137	9.494866200125744	2.2049436015122637e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	22	22	1.7237186248723355	0.1815274258299072	9.495637460796004	2.1886810456431393e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	23	23	1.7224847437060935	0.1813807604205776	9.496512969248077	2.1703641163472985e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	24	24	1.6921204225914876	0.179009573476753	9.45268115959862	3.302607070087047e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-12	-12					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-11	-11					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-10	-10					0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-9	-9	-3.147184685484397	0.5624078888251923	-5.59591134480442	2.1946583488061543e-08	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-8	-8	-2.7450353670555736	0.5066562849125231	-5.417943976614281	6.028829951456876e-08	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-7	-7	-2.342922464138097	0.4512379145123337	-5.192211001750957	2.0781129285177737e-07	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	-6	-6	-1.9797284325590303	0.4015786966483461	-4.929864181248231	8.228680454714285e-07	1	482	34	448	HC1		0.8497883418321723
