design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	spec_display
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	-12	-12	4.20610008890473				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-11	-11	-11	4.069930433039339				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-10	-10	-10	3.8022327205435023				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-9	-9	-9	3.1649003402315583				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	-8	-8	2.514903016087477				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-7	-7	-7	2.658689103320697				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-6	-6	-6	2.052749013682549				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-5	-5	-5	2.007085200371507				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	-4	-4	1.4726413835639516				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-3	-3	-3	1.3702220514488852				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-2	-2	-2	0.0777531591472353				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	0	0	0.4350273171134944				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	1	1	0.6714911419679528				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	2	2	2	-3.0727281566246294				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	3	3	0.0565240085475878				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	4	4	1.571233048855344				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	5	5	1.401950231376328				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	6	6	6	1.3032391616101364				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	7	7	1.9654840291673927				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	8	8	8	0.8442211872840399				1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-12	-12	-12	2.9125659169011175	0.5250648775330151	5.547059118838092	2.9051453442086932e-08	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-11	-11	-11	2.6958294834373757	0.4773317068481983	5.647706709528741	1.626022679733038e-08	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-10	-10	-10	2.27015220547573	0.4295985361633752	5.284357404356697	1.261467622137022e-07	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-9	-9	-9	1.7200309574032948	0.3818653654785577	4.504286360842738	6.659635546948253e-06	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-8	-8	-8	1.1737592903378973	0.3341321947937382	3.512859007981754	0.0004433126519217	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-7	-7	-7	1.2351948358401716	0.2863990241089175	4.312845826494252	1.6116650836852046e-05	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-6	-6	-6	0.8566797179339085	0.2386658534240988	3.5894523897879353	0.0003313733430263	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-5	-5	-5	0.7098297892579386	0.1909326827392797	3.717696619950695	0.0002010475006277	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-4	-4	-4	0.530447743092326	0.1431995120544595	3.7042566380435296	0.000212011534458	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-3	-3	-3	0.4248925887617212	0.095466341369638	4.450705690255489	8.558857167397252e-06	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-2	-2	-2	0.1133726902687053	0.0477331706848199	2.3751342859099007	0.0175425667468169	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	0	0	0	-0.0900085989366621	0.0477331706848195	-1.8856614309362705	0.0593405934487173	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	1	1	1	-0.0244012610523201	0.0954663413696395	-0.2556006724698923	0.7982591990913857	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	2	2	2	-0.352410199531751	0.1431995120544589	-2.460973466150702	0.0138560613098583	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	3	3	3	-0.4701360004909916	0.1909326827392787	-2.4623128620309025	0.0138044190954079	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	4	4	4	-0.4667889571614161	0.2386658534240972	-1.9558263172736132	0.0504856175613603	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	5	5	5	-0.5064416222932182	0.2863990241089179	-1.768307779221405	0.0770094641121959	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	6	6	6	-0.6224528979521029	0.3341321947937381	-1.8628941109262067	0.0624771655387092	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	7	7	7	-0.52249647144783	0.3818653654785578	-1.368274053325134	0.1712263093154774	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	8	8	8	-0.7626848794014522	0.4295985361633752	-1.7753432919319938	0.0758412212844555	1.0	42	0.4065994996451892	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	-12	-12	-4.206100088904723	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-11	-11	-11	-4.069930433039341	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-10	-10	-10	-3.802232720543513	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-9	-9	-9	-3.16490034023155	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	-8	-8	-2.514903016087466	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-7	-7	-7	-2.6586891033206976	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-6	-6	-6	-2.0527490136825577	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-5	-5	-5	-2.0070852003715163	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	-4	-4	-1.472641383563948	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-3	-3	-3	-1.370222051448902	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-2	-2	-2	-0.0777531591472264	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	0	0	-0.4350273171134997	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	1	1	-0.6714911419679652	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	2	2	2	3.0727281566246383	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	3	3	-0.0565240085475945	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	4	4	4	-1.5712330488553563	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	5	5	-1.4019502313763452	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	6	6	6	-1.3032391616101346	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	7	7	7	-1.9654840291674076	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	8	8	8	-0.8442211872840506	inf		1.0	1.0	42	1.0	Baseline
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-3.172368346325893	0.2549976250429595	-12.440776049547296	1.56971359528495e-35	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-3.0821320171676048	0.2318160227663254	-13.295595275890172	2.455114938742432e-40	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-3.069308475876845	0.2086344204896928	-14.711419470827336	5.445308590600926e-49	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-2.811294236880781	0.1854528182130602	-15.15908069755502	6.598647147351806e-52	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-2.5367654730455245	0.1622712159364276	-15.632874002986105	4.34743981306728e-55	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-2.448312908019917	0.139089613659795	-17.602413606585642	2.360467896631498e-69	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-2.0500848295314684	0.1159080113831625	-17.687171102905108	5.265327533220388e-70	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-1.9804678381398344	0.0927264091065301	-21.358185410421154	3.272799385093402e-101	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-1.4546029607413198	0.0695448068298973	-20.91605436908029	3.8248053322822015e-97	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-1.2869356762002877	0.0463632045532647	-27.757694676212033	1.4070224240823226e-169	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.1351835756350867	0.0231816022766322	-5.831502672761995	5.4930431817958744e-09	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	-0.3542328092935864	0.0231816022766328	-15.280773307488529	1.0271458618028466e-52	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	-0.3542861895071405	0.0463632045532654	-7.641538002406861	2.1464215309765592e-14	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	3.23272727736257	0.069544806829898	46.484093129622266	0.0	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	0.1565524179876743	0.0927264091065305	1.6883261143846953	0.0913486449448536	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	-1.1840064722339545	0.115908011383163	-10.215052938143536	1.6978644500382675e-24	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	5	5	5	-0.8835732131301705	0.1390896136597956	-6.352546318025833	2.1177962775704827e-10	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	6	6	6	-0.7300703122662835	0.1622712159364279	-4.499074639043186	6.824989381170777e-06	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	7	7	7	-1.121555646562713	0.1854528182130605	-6.047660301792746	1.4696441475598778e-09	1.0	42	0.9351001347382534	Relaxed+Tr
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	8	8	8	-0.0696781058764148	0.2086344204896932	-0.3339722453891881	0.7384005023553459	1.0	42	0.9351001347382534	Relaxed+Tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	-12	-12	4.206100088904683	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-11	-11	-11	4.0699304330393264	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-10	-10	-10	3.802232720543496	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-9	-9	-9	3.164900340231561	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	-8	-8	2.5149030160874872	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-7	-7	-7	2.6586891033206936	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-6	-6	-6	2.052749013682552	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-5	-5	-5	2.0070852003715003	inf		1.0	1.0	72	1.0	Baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	-4	-4	1.4726413835639385	inf		1.0	1.0	72	1.0	Baseline
