table_group	panel	row_key	row_label	row_order	row_type	target	target_key	spec_name	spec_display	column_key	column_label	column_order	design	reform	beta	se	pvalue	stars	n_obs	r2	value_num	value_display
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	TWFE	haifa_priv	0.2462466379528124	0.2534338655002696	0.3312293676033571		72	0.6050487901759887	0.2462466379528124	0.246 (0.253)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	TWFE	haifa_priv	0.2308017542304531	0.1439812396687773	0.1089349193052357		72	0.5322786711173872	0.2308017542304531	0.231 (0.144)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	TWFE	haifa_priv	-0.2462466379528032	0.2534338655002695	0.331229367603375		72	0.6050487901759887	-0.2462466379528032	-0.246 (0.253)
privatization	panelA	full_post	Static DiD: full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	TWFE	haifa_priv	-0.1459134213736712	0.1802574188079447	0.4182434213044071		72	0.5201133516748712	-0.1459134213736712	-0.146 (0.180)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	TWFE	haifa_priv	0.4389063933568748	0.2578333049799835	0.0887015005516543	*	50	0.5149376001324033	0.4389063933568748	0.439* (0.258)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	TWFE	haifa_priv	0.4297065240574	0.1866520031536786	0.0213250187065306	**	50	0.4383942405371747	0.4297065240574	0.430** (0.187)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	TWFE	haifa_priv	-0.4389063933568805	0.2578333049799833	0.0887015005516499	*	50	0.5149376001324034	-0.4389063933568805	-0.439* (0.258)
privatization	panelA	post_y1	Static DiD: post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	TWFE	haifa_priv	-0.2725437053135717	0.1907035755688293	0.1529615917875186		50	0.3976655778740904	-0.2725437053135717	-0.273 (0.191)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	TWFE	haifa_priv	0.2462466379528124	0.2534338655002696	0.3312293676033571		72	0.6050487901759887	0.2462466379528124	0.246 (0.253)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	TWFE	haifa_priv	0.2308017542304531	0.1439812396687773	0.1089349193052357		72	0.5322786711173872	0.2308017542304531	0.231 (0.144)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	TWFE	haifa_priv	-0.2462466379528032	0.2534338655002695	0.331229367603375		72	0.6050487901759887	-0.2462466379528032	-0.246 (0.253)
privatization	panelA	post_y1_2	Static DiD: post years 1-2	3	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	TWFE	haifa_priv	-0.1459134213736712	0.1802574188079447	0.4182434213044071		72	0.5201133516748712	-0.1459134213736712	-0.146 (0.180)
privatization	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	TWFE	haifa_priv					72	0.6050487901759887	72.0	72
privatization	panelA	n_obs	Observations	4	summary	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	TWFE	haifa_priv					72	0.5322786711173872	72.0	72
privatization	panelA	n_obs	Observations	4	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	TWFE	haifa_priv					72	0.6050487901759887	72.0	72
privatization	panelA	n_obs	Observations	4	summary	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	TWFE	haifa_priv					72	0.5201133516748712	72.0	72
privatization	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	TWFE	haifa_priv					72	0.6050487901759887	0.6050487901759887	0.605
privatization	panelA	r2	Within R^2	5	summary	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	TWFE	haifa_priv					72	0.5322786711173872	0.5322786711173872	0.532
privatization	panelA	r2	Within R^2	5	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	TWFE	haifa_priv					72	0.6050487901759887	0.6050487901759887	0.605
privatization	panelA	r2	Within R^2	5	summary	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	TWFE	haifa_priv					72	0.5201133516748712	0.5201133516748712	0.520
privatization	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	NYT	haifa_priv	-0.5826252762366774				42	1.0	-0.5826252762366774	-0.583
privatization	panelB	full_post	Full post	1	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	NYT	haifa_priv	0.1491694872274632	0.1080586959273771	0.1674485318123024		42	0.7120221932274196	0.1491694872274632	0.149 (0.108)
privatization	panelB	full_post	Full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	NYT	haifa_priv	0.5826252762366704				42	1.0	0.5826252762366704	0.583
privatization	panelB	full_post	Full post	1	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	NYT	haifa_priv	0.2371349927333441	0.037794845775261	3.512830026863867e-10	***	42	0.9385039876188463	0.2371349927333441	0.237*** (0.038)
privatization	panelB	post_y1	Post year 1	2	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	NYT	haifa_priv	-0.5826252762366774				42	1.0	-0.5826252762366774	-0.583
privatization	panelB	post_y1	Post year 1	2	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	NYT	haifa_priv	0.1491694872274632	0.1080586959273771	0.1674485318123024		42	0.7120221932274196	0.1491694872274632	0.149 (0.108)
privatization	panelB	post_y1	Post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	NYT	haifa_priv	0.5826252762366704				42	1.0	0.5826252762366704	0.583
privatization	panelB	post_y1	Post year 1	2	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	NYT	haifa_priv	0.2371349927333441	0.037794845775261	3.512830026863867e-10	***	42	0.9385039876188463	0.2371349927333441	0.237*** (0.038)
privatization	panelB	avg_pre	Average pre	3	estimate	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	NYT	haifa_priv	-1.3228388661536323				42	1.0	-1.3228388661536323	-1.323
privatization	panelB	avg_pre	Average pre	3	estimate	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	NYT	haifa_priv	-0.8216287683496812	0.1178822137389569	3.171241047539297e-12	***	42	0.7120221932274196	-0.8216287683496812	-0.822*** (0.118)
privatization	panelB	avg_pre	Average pre	3	estimate	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	NYT	haifa_priv	1.3228388661536314				42	1.0	1.3228388661536314	1.323
privatization	panelB	avg_pre	Average pre	3	estimate	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	NYT	haifa_priv	1.0408389386011865	0.0412307408457393	0.0	***	42	0.9385039876188463	1.0408389386011865	1.041*** (0.041)
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	NYT	haifa_priv					42	1.0		
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	NYT	haifa_priv					42	0.7120221932274196	0.0066094400177332	0.007
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	NYT	haifa_priv					42	1.0		
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	NYT	haifa_priv					42	0.9385039876188463	3.82221961150046e-09	0.000
privatization	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	baseline	Baseline	Haifa-Legacy__baseline	Haifa-Legacy — Baseline	1	NYT	haifa_priv					42	1.0	42.0	42
privatization	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	relaxed_tr	Relaxed+Tr	Haifa-Legacy__relaxed_tr	Haifa-Legacy — Relaxed+Tr	2	NYT	haifa_priv					42	0.7120221932274196	42.0	42
privatization	panelB	n_obs	Observations	5	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	Baseline	Haifa-Bayport__baseline	Haifa-Bayport — Baseline	3	NYT	haifa_priv					42	1.0	42.0	42
privatization	panelB	n_obs	Observations	5	summary	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	Relaxed+Tr	Haifa-Bayport__relaxed_tr	Haifa-Bayport — Relaxed+Tr	4	NYT	haifa_priv					42	0.9385039876188463	42.0	42
