model	reform	target	fe_type	spec_name	window_name	m_start	m_end	beta_hat	se	tvalue	pvalue	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	post_all	1	24	0.0774915575997929	0.1312187636654364	0.5905524136576247	0.5548203571734069	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	post_y1	1	12	-0.1966409814554047	0.1332940466461523	-1.4752420412099547	0.1401474823998776	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	post_y2	13	24	0.3516240966549905	0.136449281160033	2.576958219681582	0.0099673997545959	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	pre_all	-12	-2	0.2834539925065329	0.1758533493672319	1.6118771324315246	0.106988679249917	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	did_post	1	24	-0.1167053254314352	0.1606589083229783	-0.7264167710938159	0.4675833129470655	482	38	444	HC1		0.7939899229594949
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	post_all	1	24	0.0774915575997982	0.1312187636654374	0.5905524136576612	0.5548203571733825	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	post_y1	1	12	-0.1966409814553992	0.1332940466461533	-1.4752420412099023	0.1401474823998918	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	post_y2	13	24	0.3516240966549958	0.136449281160034	2.576958219681604	0.0099673997545952	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	pre_all	-12	-2	0.2834539925065398	0.1758533493672327	1.6118771324315566	0.1069886792499101	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	did_post	1	24	-0.116705325431441	0.1606589083229816	-0.7264167710938371	0.4675833129470526	482	38	444	HC1		0.7939899229594949
1B	haifa_priv	Haifa-Legacy K/L	baseline	baseline	post_all	1	23	-0.5711238174492305	0.0107911726953858	-52.925092904261746	0.0	481	37	444	HC1		0.9989983743491754
