kind	design	target	spec_name	window	beta	se	pvalue	n_obs	r2	source_spec_family
window	NYT	Haifa-Legacy	baseline	avg_pre	-0.94637467215219			42	1.0	baseline
window	NYT	Haifa-Legacy	baseline	post_y1	0.070321396208538			42	1.0	baseline
window	NYT	Haifa-Legacy	baseline	post_y1_2	0.070321396208538			42	1.0	baseline
window	NYT	Haifa-Legacy	baseline	full_post	0.070321396208538			42	1.0	baseline
window	NYT	Haifa-Bayport	baseline	avg_pre	0.9463746721521888			42	1.0	baseline
window	NYT	Haifa-Bayport	baseline	post_y1	-0.0703213962085445			42	1.0	baseline
window	NYT	Haifa-Bayport	baseline	post_y1_2	-0.0703213962085445			42	1.0	baseline
window	NYT	Haifa-Bayport	baseline	full_post	-0.0703213962085445			42	1.0	baseline
window	TWFE	Haifa-Legacy	baseline	avg_pre	-0.9463746721521876			72	1.0	baseline
window	TWFE	Haifa-Legacy	baseline	post_y1	-0.0705823449209529			72	1.0	baseline
window	TWFE	Haifa-Legacy	baseline	post_y1_2	-0.2646365894987469			72	1.0	baseline
window	TWFE	Haifa-Legacy	baseline	full_post	-0.2646365894987469			72	1.0	baseline
window	TWFE	Haifa-Bayport	baseline	avg_pre	0.9463746721521792			72	1.0	baseline
window	TWFE	Haifa-Bayport	baseline	post_y1	0.0705823449209458			72	1.0	baseline
window	TWFE	Haifa-Bayport	baseline	post_y1_2	0.2646365894987414			72	1.0	baseline
window	TWFE	Haifa-Bayport	baseline	full_post	0.2646365894987414			72	1.0	baseline
window	NYT	Haifa-Legacy	relaxed_tr	avg_pre	-1.0736728206946224	0.0472190580771397	0.0	42	0.97211621170194	relaxed_tr
window	NYT	Haifa-Legacy	relaxed_tr	post_y1	-0.0457749812294043	0.0432841365707111	0.2902623066407654	42	0.97211621170194	relaxed_tr
window	NYT	Haifa-Legacy	relaxed_tr	post_y1_2	-0.0457749812294043	0.0432841365707111	0.2902623066407654	42	0.97211621170194	relaxed_tr
window	NYT	Haifa-Legacy	relaxed_tr	full_post	-0.0457749812294043	0.0432841365707111	0.2902623066407654	42	0.97211621170194	relaxed_tr
window	NYT	Haifa-Bayport	relaxed_tr	avg_pre	0.4737662730680272	0.073774601924439	1.3466583403953789e-10	42	0.8574053623668347	relaxed_tr
window	NYT	Haifa-Bayport	relaxed_tr	post_y1	-0.6670720972475288	0.0676267184307356	0.0	42	0.8574053623668347	relaxed_tr
window	NYT	Haifa-Bayport	relaxed_tr	post_y1_2	-0.6670720972475288	0.0676267184307356	0.0	42	0.8574053623668347	relaxed_tr
window	NYT	Haifa-Bayport	relaxed_tr	full_post	-0.6670720972475288	0.0676267184307356	0.0	42	0.8574053623668347	relaxed_tr
window	TWFE	Haifa-Legacy	relaxed_tr	avg_pre	-0.7984737522302388	0.0371462884688953	0.0	72	0.8366344733509046	relaxed_tr
window	TWFE	Haifa-Legacy	relaxed_tr	post_y1	-0.3054895287068309	0.0464328605861175	4.730926761453702e-11	72	0.8366344733509046	relaxed_tr
