design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-1.3260358156181624	0.2161173918547556	-6.135720055835865	8.477432725052788e-10	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-1.285898320329828	0.1964703562315947	-6.544999179489654	5.949571234673719e-11	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-1.244366625038862	0.1768233206084353	-7.037344512913189	1.9593798509961864e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-1.0933959766630588	0.1571762849852757	-6.956494593096457	3.488436392021398e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-1.0490642932838403	0.1375292493621163	-7.627935862004455	2.3854218065256633e-14	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-1.0033384908763598	0.1178822137389568	-8.511364514227683	1.7189830955306746e-17	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-0.6742818212391439	0.0982351781157973	-6.863954788622832	6.697983700667025e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-0.6258082176145254	0.0785881424926379	-7.96313792087846	1.6773032293282864e-15	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-0.5759918842588361	0.0589411068694783	-9.772328937329537	1.4800990388894856e-22	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-0.106074613746194	0.0392940712463188	-2.6995068309734203	0.0069442330165036	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.0536603931776831	0.0196470356231594	-2.731220842009854	0.0063100172821237	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	0.005346132373333	0.0196470356231595	0.2721088552937281	0.7855383208278544	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	0.0462345112539467	0.0392940712463189	1.176628172838616	0.2393439479216922	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	0.0888915332965591	0.0589411068694785	1.5081415673683236	0.1315182985343271	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	0.015559644120469	0.0785881424926379	0.1979897173664166	0.8430531088374507	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	0.0617622748565791	0.0982351781157974	0.6287185104278549	0.5295333575407346	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	5	5	5	0.1097231511035811	0.1178822137389569	0.9307863130782096	0.3519641110353956	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	6	6	6	0.2384364399656382	0.1375292493621161	1.7337143994571822	0.0829687703164703	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	7	7	7	0.289839319055923	0.1571762849852756	1.8440397613614248	0.0651773457350007	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	8	8	8	0.3429090241670094	0.1768233206084352	1.9392748817694765	0.0524678757490424	1.0	42	0.7120221932274196
