design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-0.7753172689449563	0.119477552919033	-6.489229566581174	8.627641993235282e-11	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-0.7852450960814711	0.1086159571991207	-7.229555549024131	4.845772723576439e-13	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-0.7937787232153433	0.0977543614792089	-8.120136137190869	4.65661039596307e-16	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-0.6928733972643656	0.0868927657592968	-7.973890475344132	1.5375581103878066e-15	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-0.6986070363099914	0.0760311700393849	-9.18842937637426	3.9861887569931095e-20	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-0.7029465563273479	0.0651695743194729	-10.786422401370585	3.990219349415713e-27	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-0.423955209114963	0.054307978599561	-7.806499524517191	5.8798191802237986e-15	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-0.4255469279151777	0.0434463828796488	-9.794760799627186	1.1857774526686608e-22	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-0.4257959169843266	0.0325847871597373	-13.067322333486093	5.0616026961343343e-39	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-0.0059439688965213	0.0217231914398253	-0.2736231880562562	0.784374212340453	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.003595070752846	0.0108615957199133	-0.3309891884720886	0.7406526520722984	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	-0.0447191900514996	0.0108615957199106	-4.117184178520285	3.835295688613556e-05	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	-0.0538961335957181	0.0217231914398224	-2.4810412293709705	0.0130999219860917	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	-0.0613044339779493	0.0325847871597342	-1.8813820595920472	0.0599199655334	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	-0.1847016455788705	0.0434463828796463	-4.251254841870831	2.1257611669141095e-05	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	-0.1885643372675929	0.0543079785995583	-3.4721295494715125	0.0005163470984021	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	5	5	5	-0.1906687834454314	0.0651695743194702	-2.9257331421369557	0.0034364557526954	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	6	6	6	-0.1120208170082088	0.0760311700393822	-1.4733538488252234	0.1406556477294553	1.0	72	0.63330940254345
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	7	7	7	-0.1106832603427604	0.086892765759294	-1.2737914298800157	0.2027373432214675	1.0	72	0.63330940254345
