m	Haifa-Bayport	Haifa-Legacy	legacy_plus_bayport	negative_bayport
-12	2.4021074740326043	-2.4021074740326096	-5.329070518200751e-15	-2.4021074740326043
-11	2.4091307874233707	-2.409130787423376	-5.329070518200751e-15	-2.4091307874233707
-10	2.4192534696382797	-2.419253469638294	-1.4210854715202004e-14	-2.4192534696382797
-9	1.4906254407088246	-1.4906254407088144	1.021405182655144e-14	-1.4906254407088246
-8	1.506540750032693	-1.5065407500326824	1.0658141036401503e-14	-1.506540750032693
-7	1.525059652890831	-1.52505965289083	8.881784197001252e-16	-1.525059652890831
-6	0.9374745034612122	-0.9374745034612192	-6.994405055138486e-15	-0.9374745034612122
-5	0.9604514878333484	-0.9604514878333532	-4.773959005888173e-15	-0.9604514878333484
-4	0.9852448228938772	-0.9852448228938736	3.552713678800501e-15	-0.9852448228938772
-3	-0.0561162151614576	0.0561162151614451	-1.2503886814840826e-14	0.0561162151614576
-2	-0.02854464606364	0.0285446460636507	1.0699774399824946e-14	0.02854464606364
0	0.5569869252390482	-0.5569869252390482	0.0	-0.5569869252390482
1	0.5541708228730877	-0.554170822873096	-8.326672684688674e-15	-0.5541708228730877
2	0.5495860773451327	-0.5495860773451327	0.0	-0.5495860773451327
3	0.6191867683821952	-0.6191867683822017	-6.439293542825908e-15	-0.6191867683821952
4	0.6110564141607409	-0.6110564141607497	-8.881784197001252e-15	-0.6110564141607409
5	0.6011678144283991	-0.6011678144284126	-1.354472090042691e-14	-0.6011678144283991
6	0.5891643154838331	-0.5891643154838295	3.552713678800501e-15	-0.5891643154838331
7	0.5758337129081981	-0.5758337129082103	-1.2212453270876722e-14	-0.5758337129081981
8	0.560836284311776	-0.5608362843117867	-1.0658141036401503e-14	-0.560836284311776
