m	Haifa-Bayport	Haifa-Legacy	legacy_plus_bayport	negative_bayport
-12	1.117574203325688	-1.7847572263257128	-0.6671830230000249	-1.117574203325688
-11	1.0710300197949438	-1.738147319645419	-0.6671172998504751	-1.0710300197949438
-10	1.028979405091027	-1.6901432129625027	-0.6611638078714757	-1.028979405091027
-9	0.4493095097358426	-1.3849046790140795	-0.9355951692782369	-0.4493095097358426
-8	0.4158515102291407	-1.3341005842429086	-0.9182490740137679	-0.4158515102291407
-7	0.3863912232849714	-1.2819023704434782	-0.8955111471585069	-0.3863912232849714
-6	0.2563927186753147	-0.8611580562292653	-0.6047653375539506	-0.2563927186753147
-5	0.2341383144622797	-0.8062120412126949	-0.5720737267504151	-0.2341383144622797
-4	0.2150429906687039	-0.7499232964650533	-0.5348803057963494	-0.2150429906687039
-3	0.0252191555119268	-0.1190194365300968	-0.09380028101817	-0.0252191555119268
-2	0.0114999529684602	-0.0601328045696352	-0.048632851601174996	-0.0114999529684602
0	-0.3047023808966607	-0.1085652300887387	-0.4132676109853994	0.3047023808966607
1	-0.3603350965917915	-0.061204439816174	-0.42153953640796554	0.3603350965917915
2	-0.4159678122869161	-0.012075006381611	-0.4280428186685271	0.4159678122869161
3	-0.6427057693155012	-0.2082362508455166	-0.8509420201610178	0.6427057693155012
4	-0.6983384850106278	-0.1555612087174553	-0.853899693728083	0.6983384850106278
5	-0.7539712007057625	-0.1011279210785018	-0.8550991217842643	0.7539712007057625
6	-0.7661200889947457	-0.0010959068211615	-0.7672159958159072	0.7661200889947457
7	-0.821752804689877	0.0567793836610738	-0.7649734210288032	0.821752804689877
8	-0.8773855203850083	0.116321500164112	-0.7610640202208963	0.8773855203850083
