m	Haifa-Bayport	Haifa-Legacy	legacy_plus_bayport	negative_bayport
-12	0.7362154849192342	-1.280225600807662	-0.5440101158884278	-0.7362154849192342
-11	0.7243402757891473	-1.2794822055381196	-0.5551419297489724	-0.7243402757891473
-10	0.7169586354857955	-1.277344610265935	-0.5603859747801394	-0.7169586354857955
-9	0.1719577145311835	-1.017972587728231	-0.8460148731970476	-0.1719577145311835
-8	0.1731686894250783	-1.0130350043677971	-0.8398663149427188	-0.1731686894250783
-7	0.1783773768814885	-1.0067033019790992	-0.8283259250976107	-0.1783773768814885
-6	0.0830478466724109	-0.6318254991756129	-0.548777652503202	-0.0830478466724109
-5	0.095462416859946	-0.6227459955697691	-0.5272835787098231	-0.095462416859946
-4	0.1110360674669559	-0.6123237622328608	-0.5012876947659048	-0.1110360674669559
-3	-0.0441187932892328	-0.0272864137086354	-0.0714052069978682	0.0441187932892328
-2	-0.0231690214321229	-0.0142662931589025	-0.0374353145910254	0.0231690214321229
0	-0.2700334064960703	-0.1544317414994669	-0.42446514799553725	0.2700334064960703
1	-0.2909971477906301	-0.1529374626376271	-0.44393461042825716	0.2909971477906301
2	-0.3119608890851841	-0.1496745406138009	-0.46163542969898497	0.3119608890851841
3	-0.5040298717131693	-0.3917022964884336	-0.8957321682016028	0.5040298717131693
4	-0.5249936130077355	-0.3848937657710989	-0.9098873787788344	0.5249936130077355
5	-0.5459573543022898	-0.3763269895428801	-0.9222843438451698	0.5459573543022898
6	-0.5234372681906736	-0.3221614866962685	-0.8455987548869421	0.5234372681906736
7	-0.5444010094852247	-0.3101527076247623	-0.8545537171099871	0.5444010094852247
8	-0.5653647507797839	-0.2964771025324531	-0.861841853312237	0.5653647507797839
9	-0.2089249142146224	-0.3806765399597102	-0.5896014541743326	0.2089249142146224
10	-0.2298886555091686	-0.3638133419831924	-0.593701997492361	0.2298886555091686
11	-0.2508523968037251	-0.3454421894055241	-0.5962945862092492	0.2508523968037251
12	-0.0858509356872332	-0.1916159212262194	-0.27746685691345263	0.0858509356872332
13	-0.1068146769817862	-0.1927996095263264	-0.2996142865081126	0.1068146769817862
14	-0.1277784182763301	-0.1937466629963342	-0.3215250812726643	0.1277784182763301
15	-0.0553168373744853	-0.1782681402724067	-0.233584977646892	0.0553168373744853
16	-0.076280578669027	-0.1787287325431332	-0.2550093112121602	0.076280578669027
17	-0.0972443199635878	-0.1789397382680029	-0.2761840582315907	0.0972443199635878
18	-0.1634715818903913	-0.405302158979512	-0.5687737408699033	0.1634715818903913
19	-0.1844353231849519	-0.4050019531511442	-0.5894372763360961	0.1844353231849519
20	-0.2053990644795043	-0.4044404207931986	-0.6098394852727029	0.2053990644795043
21	-0.3621204294330139	-0.3889381749688919	-0.7510586044019059	0.3621204294330139
22	-0.3830841707275612	-0.3878433649368249	-0.7709275356643861	0.3830841707275612
23	-0.4040479120221203	-0.3864769577864608	-0.7905248698085812	0.4040479120221203
