year	month	date	event_time	Haifa_Bayport_KL	Haifa_Legacy_KL	legacy_minus_bayport	legacy_minus_bayport_norm_m_minus_1
2018	1	2018-01-01	-60		6.390964129840695		
2018	2	2018-02-01	-59		6.3812791731810705		
2018	3	2018-03-01	-58		6.255587459784651		
2018	4	2018-04-01	-57		6.21848155620473		
2018	5	2018-05-01	-56		6.233574398369614		
2018	6	2018-06-01	-55		6.198955047670521		
2018	7	2018-07-01	-54		6.160469189286484		
2018	8	2018-08-01	-53		6.2172364825126625		
2018	9	2018-09-01	-52		6.351716843186115		
2018	10	2018-10-01	-51		6.256513877886294		
2018	11	2018-11-01	-50		6.27302698844832		
2018	12	2018-12-01	-49		6.330180003289761		
2019	1	2019-01-01	-48		6.263546351792479		
2019	2	2019-02-01	-47		6.398984538514569		
2019	3	2019-03-01	-46		6.222572623172353		
2019	4	2019-04-01	-45		6.199880722636348		
2019	5	2019-05-01	-44		6.26393699692674		
2019	6	2019-06-01	-43		6.305618591628419		
2019	7	2019-07-01	-42		6.256548766635667		
2019	8	2019-08-01	-41		6.355454285222523		
2019	9	2019-09-01	-40		6.357432664668674		
2019	10	2019-10-01	-39		6.2227146854314705		
2019	11	2019-11-01	-38		6.233849187519073		
2019	12	2019-12-01	-37		6.195070299073922		
2020	1	2020-01-01	-36		6.041944227722069		
2020	2	2020-02-01	-35		6.06392700767002		
2020	3	2020-03-01	-34		5.989313949530955		
2020	4	2020-04-01	-33		5.958660188829551		
2020	5	2020-05-01	-32		6.047179561854067		
2020	6	2020-06-01	-31		6.121789384328411		
2020	7	2020-07-01	-30		6.014388971370501		
2020	8	2020-08-01	-29		6.104509784005888		
2020	9	2020-09-01	-28		6.108914225423595		
2020	10	2020-10-01	-27		5.950710070159813		
2020	11	2020-11-01	-26		6.011791801086409		
2020	12	2020-12-01	-25		6.102106292086773		
2021	1	2021-01-01	-24		5.893590631426826		
2021	2	2021-02-01	-23		5.921770720623546		
2021	3	2021-03-01	-22		5.890906034608389		
2021	4	2021-04-01	-21		5.923715496365493		
2021	5	2021-05-01	-20		5.8277463177132764		
2021	6	2021-06-01	-19		5.857466095282071		
2021	7	2021-07-01	-18	4.307759467805214	5.951817462512506	1.6440579947072917	1.243789799510803
