design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type	source_file	source_spec_family
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	23	0.2462466379528124	0.2534338655002696	0.3312293676033571	72	0.6050487901759887	36	36	23	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	0.4389063933568748	0.2578333049799835	0.0887015005516543	50	0.5149376001324033	25	25	12	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	23	0.2462466379528124	0.2534338655002696	0.3312293676033571	72	0.6050487901759887	36	36	23	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	23	-0.2462466379528032	0.2534338655002695	0.331229367603375	72	0.6050487901759887	36	36	23	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	-0.4389063933568805	0.2578333049799833	0.0887015005516499	50	0.5149376001324034	25	25	12	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	23	-0.2462466379528032	0.2534338655002695	0.331229367603375	72	0.6050487901759887	36	36	23	HC1	model1b_kl_static_betas_all_twfe.tsv	baseline
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	full_post	1	23	0.2308017542304531	0.1439812396687773	0.1089349193052357	72	0.5322786711173872	36	36	23	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	post_y1	1	12	0.4297065240574	0.1866520031536786	0.0213250187065306	50	0.4383942405371747	25	25	12	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	post_y1_2	1	23	0.2308017542304531	0.1439812396687773	0.1089349193052357	72	0.5322786711173872	36	36	23	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	full_post	1	23	-0.1459134213736712	0.1802574188079447	0.4182434213044071	72	0.5201133516748712	36	36	23	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	post_y1	1	12	-0.2725437053135717	0.1907035755688293	0.1529615917875186	50	0.3976655778740904	25	25	12	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	post_y1_2	1	23	-0.1459134213736712	0.1802574188079447	0.4182434213044071	72	0.5201133516748712	36	36	23	HC1	model1b_kl_static_betas_all_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	full_post	1	23	0.2308017542304531	0.1439812396687773	0.1089349193052357	72	0.5322786711173872	36	36	23	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	post_y1	1	12	0.4297065240574	0.1866520031536786	0.0213250187065306	50	0.4383942405371747	25	25	12	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	post_y1_2	1	23	0.2308017542304531	0.1439812396687773	0.1089349193052357	72	0.5322786711173872	36	36	23	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	full_post	1	23	-0.1459134213736712	0.1802574188079447	0.4182434213044071	72	0.5201133516748712	36	36	23	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	post_y1	1	12	-0.2725437053135717	0.1907035755688293	0.1529615917875186	50	0.3976655778740904	25	25	12	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	post_y1_2	1	23	-0.1459134213736712	0.1802574188079447	0.4182434213044071	72	0.5201133516748712	36	36	23	HC1	model1b_kl_static_betas_relaxed_tr_relaxed_twfe.tsv	relaxed_tr
