model	reform	target	spec_name	event_time	term	beta_hat	se	tvalue	pvalue	n_obs	cov_type	cluster_by	r2
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-13	et_mneg13	0.35506359470063087	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-12	et_mneg12	0.34510504453098	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-11	et_mneg11	0.17166540203907865	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-10	et_mneg10	0.23031563831075808	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-9	et_mneg9	0.30387404081771474	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-8	et_mneg8	0.08897570317590109	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-7	et_mneg7	0.10948002335612295	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-6	et_mneg6	0.06983591189230332	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-5	et_mneg5	0.0926115830952483	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-4	et_mneg4	-0.014290313564249146	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-3	et_mneg3	0.003890688408126175	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	-2	et_mneg2	0.06416124744820273	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	0	et_mpos0	0.17173613913467634	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	1	et_mpos1	0.043312303247382056	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	2	et_mpos2	-0.0033490431299370016	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	3	et_mpos3	0.01832910711467639	inf	0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	4	et_mpos4	-0.068838285415592	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	5	et_mpos5	-0.08189780648500933	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	6	et_mpos6	-0.09476503610413811	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	7	et_mpos7	-0.214646996581773	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	8	et_mpos8	-0.2275072408144263	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	9	et_mpos9	-0.24035652096419668	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	10	et_mpos10	-0.20669314977128117	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	11	et_mpos11	-0.21942939295947816	inf	-0.0	1.0	38	HC1	time	1.0
1B_Haifa	haifa_comp	Haifa port cluster (central)	relaxed_ts	12	et_mpos12	-0.23210655063625563	inf	-0.0	1.0	38	HC1	time	1.0
