model	reform	target	spec_name	window_name	m_start	m_end	n_months	beta_hat	se	tvalue	pvalue	n_obs	cov_type	cluster_by	r2	max_post
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_baseline	pre_all	-12	-2	11	-0.06906343423459527	0.06407974064666098	-1.0777733108411693	0.2811349328407766	38	HC1		0.3437275004169732	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_baseline	post_y1	1	12	12	-0.17514007026901557	0.06193426669090131	-2.8278379583163	0.00468635209844015	38	HC1		0.3437275004169732	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_baseline	post_y2	13	24	12	-0.21182473211442243	0.07061602560116952	-2.9996694137217808	0.0027027277332656308	38	HC1		0.3437275004169732	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_baseline	post_all	1	24	24	-0.193482401191719	0.06249863680042477	-3.095785941852799	0.0019629201013804387	38	HC1		0.3437275004169732	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_trend	pre_all	-12	-2	11	-0.07584723105685498	0.05856028449359848	-1.2951991560960778	0.19525153587750976	38	HC1		0.35135567469061457	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_trend	post_y1	1	12	12	-0.14267475690532572	0.08804430459924294	-1.6204882025560632	0.10512744653187012	38	HC1		0.35135567469061457	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_trend	post_y2	13	24	12	-0.14447132080766734	0.1636653707260914	-0.8827238173031299	0.3773855104543622	38	HC1		0.35135567469061457	24
Model_1B_Haifa	haifa_comp	Haifa port cluster	ts_trend	post_all	1	24	24	-0.14357303885649653	0.12279441172354935	-1.169214761822604	0.24231711512477339	38	HC1		0.35135567469061457	24
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_baseline	pre_all	-12	-2	11	-0.045301755160095825	0.10600601426071508	-0.4273508015184782	0.6691238360199796	22	HC1		0.20919009745184336	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_baseline	post_y1	1	8	8	0.05927244056866399	0.10232340005607302	0.5792657450415332	0.5624098752935702	22	HC1		0.20919009745184336	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_baseline	post_y2	13	8	0					22	HC1		0.20919009745184336	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_baseline	post_all	1	8	8	0.05927244056866399	0.10232340005607302	0.5792657450415332	0.5624098752935702	22	HC1		0.20919009745184336	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_trend	pre_all	-12	-2	11	-0.0824512179020549	0.0838986703948674	-0.9827476110646319	0.32573167173655304	22	HC1		0.4778779919867624	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_trend	post_y1	1	8	8	0.20521675848348875	0.13435140531897755	1.5274626863504885	0.12664599893479211	22	HC1		0.4778779919867624	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_trend	post_y2	13	8	0					22	HC1		0.4778779919867624	8
Model_1B_Haifa	haifa_priv	Haifa port cluster	ts_trend	post_all	1	8	8	0.20521675848348875	0.13435140531897755	1.5274626863504885	0.12664599893479211	22	HC1		0.4778779919867624	8
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_baseline	pre_all	-12	-2	11	-0.045301755160101376	0.1043133415843385	-0.4342853413767251	0.6640812471687791	37	HC1		0.6625332688108422	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_baseline	post_y1	1	12	12	0.11653565120637754	0.10318233007593941	1.1294148050408481	0.2587228902590324	37	HC1		0.6625332688108422	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_baseline	post_y2	13	23	11	0.26915744821639653	0.10088551122500153	2.66794948995306	0.007631573023422877	37	HC1		0.6625332688108422	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_baseline	post_all	1	23	23	0.18952868455899533	0.10094842181407912	1.8774804118092914	0.06045227957553867	37	HC1		0.6625332688108422	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_trend	pre_all	-12	-2	11	-0.053484672552495116	0.0982061801724785	-0.5446161581537999	0.5860175393205034	37	HC1		0.6691082658839309	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_trend	post_y1	1	12	12	0.15569675586998533	0.12321648080713814	1.2636033333372523	0.20637243658005255	37	HC1		0.6691082658839309	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_trend	post_y2	13	23	11	0.34864864574252286	0.16983910963668652	2.052817201458127	0.040090309605697705	37	HC1		0.6691082658839309	23
Model_1B_Haifa	haifa_priv_long	Haifa port cluster	ts_trend	post_all	1	23	23	0.24797809450467717	0.14248986471691585	1.740320934385996	0.08180268013426528	37	HC1		0.6691082658839309	23
