design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-1.3260358156181624	0.2161173918547556	-6.135720055835865	8.477432725052789e-10	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-1.285898320329828	0.19647035623159478	-6.544999179489654	5.94957123467372e-11	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-1.2443666250388619	0.1768233206084353	-7.037344512913189	1.9593798509961864e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-1.0933959766630588	0.15717628498527578	-6.956494593096457	3.4884363920213975e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-1.0490642932838403	0.1375292493621163	-7.627935862004455	2.385421806525663e-14	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-1.0033384908763598	0.1178822137389568	-8.511364514227683	1.7189830955306743e-17	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-0.6742818212391439	0.09823517811579734	-6.863954788622832	6.697983700667025e-12	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-0.6258082176145254	0.07858814249263799	-7.96313792087846	1.6773032293282864e-15	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-0.5759918842588361	0.05894110686947837	-9.772328937329535	1.4800990388894856e-22	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-0.10607461374619404	0.03929407124631887	-2.6995068309734203	0.00694423301650369	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.05366039317768312	0.019647035623159444	-2.7312208420098534	0.006310017282123705	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	0.005346132373333035	0.019647035623159517	0.27210885529372814	0.7855383208278544	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	0.04623451125394671	0.03929407124631899	1.1766281728386159	0.23934394792169222	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	0.08889153329655919	0.05894110686947851	1.5081415673683236	0.13151829853432717	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	0.01555964412046907	0.07858814249263799	0.1979897173664166	0.8430531088374507	1.0	42	0.7120221932274196
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	0.06176227485657915	0.0982351781157974	0.6287185104278549	0.5295333575407346	1.0	42	0.7120221932274196
