design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-2.3811820991846453	0.14809326314461962	-16.07893599359287	3.58483097209754e-58	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-2.362871792493782	0.13463023922238124	-17.550825179704297	5.862208244559994e-69	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-2.4219742736704033	0.12116721530014342	-19.988693044326624	6.908157702819543e-89	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-2.235886057141712	0.10770419137790535	-20.759508321236847	1.0059055002102079e-95	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-2.033283315773846	0.09424116745566752	-21.5753196895649	3.0635564553973726e-103	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-2.0167567732156244	0.08077814353342952	-24.966614544452888	1.4096029510786564e-137	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-1.6904547171945525	0.06731511961119163	-25.112556093765033	3.626806018754654e-139	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-1.6927637482702966	0.05385209568895333	-31.43357239145538	7.0395985887869365e-217	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-1.238824893339169	0.04038907176671601	-30.672279385238678	1.3337000044394747e-206	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-1.1430836312655213	0.026926047844477996	-42.45270742545848	0.0	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.06325755316770199	0.013463023922240063	-4.698614035974824	2.6193292324521557e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	-0.42615883176097213	0.013463023922235905	-31.654020242593223	6.6763380121375616e-220	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	-0.4981382344419003	0.02692604784447374	-18.500235805832805	2.055726009992259e-76	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	3.0169492099604156	0.0403890717667115	74.69716628761378	0.0	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	-0.1311516718818553	0.05385209568894958	-2.4354051630486047	0.014875123338964963	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	-1.543636584570863	0.06731511961118754	-22.93149879977805	2.2543386785986998e-116	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	5	5	5	-1.3151293479344714	0.08077814353342536	-16.280757274277804	1.3518564523231946e-59	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	6	6	6	-1.2335524695379672	0.09424116745566345	-13.089316514656955	3.7900288420655803e-39	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	7	7	7	-1.6969638263017757	0.10770419137790117	-15.755782617109551	6.267859872994641e-56	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	8	8	8	-0.7170123080828583	0.12116721530013908	-5.91754383648062	3.267847817040246e-09	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	9	9	9	-1.993836136587546	0.13463023922237694	-14.809719926993564	1.267674071064195e-49	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	10	10	10	-1.4802183563846265	0.14809326314461496	-9.99517685648654	1.6000137137928485e-23	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	11	11	11	-1.2914305828217865	0.16155628706685302	-7.993688183037929	1.3096073644953157e-15	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	12	12	12	-0.913992821786155	0.17501931098909093	-5.222239858109856	1.7677179146979994e-07	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	13	13	13	-1.0353088412439249	0.18848233491132876	-5.492869354207567	3.9545534050909995e-08	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	14	14	14	-0.273364628161886	0.20194535883356673	-1.3536564035976655	0.1758460230558716	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	15	15	15	-1.1293750931509998	0.21540838275580454	-5.242948666632459	1.58030516312943e-07	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	16	16	16	-0.40719029664149087	0.22887140667804248	-1.7791226197787684	0.0752196610048315	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	17	17	17	-1.072044897595117	0.24233443060028043	-4.423824113393965	9.696897564957632e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	18	18	18	-1.2463398638334446	0.25579745452251834	-4.872370079522144	1.1026736768791968e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	19	19	19	-1.2638584494326306	0.2692604784447562	-4.693813428293134	2.681586185452332e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	20	20	20	-1.3382587705975828	0.28272350236699423	-4.733454273852453	2.2073070815559503e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	21	21	21	-1.2459620438905996	0.296186526289232	-4.2066803628801575	2.5914926959231063e-05	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	22	22	22	-1.396507248719569	0.3096495502114695	-4.509960527201961	6.483968943338035e-06	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	23	23	23	-1.1260154418475599	0.3231125741337082	-3.4849013377659515	0.0004923185360539503	1.0	72	0.829184060515026
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-12	-12	-12	2.041840217020783	0.17278485387174541	11.817240755005058	3.179568602177411e-32	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-11	-11	-11	1.9042606653644216	0.1570771398834019	12.123092302151358	7.969439245383329e-34	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-10	-10	-10	1.557740269210064	0.14136942589506252	11.018933261894711	3.097075010367229e-28	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-9	-9	-9	1.0867759029449031	0.125661711906722	8.648425096672332	5.221500695153791e-18	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-8	-8	-8	0.6196611176868307	0.10995399791838142	5.635639716773224	1.744096728146642e-08	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-7	-7	-7	0.760253544996393	0.0942462839300424	8.06666866102347	7.22422591852662e-16	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-6	-6	-6	0.46089530889742036	0.07853856994170091	5.868394461976356	4.400353536290827e-09	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-5	-5	-5	0.39320226202873587	0.06283085595336096	6.258107677549514	3.896767443345842e-10	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-4	-4	-4	0.2929770976704349	0.04712314196502113	6.217265773320205	5.058924975613209e-10	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-3	-3	-3	0.26657882514713255	0.031415427976680815	8.485602212550148	2.1460439551700882e-17	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-2	-2	-2	0.034215808461406816	0.015707713988340165	2.1782805879203817	0.02938515348579518	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	0	0	0	-0.010851717129360061	0.01570771398834015	-0.690852732448229	0.48965809299071317	1.0	72	0.3182604866052884
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	1	1	1	0.13391250256227397	0.031415427976680226	4.262634991370407	2.0203037695562166e-05	1.0	72	0.3182604866052884
