design	table_group	reform	target	target_key	spec_name	event_time	m	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-12	-12	-12	-3.172368346325893	0.25499762504295953	-12.440776049547297	1.56971359528495e-35	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-11	-11	-11	-3.0821320171676048	0.23181602276632543	-13.295595275890172	2.455114938742432e-40	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-10	-10	-10	-3.069308475876845	0.20863442048969283	-14.711419470827337	5.445308590600926e-49	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-9	-9	-9	-2.811294236880781	0.1854528182130602	-15.15908069755502	6.598647147351806e-52	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-8	-8	-8	-2.5367654730455245	0.16227121593642768	-15.632874002986103	4.34743981306728e-55	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-7	-7	-7	-2.448312908019917	0.13908961365979508	-17.602413606585642	2.360467896631498e-69	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-6	-6	-6	-2.0500848295314684	0.11590801138316252	-17.687171102905108	5.2653275332203883e-70	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-5	-5	-5	-1.9804678381398344	0.0927264091065301	-21.358185410421154	3.272799385093402e-101	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-4	-4	-4	-1.4546029607413198	0.06954480682989737	-20.91605436908029	3.824805332282201e-97	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-3	-3	-3	-1.2869356762002875	0.046363204553264786	-27.757694676212033	1.4070224240823226e-169	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	-2	-2	-2	-0.13518357563508676	0.023181602276632293	-5.831502672761995	5.493043181795874e-09	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	0	0	0	-0.35423280929358647	0.023181602276632848	-15.280773307488527	1.0271458618028466e-52	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	1	1	1	-0.3542861895071405	0.04636320455326542	-7.641538002406861	2.1464215309765592e-14	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	2	2	2	3.23272727736257	0.06954480682989801	46.484093129622266	0.0	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	3	3	3	0.15655241798767439	0.09272640910653057	1.6883261143846953	0.09134864494485365	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	4	4	4	-1.1840064722339543	0.11590801138316306	-10.215052938143536	1.6978644500382675e-24	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	5	5	5	-0.8835732131301705	0.13908961365979566	-6.352546318025833	2.1177962775704827e-10	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	6	6	6	-0.7300703122662835	0.16227121593642796	-4.499074639043186	6.824989381170777e-06	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	7	7	7	-1.121555646562713	0.18545281821306056	-6.047660301792746	1.4696441475598778e-09	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	relaxed_tr	8	8	8	-0.06967810587641488	0.2086344204896932	-0.3339722453891881	0.7384005023553459	1.0	42	0.9351001347382534
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-12	-12	-12	2.9125659169011175	0.5250648775330151	5.547059118838092	2.905145344208693e-08	1.0	42	0.40659949964518927
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-11	-11	-11	2.6958294834373757	0.4773317068481983	5.647706709528741	1.626022679733038e-08	1.0	42	0.40659949964518927
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	relaxed_tr	-10	-10	-10	2.27015220547573	0.4295985361633752	5.284357404356697	1.2614676221370219e-07	1.0	42	0.40659949964518927
